Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
NVDA,313.2,8.85,+143.90%,6.15,333.85,301.15,83.86%,0.439,2023-05-26,295.00P,3.65,310.00P,8.95,325.00C,6.6,340.00C,3.05,0.435,0.0491525423728814
NVDA,313.2,8.94,+147.53%,6.06,336.44,303.56,83.86%,0.432,2023-05-26,297.50P,4.35,312.50P,10.15,327.50C,5.8,342.50C,2.66,0.4200000000000008,0.04697986577181205
NVDA,313.2,8.67,+136.97%,6.33,328.67,296.33,83.86%,0.444,2023-05-26,290.00P,2.53,305.00P,6.8,320.00C,8.4,335.00C,4.0,0.33,0.03806228373702421
NVDA,313.2,8.7,+138.10%,6.3,331.2,298.8,83.86%,0.442,2023-05-26,292.50P,3.05,307.50P,7.8,322.50C,7.45,337.50C,3.5,0.3299999999999996,0.037931034482758565
NVDA,313.2,9.57,+120.68%,7.93,339.57,302.93,83.86%,0.469,2023-05-26,295.00P,3.65,312.50P,10.15,330.00C,5.1,347.50C,2.03,0.2774999999999998,0.0289968652037617
NVDA,313.2,9.4,+116.05%,8.1,336.9,300.6,83.86%,0.477,2023-05-26,292.50P,3.05,310.00P,8.95,327.50C,5.8,345.00C,2.3,0.2475000000000013,0.026329787234042553
NVDA,313.2,9.21,+111.10%,8.29,334.21,298.29,83.86%,0.481,2023-05-26,290.00P,2.53,307.50P,7.8,325.00C,6.6,342.50C,2.66,0.1275000000000021,0.01384364820846915
NVDA,313.2,9.09,+108.09%,8.41,331.59,295.91,83.86%,0.483,2023-05-26,287.50P,2.11,305.00P,6.8,322.50C,7.45,340.00C,3.05,0.0424999999999995,0.00467546754675463
META,252.44,2.96,+145.10%,2.04,255.46,244.54,37.02%,0.415,2023-05-26,242.50P,0.86,247.50P,1.87,252.50C,3.95,257.50C,2.0,0.0349999999999999,0.011824324324324283
NVDA,313.2,10.01,+100.20%,9.99,342.51,302.49,83.86%,0.5,2023-05-26,292.50P,3.05,312.50P,10.15,332.50C,4.45,352.50C,1.54,0.0099999999999997,0.0009990009990009764
AMD,107.17,1.75,+140.00%,1.25,111.75,105.25,52.89%,0.4029999999999999,2023-05-26,104.00P,0.85,107.00P,1.82,110.00C,1.62,113.00C,0.84,-0.041,-0.023428571428571625
