Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask","Exp Type"
FSLR,218.89,2.08,+16.10%,12.92,227.08,207.92,48.05%,68.2%,2023-04-21,195.00P,0.12,210.00P,0.9,225.00C,1.52,240.00C,0.22,monthly
ENPH,224.92,3.63,+22.17%,16.37,243.63,216.37,66.14%,65.0%,2023-04-21,200.00P,0.32,220.00P,3.1,240.00C,1.04,260.00C,0.19,monthly
SCHW,52.77,0.65,+22.81%,2.85,54.65,49.85,53.85%,64.1%,2023-04-21,47.00P,0.09,50.50P,0.3,54.00C,0.52,57.50C,0.08,monthly
SCHW,52.77,0.58,+19.86%,2.92,55.08,50.42,53.85%,63.5%,2023-04-21,47.50P,0.1,51.00P,0.38,54.50C,0.36,58.00C,0.06,monthly
SCHW,52.77,0.61,+21.11%,2.89,55.61,50.89,53.85%,63.0%,2023-04-21,48.00P,0.12,51.50P,0.53,55.00C,0.26,58.50C,0.06,monthly
SCHW,52.77,0.69,+29.87%,2.31,54.69,50.31,53.85%,60.4%,2023-04-21,48.00P,0.12,51.00P,0.38,54.00C,0.52,57.00C,0.09,monthly
SCHW,52.77,0.72,+31.58%,2.28,54.22,49.78,53.85%,59.5%,2023-04-21,47.50P,0.1,50.50P,0.3,53.50C,0.65,56.50C,0.13,monthly
ENPH,224.92,4,+36.36%,11,239,216,66.14%,59.5%,2023-04-21,205.00P,0.54,220.00P,3.1,235.00C,1.86,250.00C,0.42,monthly
SCHW,52.77,0.65,+27.66%,2.35,55.15,50.85,53.85%,59.3%,2023-04-21,48.50P,0.16,51.50P,0.53,54.50C,0.36,57.50C,0.08,monthly
SCHW,52.77,0.84,+38.89%,2.16,53.84,49.16,53.85%,58.6%,2023-04-21,47.00P,0.09,50.00P,0.22,53.00C,0.88,56.00C,0.17,monthly
SCHW,52.77,0.7,+30.43%,2.3,55.7,51.3,53.85%,58.4%,2023-04-21,49.00P,0.17,52.00P,0.67,55.00C,0.26,58.00C,0.06,monthly
ABNB,116.17,1.36,+37.36%,3.64,121.36,113.64,43.06%,58.2%,2023-04-21,110.00P,0.29,115.00P,1.23,120.00C,0.49,125.00C,0.07,monthly
ENPH,224.92,4.84,+47.64%,10.16,229.84,205.16,66.14%,57.8%,2023-04-21,195.00P,0.21,210.00P,0.9,225.00C,5.3,240.00C,1.15,monthly
JPM,139.83,0.71,+31.00%,2.29,142.71,138.29,21.13%,57.5%,2023-04-21,136.00P,0.18,139.00P,0.64,142.00C,0.33,145.00C,0.08,monthly
SHOP,48.52,0.86,+40.19%,2.14,51.86,47.14,62.51%,57.5%,2023-04-21,45.00P,0.16,48.00P,0.81,51.00C,0.29,54.00C,0.08,monthly
FSLR,218.89,3.13,+45.56%,6.87,223.13,206.87,48.05%,57.3%,2023-04-21,200.00P,0.21,210.00P,0.9,220.00C,3.2,230.00C,0.76,monthly
SCHW,52.77,0.75,+42.86%,1.75,54.75,50.75,53.85%,56.3%,2023-04-21,49.00P,0.17,51.50P,0.53,54.00C,0.52,56.50C,0.13,monthly
NIO,9.83,0.27,+36.99%,0.73,10.77,9.23,59.97%,55.8%,2023-04-28,8.50P,0.06,9.50P,0.23,10.50C,0.17,11.50C,0.07,weekly
SCHW,52.77,0.73,+32.16%,2.27,56.23,51.77,53.85%,55.6%,2023-04-21,49.50P,0.23,52.50P,0.84,55.50C,0.18,58.50C,0.06,monthly
CRM,197.08,1.49,+42.45%,3.51,201.49,193.51,29.21%,55.3%,2023-04-21,190.00P,0.33,195.00P,1.09,200.00C,0.89,205.00C,0.16,monthly
SCHW,52.77,0.84,+50.60%,1.66,53.84,49.66,53.85%,55.3%,2023-04-21,48.00P,0.12,50.50P,0.3,53.00C,0.88,55.50C,0.22,monthly
SHOP,48.52,0.82,+48.81%,1.68,50.32,46.18,62.51%,54.8%,2023-04-21,44.50P,0.12,47.00P,0.46,49.50C,0.67,52.00C,0.19,monthly
SCHW,52.77,0.7,+38.89%,1.8,54.2,50.3,53.85%,54.5%,2023-04-21,48.50P,0.16,51.00P,0.38,53.50C,0.65,56.00C,0.17,monthly
SCHW,52.77,0.71,+39.66%,1.79,55.21,51.29,53.85%,54.3%,2023-04-21,49.50P,0.23,52.00P,0.67,54.50C,0.36,57.00C,0.09,monthly
CRWD,137.37,1.88,+60.26%,3.12,141.88,133.12,47.64%,53.9%,2023-04-21,130.00P,0.39,135.00P,1.33,140.00C,1.3,145.00C,0.36,monthly
BX,87.23,1.62,+47.93%,3.38,91.62,83.38,71.19%,53.4%,2023-04-21,80.00P,0.3,85.00P,1.17,90.00C,0.96,95.00C,0.21,monthly
SCHW,52.77,0.77,+44.51%,1.73,55.77,51.73,53.85%,53.0%,2023-04-21,50.00P,0.25,52.50P,0.84,55.00C,0.26,57.50C,0.08,monthly
DAL,34.59,0.34,+51.52%,0.66,35.34,33.66,37.22%,52.8%,2023-04-21,33.00P,0.09,34.00P,0.24,35.00C,0.27,36.00C,0.08,monthly
BAC,30.37,0.58,+63.04%,0.92,32.08,29.42,65.83%,52.3%,2023-04-21,28.50P,0.13,30.00P,0.52,31.50C,0.3,33.00C,0.11,monthly
C,49.69,0.38,+61.29%,0.62,50.38,48.62,27.50%,51.9%,2023-04-21,48.00P,0.07,49.00P,0.21,50.00C,0.36,51.00C,0.12,monthly
USB,35.59,0.75,+42.86%,1.75,38.25,34.25,85.99%,51.1%,2023-04-21,32.50P,0.3,35.00P,0.8,37.50C,0.35,40.00C,0.1,monthly
PANW,201.16,1.54,+44.51%,3.46,206.54,198.46,31.00%,51.1%,2023-04-21,195.00P,0.55,200.00P,1.49,205.00C,0.79,210.00C,0.19,monthly
AAPL,165.23,1.9,+61.29%,3.1,171.9,163.1,21.58%,50.8%,2023-04-28,160.00P,0.76,165.00P,2.12,170.00C,0.66,175.00C,0.12,weekly
SCHW,52.77,0.77,+62.60%,1.23,54.77,51.23,53.85%,50.5%,2023-04-21,50.00P,0.25,52.00P,0.67,54.00C,0.52,56.00C,0.17,monthly
SCHW,52.77,0.8,+66.67%,1.2,53.8,50.2,53.85%,50.1%,2023-04-21,49.00P,0.17,51.00P,0.38,53.00C,0.88,55.00C,0.29,monthly
JPM,139.83,0.88,+78.57%,1.12,140.88,137.12,21.13%,49.8%,2023-04-21,136.00P,0.18,138.00P,0.38,140.00C,1.02,142.00C,0.34,monthly
SCHW,52.77,0.73,+57.48%,1.27,54.23,50.77,53.85%,49.8%,2023-04-21,49.50P,0.23,51.50P,0.53,53.50C,0.65,55.50C,0.22,monthly
PYPL,77.33,0.78,+63.93%,1.22,79.78,76.22,36.53%,49.6%,2023-04-21,75.00P,0.31,77.00P,0.83,79.00C,0.39,81.00C,0.13,monthly
SHOP,48.52,0.84,+72.41%,1.16,49.84,46.16,62.51%,49.3%,2023-04-21,45.00P,0.16,47.00P,0.46,49.00C,0.86,51.00C,0.32,monthly
GM,35.14,0.4,+66.67%,0.6,36.4,34.6,42.15%,47.9%,2023-04-21,34.00P,0.18,35.00P,0.44,36.00C,0.21,37.00C,0.07,monthly
