Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
NVDA,314.2,9.28,+162.24%,5.72,324.28,290.72,66.96%,0.41,2023-05-26,285.00P,2.57,300.00P,6.2,315.00C,12.15,330.00C,6.5,0.4299999999999988,0.04633620689655161
NVDA,314.2,9.25,+160.87%,5.75,329.25,295.75,66.96%,0.411,2023-05-26,290.00P,3.55,305.00P,8.0,320.00C,9.95,335.00C,5.15,0.4150000000000005,0.04486486486486489
NVDA,314.2,9.87,+129.36%,7.63,327.37,290.13,66.96%,0.452,2023-05-26,282.50P,2.18,300.00P,6.2,317.50C,11.0,335.00C,5.15,0.2800000000000002,0.028368794326241138
NVDA,314.2,9.83,+128.16%,7.67,329.83,292.67,66.96%,0.452,2023-05-26,285.00P,2.57,302.50P,7.05,320.00C,9.95,337.50C,4.6,0.2399999999999993,0.024415055951169863
MSFT,316.88,2.73,+120.26%,2.27,320.23,309.77,17.73%,0.465,2023-05-26,307.50P,0.77,312.50P,1.6,317.50C,3.2,322.50C,1.3,0.0550000000000001,0.02014652014652021
AMZN,116.88,1.66,+123.88%,1.34,118.66,112.34,29.49%,0.462,2023-05-26,111.00P,0.35,114.00P,0.83,117.00C,2.15,120.00C,0.97,0.0459999999999999,0.027710843373493863
AMZN,116.88,0.63,+170.27%,0.37,117.63,115.37,34.64%,0.407,2023-05-19,115.00P,0.19,116.00P,0.4,117.00C,0.91,118.00C,0.49,0.037,0.05873015873015872
AAPL,174.18,1.42,+131.48%,1.08,176.42,171.08,17.69%,0.4429999999999999,2023-05-26,170.00P,0.51,172.50P,1.04,175.00C,1.5,177.50C,0.61,0.0274999999999997,0.0193661971830983
DIS,92.99,0.49,+96.08%,0.51,93.49,91.51,27.82%,0.528,2023-05-19,91.00P,0.06,92.00P,0.13,93.00C,0.68,94.00C,0.26,0.018,0.03673469387755101
NVDA,314.2,10.25,+105.13%,9.75,330.25,289.75,66.96%,0.487,2023-05-26,280.00P,1.85,300.00P,6.2,320.00C,9.95,340.00C,4.05,-0.0099999999999988,-0.0009756097560975997
