Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
MSFT,331.38,3.04,+155.10%,1.96,335.54,324.46,22.57%,0.405,2023-06-02,322.50P,1.01,327.50P,2.01,332.50C,4.35,337.50C,2.31,0.0650000000000001,0.02138157894736843
TSLA,191.96,4.12,+121.89%,3.38,199.12,183.38,49.72%,0.449,2023-06-02,180.00P,1.06,187.50P,2.57,195.00C,5.1,202.50C,2.49,-0.0124999999999995,-0.003033980582524219
AAPL,175.18,1.42,+131.48%,1.08,178.92,173.58,19.11%,0.423,2023-06-02,172.50P,0.8,175.00P,1.58,177.50C,1.03,180.00C,0.39,-0.0225,-0.015845070422535242
AMZN,120.57,1.64,+120.59%,1.36,122.64,116.36,31.79%,0.441,2023-06-02,115.00P,0.36,118.00P,0.89,121.00C,2.19,124.00C,1.08,-0.037,-0.02256097560975611
AMZN,120.57,1.62,+117.39%,1.38,123.62,117.38,31.79%,0.444,2023-06-02,116.00P,0.49,119.00P,1.21,122.00C,1.73,125.00C,0.83,-0.0479999999999999,-0.029629629629629645
MSFT,331.38,3.59,+91.82%,3.91,336.09,321.41,22.57%,0.51,2023-06-02,317.50P,0.5,325.00P,1.41,332.50C,4.35,340.00C,1.67,-0.0849999999999999,-0.02367688022284127
QCOM,107.66,1.54,+105.48%,1.46,109.54,103.46,33.08%,0.455,2023-06-02,102.00P,0.39,105.00P,1.02,108.00C,1.58,111.00C,0.67,-0.0949999999999998,-0.06168831168831162
RIVN,15.17,0.41,+69.49%,0.59,15.91,14.09,67.31%,0.481,2023-06-02,13.50P,0.1,14.50P,0.27,15.50C,0.41,16.50C,0.17,-0.1089999999999999,-0.2658536585365854
AMZN,120.57,1.81,+82.65%,2.19,122.81,115.19,31.79%,0.512,2023-06-02,113.00P,0.2,117.00P,0.65,121.00C,2.19,125.00C,0.83,-0.1419999999999998,-0.07845303867403312
AMZN,120.57,1.72,+75.44%,2.28,124.72,117.28,31.79%,0.514,2023-06-02,115.00P,0.36,119.00P,1.21,123.00C,1.36,127.00C,0.49,-0.2239999999999999,-0.13023255813953485
AMZN,120.57,1.71,+74.67%,2.29,123.71,116.29,31.79%,0.515,2023-06-02,114.00P,0.26,118.00P,0.89,122.00C,1.73,126.00C,0.65,-0.2299999999999998,-0.1345029239766082
META,258.21,3.62,+93.30%,3.88,266.12,251.38,31.65%,0.484,2023-06-02,247.50P,1.0,255.00P,2.68,262.50C,3.15,270.00C,1.21,-0.2499999999999997,-0.06906077348066297
TSLA,191.96,3.98,+113.07%,3.52,201.48,186.02,49.72%,0.435,2023-06-02,182.50P,1.44,190.00P,3.35,197.50C,4.0,205.00C,1.93,-0.2574999999999998,-0.06469849246231153
NFLX,368.09,5.34,+114.59%,4.66,380.34,359.66,36.24%,0.421,2023-06-02,355.00P,2.01,365.00P,4.5,375.00C,5.9,385.00C,3.05,-0.4499999999999997,-0.08426966292134838
AMZN,120.57,1.71,+51.98%,3.29,125.71,117.29,31.79%,0.563,2023-06-02,114.00P,0.26,119.00P,1.21,124.00C,1.06,129.00C,0.3,-0.4750000000000003,-0.27777777777777796
TSLA,191.96,4.31,+75.75%,5.69,201.81,183.19,49.72%,0.518,2023-06-02,177.50P,0.77,187.50P,2.57,197.50C,4.0,207.50C,1.49,-0.5100000000000002,-0.11832946635730864
MSFT,331.38,3.25,+76.47%,4.25,340.75,326.75,22.57%,0.488,2023-06-02,322.50P,1.01,330.00P,2.82,337.50C,2.3,345.00C,0.86,-0.5900000000000003,-0.1815384615384616
TSLA,191.96,4.29,+75.13%,5.71,204.29,185.71,49.72%,0.502,2023-06-02,180.00P,1.06,190.00P,3.35,200.00C,3.15,210.00C,1.15,-0.69,-0.16083916083916086
V,225.45,1.72,+52.44%,3.28,231.72,223.28,18.05%,0.514,2023-06-02,220.00P,0.68,225.00P,1.86,230.00C,0.69,235.00C,0.15,-0.71,-0.4127906976744185
AAPL,175.18,1.5,+42.86%,3.5,181.5,173.5,19.11%,0.552,2023-06-02,170.00P,0.4,175.00P,1.58,180.00C,0.38,185.00C,0.06,-0.7399999999999998,-0.49333333333333323
AMZN,120.57,1.64,+37.61%,4.36,126.64,117.36,31.79%,0.598,2023-06-02,113.00P,0.2,119.00P,1.21,125.00C,0.82,131.00C,0.19,-0.7720000000000004,-0.47073170731707337
NFLX,368.09,5.89,+89.11%,6.61,385.89,361.61,36.24%,0.465,2023-06-02,355.00P,2.01,367.50P,5.5,380.00C,4.15,392.50C,1.75,-0.7974999999999999,-0.13539898132427833
META,258.21,3.7,+58.73%,6.3,268.7,251.3,31.65%,0.55,2023-06-02,245.00P,0.71,255.00P,2.68,265.00C,2.33,275.00C,0.6,-0.7999999999999994,-0.2162162162162161
AMZN,120.57,1.55,+34.83%,4.45,125.55,116.45,31.79%,0.606,2023-06-02,112.00P,0.16,118.00P,0.89,124.00C,1.06,130.00C,0.24,-0.8140000000000001,-0.5251612903225806
NFLX,368.09,5.72,+84.37%,6.78,383.22,359.28,36.24%,0.474,2023-06-02,352.50P,1.62,365.00P,4.5,377.50C,4.95,390.00C,2.11,-0.8550000000000004,-0.1494755244755246
AMD,126.56,2.78,+53.26%,5.22,129.78,116.22,49.01%,0.54,2023-06-02,111.00P,0.18,119.00P,0.84,127.00C,3.2,135.00C,1.08,-0.8999999999999997,-0.32374100719424453
MSFT,331.38,3.33,+49.93%,6.67,338.33,321.67,22.57%,0.5760000000000001,2023-06-02,315.00P,0.37,325.00P,1.41,335.00C,3.15,345.00C,0.86,-0.9099999999999993,-0.27327327327327305
TSLA,191.96,4.26,+51.70%,8.24,204.26,183.24,49.72%,0.5670000000000001,2023-06-02,175.00P,0.57,187.50P,2.57,200.00C,3.15,212.50C,0.89,-1.1524999999999994,-0.27053990610328627
MSFT,331.38,3.28,+48.81%,6.72,343.28,326.72,22.57%,0.545,2023-06-02,320.00P,0.71,330.00P,2.82,340.00C,1.64,350.00C,0.47,-1.2699999999999994,-0.3871951219512194
TSLA,191.96,4.36,+53.56%,8.14,206.86,185.64,49.72%,0.5479999999999999,2023-06-02,177.50P,0.77,190.00P,3.35,202.50C,2.47,215.00C,0.69,-1.290000000000001,-0.29587155963302775
NFLX,368.09,5.86,+64.11%,9.14,385.86,359.14,36.24%,0.514,2023-06-02,350.00P,1.31,365.00P,4.5,380.00C,4.15,395.00C,1.48,-1.4300000000000002,-0.24402730375426618
MSFT,331.38,2.97,+31.16%,9.53,340.47,322.03,22.57%,0.627,2023-06-02,312.50P,0.27,325.00P,1.41,337.50C,2.3,350.00C,0.47,-1.6924999999999997,-0.5698653198653196
TSLA,191.96,4.28,+39.93%,10.72,209.28,185.72,49.72%,0.58,2023-06-02,175.00P,0.57,190.00P,3.35,205.00C,1.91,220.00C,0.41,-2.0200000000000005,-0.4719626168224301
META,258.21,3.35,+28.76%,11.65,273.35,251.65,31.65%,0.625,2023-06-02,240.00P,0.37,255.00P,2.68,270.00C,1.19,285.00C,0.15,-2.2750000000000004,-0.6791044776119404
TSLA,191.96,4.15,+31.09%,13.35,211.65,185.85,49.72%,0.603,2023-06-02,172.50P,0.42,190.00P,3.35,207.50C,1.48,225.00C,0.26,-2.7975,-0.6740963855421686
NVDA,386.44,8.57,+29.62%,28.93,396.07,341.43,47.28%,0.617,2023-06-02,312.50P,0.08,350.00P,0.72,387.50C,9.8,425.00C,1.87,-5.7925,-0.675904317386231
NVDA,386.44,7.87,+24.49%,32.13,397.87,342.13,47.28%,0.64,2023-06-02,310.00P,0.07,350.00P,0.72,390.00C,8.75,430.00C,1.53,-6.53,-0.829733163913596
NVDA,386.44,6.66,+19.98%,33.34,401.66,348.34,47.28%,0.6659999999999999,2023-06-02,315.00P,0.09,355.00P,1.07,395.00C,6.95,435.00C,1.27,-6.700000000000004,-1.0060060060060065
NVDA,386.44,6.13,+16.85%,36.37,403.63,348.87,47.28%,0.688,2023-06-02,312.50P,0.08,355.00P,1.07,397.50C,6.2,440.00C,1.06,-7.130000000000001,-1.1631321370309955
NVDA,386.44,5.16,+12.95%,39.84,410.16,354.84,47.28%,0.722,2023-06-02,315.00P,0.09,360.00P,1.6,405.00C,4.4,450.00C,0.75,-7.350000000000003,-1.4244186046511629
NVDA,386.44,6.55,+17.04%,38.45,401.55,343.45,47.28%,0.685,2023-06-02,305.00P,0.06,350.00P,0.72,395.00C,6.95,440.00C,1.06,-7.624999999999999,-1.16412213740458
NVDA,386.44,4.48,+9.84%,45.52,414.48,355.52,47.28%,0.7559999999999999,2023-06-02,310.00P,0.07,360.00P,1.6,410.00C,3.5,460.00C,0.55,-7.720000000000006,-1.723214285714287
NVDA,386.44,3.94,+7.72%,51.06,418.94,356.06,47.28%,0.7859999999999999,2023-06-02,305.00P,0.06,360.00P,1.6,415.00C,2.8,470.00C,0.4,-7.830000000000004,-1.9873096446700518
Downloaded from Barchart.com as of 05-26-2023 11:15am CDT,,,,,,,,,,,,,,,,,,,
