Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
GOOG,117.67,1.85,+160.87%,1.15,119.85,113.15,26.82%,0.409,2023-05-26,112.00P,0.7,115.00P,1.4,118.00C,2.26,121.00C,1.11,0.0770000000000001,0.0416216216216217
AMZN,110.84,1.86,+163.16%,1.14,113.86,107.14,29.34%,0.401,2023-05-26,106.00P,0.88,109.00P,1.68,112.00C,2.09,115.00C,1.03,0.0630000000000001,0.033870967741935584
NFLX,340.87,4.42,+143.51%,3.08,346.92,330.58,31.29%,0.418,2023-05-19,327.50P,1.54,335.00P,3.25,342.50C,5.35,350.00C,2.64,0.0549999999999994,0.012443438914027029
TSLA,171.56,4.53,+152.53%,2.97,179.53,162.97,47.08%,0.4,2023-05-26,160.00P,2.28,167.50P,4.45,175.00C,4.75,182.50C,2.39,0.0300000000000002,0.006622516556291433
GOOGL,117.23,1.22,+156.41%,0.78,119.22,114.78,25.96%,0.402,2023-05-19,114.00P,0.61,116.00P,1.2,118.00C,1.25,120.00C,0.62,0.024,0.019672131147541055
SCHW,49.03,0.84,+127.27%,0.66,50.84,47.66,41.62%,0.424,2023-05-19,47.00P,0.46,48.50P,0.87,50.00C,0.69,51.50C,0.26,-0.024,-0.028571428571428668
AMZN,110.84,2.06,+106.19%,1.94,115.06,106.94,29.34%,0.475,2023-05-26,105.00P,0.69,109.00P,1.68,113.00C,1.67,117.00C,0.6,-0.04,-0.019417475728155376
AMZN,110.84,1.51,+101.34%,1.49,115.51,109.49,29.01%,0.477,2023-05-19,108.00P,0.73,111.00P,1.8,114.00C,0.66,117.00C,0.22,-0.0589999999999998,-0.03907284768211927
NFLX,340.87,4.32,+135.85%,3.18,349.32,333.18,31.29%,0.415,2023-05-19,330.00P,2.01,337.50P,4.1,345.00C,4.25,352.50C,2.02,-0.0675000000000001,-0.015625000000000017
GOOGL,117.23,1.44,+92.31%,1.56,121.44,115.56,25.96%,0.492,2023-05-19,114.00P,0.61,117.00P,1.64,120.00C,0.61,123.00C,0.2,-0.084,-0.05833333333333337
GOOG,117.67,1.42,+89.87%,1.58,119.42,113.58,26.09%,0.495,2023-05-19,112.00P,0.27,115.00P,0.75,118.00C,1.45,121.00C,0.51,-0.095,-0.06690140845070427
AMC,5.22,0.2,+66.67%,0.3,5.7,4.8,82.85%,0.4029999999999999,2023-05-26,4.50P,0.13,5.00P,0.28,5.50C,0.16,6.00C,0.11,-0.0984999999999999,-0.4925000000000001
GOOG,117.67,1.41,+88.68%,1.59,121.41,115.59,26.09%,0.496,2023-05-19,114.00P,0.53,117.00P,1.45,120.00C,0.73,123.00C,0.24,-0.102,-0.07234042553191494
PDD,64.23,1.46,+94.81%,1.54,68.46,62.54,50.27%,0.469,2023-05-19,61.00P,0.69,64.00P,1.77,67.00C,0.65,70.00C,0.27,-0.1330000000000001,-0.09109589041095896
NFLX,340.87,4.32,+135.85%,3.18,351.82,335.68,31.29%,0.406,2023-05-19,332.50P,2.59,340.00P,5.15,347.50C,3.3,355.00C,1.54,-0.1349999999999998,-0.031249999999999955
GOOGL,117.23,1.36,+82.93%,1.64,120.36,114.64,25.96%,0.501,2023-05-19,113.00P,0.43,116.00P,1.2,119.00C,0.88,122.00C,0.29,-0.1369999999999999,-0.100735294117647
GOOG,117.67,1.36,+82.93%,1.64,120.36,114.64,26.09%,0.499,2023-05-19,113.00P,0.38,116.00P,1.05,119.00C,1.04,122.00C,0.35,-0.1429999999999999,-0.10514705882352936
GOOGL,117.23,1.51,+60.64%,2.49,122.51,115.49,25.96%,0.551,2023-05-19,113.00P,0.43,117.00P,1.64,121.00C,0.41,125.00C,0.11,-0.2859999999999999,-0.18940397350993365
NFLX,340.87,4.78,+91.57%,5.22,349.78,330.22,31.29%,0.492,2023-05-19,325.00P,1.18,335.00P,3.25,345.00C,4.25,355.00C,1.54,-0.2999999999999994,-0.06276150627615061
ATVI,77.41,0.87,+53.37%,1.63,80.87,76.63,24.39%,0.532,2023-05-19,75.00P,0.3,77.50P,1.0,80.00C,0.38,82.50C,0.21,-0.2999999999999998,-0.3448275862068964
GOOG,117.67,1.47,+58.10%,2.53,119.47,112.53,26.09%,0.555,2023-05-19,110.00P,0.15,114.00P,0.52,118.00C,1.45,122.00C,0.35,-0.3099999999999997,-0.2108843537414963
GOOG,117.67,2.01,+67.22%,2.99,122.01,112.99,26.82%,0.535,2023-05-26,110.00P,0.43,115.00P,1.4,120.00C,1.42,125.00C,0.38,-0.3149999999999999,-0.15671641791044777
GOOG,117.67,1.44,+56.25%,2.56,122.44,115.56,26.09%,0.556,2023-05-19,113.00P,0.38,117.00P,1.45,121.00C,0.5,125.00C,0.13,-0.3359999999999998,-0.2333333333333332
GOOGL,117.23,1.4,+53.85%,2.6,119.4,112.6,25.96%,0.564,2023-05-19,110.00P,0.16,114.00P,0.6,118.00C,1.25,122.00C,0.29,-0.3440000000000003,-0.2457142857142859
GOOGL,117.23,1.98,+65.56%,3.02,121.98,113.02,26.71%,0.534,2023-05-26,110.00P,0.48,115.00P,1.53,120.00C,1.27,125.00C,0.34,-0.3499999999999998,-0.17676767676767666
GOOG,117.67,1.34,+50.38%,2.66,121.34,114.66,26.09%,0.5660000000000001,2023-05-19,112.00P,0.27,116.00P,1.05,120.00C,0.73,124.00C,0.17,-0.3959999999999998,-0.29552238805970127
GOOGL,117.23,1.32,+49.25%,2.68,120.32,113.68,25.96%,0.569,2023-05-19,111.00P,0.22,115.00P,0.86,119.00C,0.88,123.00C,0.2,-0.4040000000000001,-0.3060606060606063
NFLX,340.87,4.83,+93.42%,5.17,354.83,335.17,31.29%,0.474,2023-05-19,330.00P,2.01,340.00P,5.15,350.00C,2.58,360.00C,0.89,-0.4300000000000001,-0.08902691511387173
NFLX,340.87,4.69,+88.32%,5.31,352.19,332.81,31.29%,0.484,2023-05-19,327.50P,1.54,337.50P,4.1,347.50C,3.3,357.50C,1.17,-0.4699999999999997,-0.10021321961620465
GOOGL,117.23,1.37,+37.74%,3.63,119.37,111.63,25.96%,0.606,2023-05-19,108.00P,0.1,113.00P,0.42,118.00C,1.25,123.00C,0.2,-0.6,-0.437956204379562
GOOG,117.67,1.28,+34.41%,3.72,120.28,112.72,26.09%,0.611,2023-05-19,109.00P,0.11,114.00P,0.52,119.00C,1.04,124.00C,0.17,-0.6650000000000001,-0.5195312500000001
GOOGL,117.23,1.2,+31.58%,3.8,121.2,113.8,25.96%,0.618,2023-05-19,110.00P,0.16,115.00P,0.86,120.00C,0.61,125.00C,0.11,-0.7100000000000001,-0.5916666666666668
GOOG,117.67,1.2,+31.58%,3.8,121.2,113.8,26.09%,0.616,2023-05-19,110.00P,0.15,115.00P,0.75,120.00C,0.73,125.00C,0.13,-0.7200000000000001,-0.6000000000000001
NFLX,340.87,5.08,+68.46%,7.42,357.58,334.92,31.29%,0.523,2023-05-19,327.50P,1.54,340.00P,5.15,352.50C,1.98,365.00C,0.51,-0.8824999999999994,-0.17372047244094477
NFLX,340.87,4.77,+61.71%,7.73,352.27,330.23,31.29%,0.544,2023-05-19,322.50P,0.89,335.00P,3.25,347.50C,3.3,360.00C,0.89,-0.9300000000000002,-0.1949685534591195
ENPH,168.0,3.74,+59.74%,6.26,178.74,161.26,50.73%,0.531,2023-05-19,155.00P,0.85,165.00P,3.0,175.00C,2.3,185.00C,0.71,-0.9499999999999992,-0.25401069518716557
GOOGL,117.23,1.11,+22.70%,4.89,120.11,111.89,25.96%,0.653,2023-05-19,107.00P,0.08,113.00P,0.42,119.00C,0.88,125.00C,0.11,-0.9719999999999998,-0.8756756756756754
NFLX,340.87,5.17,+52.59%,9.83,360.17,334.83,31.29%,0.5579999999999999,2023-05-19,325.00P,1.18,340.00P,5.15,355.00C,1.5,370.00C,0.3,-1.4600000000000009,-0.2823984526112187
NFLX,340.87,5.21,+42.39%,12.29,362.71,334.79,31.29%,0.585,2023-05-19,322.50P,0.89,340.00P,5.15,357.50C,1.14,375.00C,0.19,-2.0525,-0.39395393474088297
NFLX,340.87,5.21,+35.23%,14.79,365.21,334.79,31.29%,0.605,2023-05-19,320.00P,0.68,340.00P,5.15,360.00C,0.86,380.00C,0.12,-2.6899999999999995,-0.5163147792706334
NFLX,340.87,5.19,+26.20%,19.81,370.19,334.81,31.29%,0.632,2023-05-19,315.00P,0.39,340.00P,5.15,365.00C,0.49,390.00C,0.06,-4.01,-0.772639691714836
Downloaded from Barchart.com as of 05-12-2023 10:44am CDT,,,,,,,,,,,,,,,,,,,
