Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
PANW,190.3,5.61,+127.79%,4.39,200.61,179.39,99.84%,0.4629999999999999,2023-05-26,175.00P,1.48,185.00P,4.35,195.00C,4.75,205.00C,2.01,0.2400000000000002,0.04278074866310147
UPST,26.66,1.3,+185.71%,0.7,29.8,25.2,167.44%,0.413,2023-05-26,24.50P,0.58,26.50P,1.49,28.50C,1.0,30.50C,0.61,0.1260000000000001,0.096923076923077
UPST,26.66,1.24,+163.16%,0.76,29.24,24.76,167.44%,0.415,2023-05-26,24.00P,0.43,26.00P,1.21,28.00C,1.16,30.00C,0.7,0.0699999999999999,0.05645161290322578
UPST,26.66,1.37,+121.24%,1.13,29.87,24.63,167.44%,0.472,2023-05-26,23.50P,0.31,26.00P,1.21,28.50C,1.0,31.00C,0.53,0.0500000000000001,0.036496350364963466
UPST,26.66,1.48,+97.37%,1.52,30.48,24.52,167.44%,0.52,2023-05-26,23.00P,0.23,26.00P,1.21,29.00C,0.9,32.00C,0.4,0.04,0.027027027027027112
AMD,108.29,1.69,+129.01%,1.31,112.69,106.31,53.21%,0.445,2023-05-26,105.00P,0.8,108.00P,1.91,111.00C,1.07,114.00C,0.49,0.025,0.014792899408284007
AMZN,115.87,1.16,+138.10%,0.84,119.16,114.84,34.70%,0.429,2023-05-26,114.00P,0.72,116.00P,1.52,118.00C,0.65,120.00C,0.29,0.018,0.01551724137931037
AMD,108.29,1.62,+117.39%,1.38,111.62,105.38,53.21%,0.449,2023-05-26,104.00P,0.57,107.00P,1.44,110.00C,1.39,113.00C,0.64,-0.0329999999999998,-0.02037037037037025
UPST,26.66,1.28,+104.92%,1.22,29.28,24.22,167.44%,0.4679999999999999,2023-05-26,23.00P,0.23,25.50P,0.96,28.00C,1.16,30.50C,0.61,-0.05,-0.0390625000000001
TSLA,187.12,2.75,+122.22%,2.25,192.75,182.25,53.32%,0.437,2023-05-26,180.00P,1.22,185.00P,2.77,190.00C,2.23,195.00C,1.03,-0.0649999999999997,-0.023636363636363514
ROKU,56.87,1.02,+104.08%,0.98,58.02,53.98,63.52%,0.4529999999999999,2023-05-26,53.00P,0.21,55.00P,0.55,57.00C,1.25,59.00C,0.57,-0.074,-0.07254901960784337
WFC,41.82,0.41,+69.49%,0.59,42.41,40.59,34.12%,0.507,2023-05-26,40.00P,0.09,41.00P,0.22,42.00C,0.4,43.00C,0.12,-0.0829999999999999,-0.2024390243902438
AMD,108.29,1.86,+86.92%,2.14,113.86,106.14,53.21%,0.513,2023-05-26,104.00P,0.57,108.00P,1.91,112.00C,0.82,116.00C,0.3,-0.088,-0.04731182795698924
ROKU,56.87,0.98,+96.08%,1.02,58.98,55.02,63.52%,0.4539999999999999,2023-05-26,54.00P,0.36,56.00P,0.88,58.00C,0.83,60.00C,0.37,-0.1120000000000001,-0.11428571428571446
META,248.45,2.51,+100.80%,2.49,255.01,244.99,34.57%,0.475,2023-05-26,242.50P,0.95,247.50P,2.46,252.50C,1.63,257.50C,0.63,-0.1150000000000004,-0.045816733067729216
OXY,60.06,0.45,+81.82%,0.55,61.45,59.55,29.80%,0.425,2023-05-26,59.00P,0.27,60.00P,0.55,61.00C,0.32,62.00C,0.15,-0.1249999999999999,-0.27777777777777773
TSLA,187.12,2.72,+119.30%,2.28,190.22,179.78,53.32%,0.429,2023-05-26,177.50P,0.79,182.50P,1.86,187.50C,3.2,192.50C,1.55,-0.1349999999999995,-0.049632352941176384
AMD,108.29,1.94,+63.40%,3.06,114.94,106.06,53.21%,0.56,2023-05-26,103.00P,0.41,108.00P,1.91,113.00C,0.63,118.00C,0.19,-0.2599999999999998,-0.13402061855670092
TSLA,187.12,3.04,+68.16%,4.46,195.54,181.96,53.32%,0.537,2023-05-26,177.50P,0.79,185.00P,2.77,192.50C,1.53,200.00C,0.47,-0.4324999999999996,-0.14226973684210523
TSLA,187.12,2.9,+63.04%,4.6,192.9,179.6,53.32%,0.537,2023-05-26,175.00P,0.5,182.50P,1.86,190.00C,2.23,197.50C,0.69,-0.5724999999999993,-0.19741379310344814
LOW,206.95,1.72,+52.44%,3.28,211.72,203.28,31.35%,0.524,2023-05-26,200.00P,0.47,205.00P,1.36,210.00C,1.11,215.00C,0.28,-0.6599999999999998,-0.38372093023255804
TSLA,187.12,3.08,+44.51%,6.92,198.08,181.92,53.32%,0.601,2023-05-26,175.00P,0.5,185.00P,2.77,195.00C,1.02,205.00C,0.21,-0.91,-0.2954545454545455
TSLA,187.12,2.75,+37.93%,7.25,195.25,179.75,53.32%,0.608,2023-05-26,172.50P,0.33,182.50P,1.86,192.50C,1.53,202.50C,0.31,-1.1700000000000002,-0.42545454545454553
TSLA,187.12,3.01,+31.72%,9.49,200.51,181.99,53.32%,0.6409999999999999,2023-05-26,172.50P,0.33,185.00P,2.77,197.50C,0.68,210.00C,0.11,-1.4775000000000016,-0.4908637873754158
Downloaded from Barchart.com as of 05-23-2023 01:19pm CDT,,,,,,,,,,,,,,,,,,,
