Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
GOOGL,108.11,1.9,+90.48%,2.1,113.9,106.1,31.00%,0.493,2023-05-19,104.00P,0.76,108.00P,2.07,112.00C,0.83,116.00C,0.24,monthly,-0.128,-0.06736842105263167
SHOP,62.98,1.22,+68.54%,1.78,67.22,61.78,60.19%,0.542,2023-05-12,60.00P,0.39,63.00P,1.33,66.00C,0.41,69.00C,0.13,weekly,-0.1539999999999999,-0.12622950819672119
NFLX,332.78,3.62,+93.30%,3.88,338.62,323.88,35.87%,0.496,2023-05-12,320.00P,0.74,327.50P,2.1,335.00C,3.45,342.50C,1.19,weekly,-0.1599999999999999,-0.04419889502762433
NVDA,284.71,3.56,+90.36%,3.94,296.06,281.44,39.21%,0.504,2023-05-12,277.50P,1.4,285.00P,3.95,292.50C,1.37,300.00C,0.36,weekly,-0.1599999999999999,-0.04494382022471905
AMD,94.88,2.32,+86.57%,2.68,98.32,88.68,44.95%,0.504,2023-05-19,86.00P,0.36,91.00P,1.19,96.00C,2.42,101.00C,0.93,monthly,-0.1600000000000001,-0.06896551724137939
GOOG,108.56,1.85,+86.05%,2.15,113.85,106.15,30.99%,0.496,2023-05-19,104.00P,0.66,108.00P,1.85,112.00C,0.94,116.00C,0.28,monthly,-0.1659999999999998,-0.0897297297297297
PLTR,9.36,0.28,+38.89%,0.72,10.28,8.72,66.78%,0.541,2023-05-19,8.00P,0.06,9.00P,0.22,10.00C,0.21,11.00C,0.09,monthly,-0.1789999999999999,-0.639285714285714
NFLX,332.78,5.41,+117.87%,4.59,345.41,324.59,32.10%,0.441,2023-05-19,320.00P,2.56,330.00P,5.45,340.00C,4.2,350.00C,1.68,monthly,-0.1799999999999992,-0.03327171903881698
NVDA,284.71,5.43,+118.82%,4.57,300.43,279.57,36.32%,0.439,2023-05-19,275.00P,3.1,285.00P,6.6,295.00C,3.05,305.00C,1.12,monthly,-0.1800000000000001,-0.0331491712707183
NFLX,332.78,3.57,+90.84%,3.93,341.07,326.43,35.87%,0.5,2023-05-12,322.50P,1.07,330.00P,2.9,337.50C,2.53,345.00C,0.79,weekly,-0.1800000000000001,-0.05042016806722691
CRM,201.32,2.73,+120.26%,2.27,207.73,197.27,28.44%,0.415,2023-05-19,195.00P,1.52,200.00P,3.0,205.00C,2.28,210.00C,1.03,monthly,-0.195,-0.07142857142857142
AMD,94.88,2.28,+83.82%,2.72,99.28,89.72,44.95%,0.503,2023-05-19,87.00P,0.46,92.00P,1.49,97.00C,2.01,102.00C,0.76,monthly,-0.2050000000000003,-0.08991228070175447
MCD,297.37,1.09,+77.31%,1.41,301.09,296.41,12.98%,0.474,2023-05-12,295.00P,0.74,297.50P,1.51,300.00C,0.45,302.50C,0.13,weekly,-0.2249999999999999,-0.20642201834862384
SHOP,62.98,1.71,+74.67%,2.29,66.71,59.29,50.74%,0.515,2023-05-19,57.00P,0.41,61.00P,1.24,65.00C,1.31,69.00C,0.43,monthly,-0.2299999999999998,-0.1345029239766082
AMD,94.88,2.33,+87.27%,2.67,101.33,91.67,44.95%,0.487,2023-05-19,89.00P,0.76,94.00P,2.25,99.00C,1.36,104.00C,0.52,monthly,-0.2349999999999996,-0.10085836909871243
GOOGL,108.11,1.49,+59.36%,2.51,113.49,106.51,41.53%,0.565,2023-05-12,104.00P,0.34,108.00P,1.52,112.00C,0.4,116.00C,0.09,weekly,-0.2500000000000001,-0.16778523489932898
SHOP,62.98,1.71,+74.67%,2.29,67.71,60.29,50.74%,0.509,2023-05-19,58.00P,0.55,62.00P,1.6,66.00C,0.99,70.00C,0.33,monthly,-0.254,-0.14853801169590644
