Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
AMD,126.58,3.08,+78.57%,3.92,136.08,122.92,61.52%,0.603,2023-06-16,119.00P,0.66,126.00P,3.3,133.00C,0.63,140.00C,0.19,0.3009999999999999,0.09772727272727266
AMD,126.58,2.9,+93.55%,3.1,134.9,123.1,61.52%,0.565,2023-06-16,120.00P,0.88,126.00P,3.3,132.00C,0.75,138.00C,0.27,0.2899999999999996,0.09999999999999984
AMD,126.58,2.66,+113.68%,2.34,133.66,123.34,61.52%,0.514,2023-06-16,121.00P,1.16,126.00P,3.3,131.00C,0.9,136.00C,0.38,0.2300000000000002,0.0864661654135339
AMD,126.58,2.36,+143.90%,1.64,132.36,123.64,61.52%,0.452,2023-06-16,122.00P,1.49,126.00P,3.3,130.00C,1.1,134.00C,0.55,0.1679999999999999,0.07118644067796609
NVDA,405.59,5.84,+140.39%,4.16,420.84,399.16,49.96%,0.43,2023-06-16,395.00P,3.25,405.00P,7.25,415.00C,3.55,425.00C,1.71,0.1399999999999996,0.023972602739725943
AMD,126.58,2.51,+100.80%,2.49,132.51,122.49,61.52%,0.516,2023-06-16,120.00P,0.88,125.00P,2.75,130.00C,1.1,135.00C,0.46,0.0899999999999998,0.03585657370517929
TSLA,257.21,4.54,+153.38%,2.96,267.04,250.46,66.01%,0.406,2023-06-16,247.50P,2.49,255.00P,5.35,262.50C,3.75,270.00C,2.07,0.0850000000000004,0.01872246696035243
AMD,126.58,2.66,+79.64%,3.34,133.66,122.34,61.52%,0.565,2023-06-16,119.00P,0.66,125.00P,2.75,131.00C,0.9,137.00C,0.33,0.0499999999999998,0.018796992481202944
MSFT,333.81,1.77,+242.47%,0.73,336.77,330.73,25.83%,0.301,2023-06-16,330.00P,1.85,332.50P,2.81,335.00C,2.3,337.50C,1.49,0.0224999999999999,0.01271186440677962
TSM,107.53,1.23,+159.74%,0.77,110.23,105.77,43.65%,0.396,2023-06-16,105.00P,0.83,107.00P,1.68,109.00C,0.88,111.00C,0.5,0.022,0.017886178861788626
TSLA,257.21,3.5,+233.33%,1.5,263.5,251.5,66.01%,0.303,2023-06-16,250.00P,3.3,255.00P,5.35,260.00C,4.6,265.00C,3.15,0.0149999999999999,0.004285714285714289
NVDA,405.59,3.7,+284.62%,1.3,413.7,401.3,49.96%,0.262,2023-06-16,400.00P,5.0,405.00P,7.25,410.00C,5.1,415.00C,3.65,0.01,0.002702702702702732
TSM,107.53,1.49,+98.68%,1.51,111.49,105.51,43.65%,0.504,2023-06-16,104.00P,0.54,107.00P,1.68,110.00C,0.64,113.00C,0.29,0.002,0.0013422818791946826
AMZN,126.4,1.21,+153.17%,0.79,129.21,124.79,36.67%,0.396,2023-06-16,124.00P,0.78,126.00P,1.53,128.00C,0.97,130.00C,0.51,0.002,0.00165289256198348
AMD,126.58,2.21,+123.46%,1.79,131.21,122.79,61.52%,0.447,2023-06-16,121.00P,1.16,125.00P,2.75,129.00C,1.29,133.00C,0.67,-0.0019999999999998,-0.000904977375565565
AFRM,18.69,0.38,+316.67%,0.12,19.38,18.12,125.69%,0.2319999999999999,2023-06-16,18.00P,0.55,18.50P,0.78,19.00C,0.67,19.50C,0.52,-0.004,-0.010526315789473786
META,270.55,1.84,+278.79%,0.66,274.34,268.16,37.49%,0.262,2023-06-16,267.50P,2.67,270.00P,3.75,272.50C,2.47,275.00C,1.71,-0.0049999999999999,-0.0027173913043477835
AMZN,126.4,0.76,+316.67%,0.24,127.76,125.24,36.67%,0.235,2023-06-16,125.00P,1.11,126.00P,1.53,127.00C,1.33,128.00C,0.99,-0.005,-0.0065789473684210635
SOFI,9.53,0.29,+138.10%,0.21,10.29,9.21,111.83%,0.407,2023-06-16,9.00P,0.18,9.50P,0.39,10.00C,0.18,10.50C,0.1,-0.0064999999999999,-0.022413793103448276
SNOW,172.57,2.91,+139.23%,2.09,180.41,169.59,60.62%,0.415,2023-06-16,167.50P,1.89,172.50P,3.9,177.50C,1.75,182.50C,0.85,-0.0149999999999999,-0.005154639175257638
