Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
FSLR,218.89,2.08,+16.10%,12.92,227.08,207.92,48.05%,0.682,2023-04-21,195.00P,0.12,210.00P,0.9,225.00C,1.52,240.00C,0.22,monthly,-268.9999999999999,-1.2932692307692306
ENPH,224.92,3.63,+22.17%,16.37,243.63,216.37,66.14%,0.65,2023-04-21,200.00P,0.32,220.00P,3.1,240.00C,1.04,260.00C,0.19,monthly,-336.9999999999999,-0.9283746556473828
SCHW,52.77,0.65,+22.81%,2.85,54.65,49.85,53.85%,0.6409999999999999,2023-04-21,47.00P,0.09,50.50P,0.3,54.00C,0.52,57.50C,0.08,monthly,-60.650000000000034,-0.9330769230769237
SCHW,52.77,0.58,+19.86%,2.92,55.08,50.42,53.85%,0.635,2023-04-21,47.50P,0.1,51.00P,0.38,54.50C,0.36,58.00C,0.06,monthly,-69.75,-1.2025862068965516
SCHW,52.77,0.61,+21.11%,2.89,55.61,50.89,53.85%,0.63,2023-04-21,48.00P,0.12,51.50P,0.53,55.00C,0.26,58.50C,0.06,monthly,-68.5,-1.1229508196721312
SCHW,52.77,0.69,+29.87%,2.31,54.69,50.31,53.85%,0.604,2023-04-21,48.00P,0.12,51.00P,0.38,54.00C,0.52,57.00C,0.09,monthly,-49.8,-0.7217391304347828
SCHW,52.77,0.72,+31.58%,2.28,54.22,49.78,53.85%,0.595,2023-04-21,47.50P,0.1,50.50P,0.3,53.50C,0.65,56.50C,0.13,monthly,-49.49999999999999,-0.6875
ENPH,224.92,4.0,+36.36%,11.0,239.0,216.0,66.14%,0.595,2023-04-21,205.00P,0.54,220.00P,3.1,235.00C,1.86,250.00C,0.42,monthly,-207.50000000000009,-0.51875
SCHW,52.77,0.65,+27.66%,2.35,55.15,50.85,53.85%,0.593,2023-04-21,48.50P,0.16,51.50P,0.53,54.50C,0.36,57.50C,0.08,monthly,-57.10000000000001,-0.8784615384615386
SCHW,52.77,0.84,+38.89%,2.16,53.84,49.16,53.85%,0.586,2023-04-21,47.00P,0.09,50.00P,0.22,53.00C,0.88,56.00C,0.17,monthly,-40.20000000000001,-0.47857142857142887
SCHW,52.77,0.7,+30.43%,2.3,55.7,51.3,53.85%,0.584,2023-04-21,49.00P,0.17,52.00P,0.67,55.00C,0.26,58.00C,0.06,monthly,-54.8,-0.7828571428571429
ABNB,116.17,1.36,+37.36%,3.64,121.36,113.64,43.06%,0.5820000000000001,2023-04-21,110.00P,0.29,115.00P,1.23,120.00C,0.49,125.00C,0.07,monthly,-72.99999999999997,-0.5367647058823527
ENPH,224.92,4.84,+47.64%,10.16,229.84,205.16,66.14%,0.578,2023-04-21,195.00P,0.21,210.00P,0.9,225.00C,5.3,240.00C,1.15,monthly,-149.0000000000001,-0.30785123966942163
JPM,139.83,0.71,+31.00%,2.29,142.71,138.29,21.13%,0.575,2023-04-21,136.00P,0.18,139.00P,0.64,142.00C,0.33,145.00C,0.08,monthly,-56.50000000000002,-0.7957746478873241
SHOP,48.52,0.86,+40.19%,2.14,51.86,47.14,62.51%,0.575,2023-04-21,45.00P,0.16,48.00P,0.81,51.00C,0.29,54.00C,0.08,monthly,-41.50000000000001,-0.4825581395348839
FSLR,218.89,3.13,+45.56%,6.87,223.13,206.87,48.05%,0.573,2023-04-21,200.00P,0.21,210.00P,0.9,220.00C,3.2,230.00C,0.76,monthly,-114.00000000000006,-0.36421725239616626
SCHW,52.77,0.75,+42.86%,1.75,54.75,50.75,53.85%,0.563,2023-04-21,49.00P,0.17,51.50P,0.53,54.00C,0.52,56.50C,0.13,monthly,-34.250000000000014,-0.45666666666666694
NIO,9.83,0.27,+36.99%,0.73,10.77,9.23,59.97%,0.5579999999999999,2023-04-28,8.50P,0.06,9.50P,0.23,10.50C,0.17,11.50C,0.07,weekly,-17.200000000000006,-0.6370370370370372
SCHW,52.77,0.73,+32.16%,2.27,56.23,51.77,53.85%,0.556,2023-04-21,49.50P,0.23,52.50P,0.84,55.50C,0.18,58.50C,0.06,monthly,-60.19999999999998,-0.8246575342465752
CRM,197.08,1.49,+42.45%,3.51,201.49,193.51,29.21%,0.5529999999999999,2023-04-21,190.00P,0.33,195.00P,1.09,200.00C,0.89,205.00C,0.16,monthly,-74.50000000000003,-0.5000000000000001
SCHW,52.77,0.84,+50.60%,1.66,53.84,49.66,53.85%,0.5529999999999999,2023-04-21,48.00P,0.12,50.50P,0.3,53.00C,0.88,55.50C,0.22,monthly,-27.75000000000001,-0.3303571428571431
SHOP,48.52,0.82,+48.81%,1.68,50.32,46.18,62.51%,0.5479999999999999,2023-04-21,44.50P,0.12,47.00P,0.46,49.50C,0.67,52.00C,0.19,monthly,-31.00000000000001,-0.37804878048780516
