Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
AMD,128.7,3.55,+144.90%,2.45,137.55,124.45,79.71%,0.444,2023-06-16,122.00P,1.31,128.00P,3.6,134.00C,2.65,140.00C,1.39,monthly,0.2139999999999997,0.060281690140845036
AMD,128.7,3.22,+180.90%,1.78,136.22,124.78,79.71%,0.396,2023-06-16,123.00P,1.59,128.00P,3.6,133.00C,2.95,138.00C,1.74,monthly,0.1999999999999999,0.06211180124223605
AMD,128.7,3.79,+118.07%,3.21,138.79,124.21,79.71%,0.482,2023-06-16,121.00P,1.06,128.00P,3.6,135.00C,2.37,142.00C,1.12,monthly,0.1640000000000001,0.04327176781002637
AMD,128.7,2.78,+227.87%,1.22,134.78,125.22,79.71%,0.3389999999999999,2023-06-16,124.00P,1.91,128.00P,3.6,132.00C,3.25,136.00C,2.16,monthly,0.1359999999999998,0.04892086330935244
AMD,128.7,3.43,+133.46%,2.57,136.43,123.57,79.71%,0.445,2023-06-16,121.00P,1.06,127.00P,3.1,133.00C,2.95,139.00C,1.56,monthly,0.1000000000000003,0.02915451895043738
NVDA,389.66,5.06,+207.38%,2.44,395.06,377.44,49.21%,0.337,2023-06-16,375.00P,2.19,382.50P,4.1,390.00C,8.85,397.50C,5.7,monthly,0.0874999999999999,0.017292490118577076
AMD,128.7,3.97,+98.51%,4.03,139.97,124.03,79.71%,0.514,2023-06-16,120.00P,0.86,128.00P,3.6,136.00C,2.13,144.00C,0.9,monthly,0.0820000000000003,0.020654911838790924
AMD,128.7,3.1,+163.16%,1.9,135.1,123.9,79.71%,0.395,2023-06-16,122.00P,1.31,127.00P,3.1,132.00C,3.25,137.00C,1.94,monthly,0.0750000000000001,0.024193548387096846
AMD,128.7,2.71,+210.08%,1.29,133.71,124.29,79.71%,0.3379999999999999,2023-06-16,123.00P,1.59,127.00P,3.1,131.00C,3.6,135.00C,2.4,monthly,0.0619999999999998,0.022878228782287634
ADBE,475.06,14.75,+143.90%,10.25,494.75,440.25,101.35%,0.412,2023-06-16,430.00P,3.25,455.00P,9.9,480.00C,18.4,505.00C,10.3,monthly,0.0500000000000016,0.0033898305084745024
AMD,128.7,2.24,+294.74%,0.76,133.24,125.76,79.71%,0.27,2023-06-16,125.00P,2.27,128.00P,3.6,131.00C,3.6,134.00C,2.69,monthly,0.0500000000000001,0.0223214285714286
MSFT,330.66,1.88,+303.23%,0.62,334.38,328.12,26.67%,0.264,2023-06-16,327.50P,1.89,330.00P,2.72,332.50C,3.5,335.00C,2.45,monthly,0.0399999999999999,0.021276595744680868
SHOP,64.98,1.28,+177.78%,0.72,66.28,61.72,67.80%,0.376,2023-06-16,61.00P,0.42,63.00P,0.93,65.00C,1.91,67.00C,1.14,monthly,0.032,0.025000000000000033
AMD,128.7,3.64,+108.33%,3.36,137.64,123.36,79.71%,0.484,2023-06-16,120.00P,0.86,127.00P,3.1,134.00C,2.65,141.00C,1.25,monthly,0.028,0.0076923076923077665
AMD,128.7,2.2,+275.00%,0.8,132.2,124.8,79.71%,0.27,2023-06-16,124.00P,1.91,127.00P,3.1,130.00C,4.0,133.00C,2.99,monthly,0.0100000000000001,0.0045454545454545695
AAPL,183.11,1.37,+121.24%,1.13,186.37,181.13,22.22%,0.456,2023-06-16,180.00P,0.57,182.50P,1.25,185.00C,1.06,187.50C,0.37,monthly,0.0100000000000001,0.007299270072992712
AMZN,126.49,1.31,+189.86%,0.69,129.31,124.69,38.20%,0.349,2023-06-16,124.00P,0.93,126.00P,1.63,128.00C,1.49,130.00C,0.88,monthly,0.008,0.006106870229007637
