Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
AAPL,173.84,2.64,+111.86%,2.36,177.64,167.36,22.20%,0.499,2023-05-19,165.00P,0.67,170.00P,1.62,175.00C,2.4,180.00C,0.71,monthly,0.1350000000000002,0.051136363636363695
NVDA,284.22,4.41,+142.72%,3.09,291.91,275.59,36.90%,0.426,2023-05-12,272.50P,1.85,280.00P,3.85,287.50C,4.35,295.00C,1.94,weekly,0.1049999999999999,0.023809523809523798
TSLA,168.57,2.98,+147.53%,2.02,172.98,162.02,43.23%,0.413,2023-05-12,160.00P,1.33,165.00P,2.7,170.00C,3.1,175.00C,1.49,weekly,0.0449999999999999,0.01510067114093961
AMD,88.4,2.24,+127.27%,1.76,91.24,82.76,40.99%,0.447,2023-05-19,81.00P,0.51,85.00P,1.3,89.00C,2.75,93.00C,1.3,monthly,0.0280000000000002,0.012500000000000145
TSLA,168.57,4.37,+139.62%,3.13,176.87,160.63,44.49%,0.42,2023-05-19,157.50P,2.19,165.00P,4.4,172.50C,3.95,180.00C,1.79,monthly,0.0199999999999997,0.004576659038901582
PYPL,74.69,2.21,+123.46%,1.79,79.21,70.79,67.75%,0.451,2023-05-12,69.00P,0.93,73.00P,2.16,77.00C,1.64,81.00C,0.66,weekly,0.0140000000000001,0.006334841628959315
UPST,13.12,1.15,+135.29%,0.85,15.15,10.85,211.19%,0.431,2023-05-12,10.00P,0.4,12.00P,1.05,14.00C,1.03,16.00C,0.53,weekly,0.012,0.0104347826086956
NVDA,284.22,4.37,+139.62%,3.13,294.37,278.13,36.90%,0.418,2023-05-12,275.00P,2.41,282.50P,4.85,290.00C,3.35,297.50C,1.42,weekly,0.0049999999999998,0.0011441647597253755
TSLA,168.57,2.97,+146.31%,2.03,175.47,164.53,43.23%,0.406,2023-05-12,162.50P,1.93,167.50P,3.7,172.50C,2.18,177.50C,0.98,weekly,2.220446049250313e-16,1.5176786127872508e-16
AMD,88.4,2.2,+122.22%,1.8,92.2,83.8,40.99%,0.447,2023-05-19,82.00P,0.66,86.00P,1.62,90.00C,2.3,94.00C,1.06,monthly,-0.0119999999999999,-0.005454545454545399
