Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
NVDA,282.91,6.07,+154.45%,3.93,291.07,268.93,42.33%,0.415,2023-05-12,265.00P,2.23,275.00P,4.65,285.00C,6.9,295.00C,3.25,weekly,0.2200000000000002,0.03624382207578257
NVDA,282.91,6.01,+150.63%,3.99,293.51,271.49,42.33%,0.419,2023-05-12,267.50P,2.72,277.50P,5.55,287.50C,5.8,297.50C,2.62,weekly,0.1999999999999997,0.033277870216306155
NVDA,282.91,4.26,+131.48%,3.24,289.26,273.24,49.40%,0.457,2023-05-05,270.00P,1.1,277.50P,2.9,285.00C,3.95,292.50C,1.49,weekly,0.1875000000000002,0.04401408450704224
NVDA,282.91,4.17,+125.23%,3.33,291.67,275.83,49.40%,0.465,2023-05-05,272.50P,1.57,280.00P,3.8,287.50C,2.95,295.00C,1.01,weekly,0.1575000000000004,0.037769784172661934
NVDA,282.91,4.17,+125.23%,3.33,294.17,278.33,49.40%,0.462,2023-05-05,275.00P,2.18,282.50P,4.9,290.00C,2.12,297.50C,0.67,weekly,0.135,0.0323741007194244
NVDA,282.91,5.95,+146.91%,4.05,295.95,274.05,42.33%,0.417,2023-05-12,270.00P,3.3,280.00P,6.55,290.00C,4.8,300.00C,2.1,weekly,0.1200000000000005,0.020168067226890785
AMD,88.71,2.49,+164.90%,1.51,94.49,85.51,103.23%,0.4029999999999999,2023-05-05,84.00P,1.46,88.00P,3.0,92.00C,1.9,96.00C,0.95,weekly,0.102,0.040963855421686644
TSLA,161.79,2.74,+121.24%,2.26,170.24,159.76,56.33%,0.4629999999999999,2023-05-05,157.50P,1.7,162.50P,3.65,167.50C,1.24,172.50C,0.45,weekly,0.0550000000000001,0.02007299270072973
META,240.0,2.81,+128.31%,2.19,247.81,237.19,41.63%,0.436,2023-05-05,235.00P,1.68,240.00P,3.45,245.00C,1.74,250.00C,0.7,weekly,-0.01,-0.003558718861210007
AAPL,168.35,2.98,+147.53%,2.02,175.48,164.52,36.64%,0.401,2023-05-12,162.50P,1.98,167.50P,3.6,172.50C,2.22,177.50C,0.86,weekly,-0.0149999999999999,-0.005033557046979871
NCLH,14.1,0.24,+92.31%,0.26,14.74,13.76,68.00%,0.414,2023-05-05,13.50P,0.12,14.00P,0.25,14.50C,0.2,15.00C,0.09,weekly,-0.053,-0.22083333333333346
NVDA,282.91,4.5,+81.82%,5.5,297.0,278.0,49.40%,0.532,2023-05-05,272.50P,1.57,282.50P,4.9,292.50C,1.46,302.50C,0.29,weekly,-0.1799999999999997,-0.03999999999999992
NVDA,282.91,6.41,+105.26%,6.09,298.91,273.59,42.33%,0.472,2023-05-12,267.50P,2.72,280.00P,6.55,292.50C,3.9,305.00C,1.32,weekly,-0.1899999999999999,-0.029641185647425856
ABNB,119.04,1.79,+81.00%,2.21,121.79,114.21,51.89%,0.497,2023-05-05,112.00P,0.31,116.00P,0.96,120.00C,1.82,124.00C,0.68,weekly,-0.2219999999999995,-0.12402234636871505
NVDA,282.91,4.38,+77.94%,5.62,294.38,275.62,49.40%,0.5379999999999999,2023-05-05,270.00P,1.1,280.00P,3.8,290.00C,2.12,300.00C,0.44,weekly,-0.2400000000000006,-0.05479452054794546
NVDA,282.91,4.41,+78.89%,5.59,291.91,273.09,49.40%,0.534,2023-05-05,267.50P,0.77,277.50P,2.9,287.50C,2.95,297.50C,0.67,weekly,-0.2499999999999995,-0.05668934240362799
NVDA,282.91,6.69,+80.51%,8.31,301.69,273.31,42.33%,0.517,2023-05-12,265.00P,2.23,280.00P,6.55,295.00C,3.2,310.00C,0.83,weekly,-0.5549999999999997,-0.08295964125560532
NVDA,282.91,4.65,+59.24%,7.85,299.65,277.85,49.40%,0.583,2023-05-05,270.00P,1.1,282.50P,4.9,295.00C,0.99,307.50C,0.14,weekly,-0.5625,-0.12096774193548382
NVDA,282.91,4.29,+52.25%,8.21,296.79,275.71,49.40%,0.588,2023-05-05,267.50P,0.77,280.00P,3.8,292.50C,1.46,305.00C,0.2,weekly,-0.8600000000000003,-0.20046620046620056
NVDA,282.91,4.71,+45.77%,10.29,302.21,277.79,49.40%,0.621,2023-05-05,267.50P,0.77,282.50P,4.9,297.50C,0.65,312.50C,0.07,weekly,-0.9749999999999996,-0.20700636942675155
NVDA,282.91,4.2,+50.60%,8.3,294.2,273.3,49.40%,0.586,2023-05-05,265.00P,0.53,277.50P,2.9,290.00C,2.12,302.50C,0.29,weekly,-0.9750000000000004,-0.23214285714285732
NVDA,282.91,6.8,+63.55%,10.7,304.3,273.2,42.33%,0.552,2023-05-12,262.50P,1.82,280.00P,6.55,297.50C,2.58,315.00C,0.51,weekly,-1.0399999999999987,-0.15294117647058805
NVDA,282.91,4.16,+38.38%,10.84,299.16,275.84,49.40%,0.628,2023-05-05,265.00P,0.53,280.00P,3.8,295.00C,0.99,310.00C,0.1,weekly,-1.4199999999999997,-0.34134615384615374
NVDA,282.91,6.81,+51.63%,13.19,306.81,273.19,42.33%,0.581,2023-05-12,260.00P,1.47,280.00P,6.55,300.00C,2.06,320.00C,0.33,weekly,-1.5700000000000012,-0.23054331864904565
Downloaded from Barchart.com as of 05-02-2023 10:15am CDT,,,,,,,,,,,,,,,,,,,,
