Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
DOCU,58.59,3.7,+160.87%,2.3,67.7,54.3,343.64%,0.452,2023-06-09,52.00P,1.41,58.00P,3.85,64.00C,2.13,70.00C,0.87,0.4120000000000001,0.11135135135135141
DOCU,58.59,3.29,+192.40%,1.71,65.29,53.71,343.64%,0.412,2023-06-09,52.00P,1.41,57.00P,3.35,62.00C,2.77,67.00C,1.42,0.3500000000000001,0.10638297872340421
DOCU,58.59,2.87,+253.98%,1.13,63.87,54.13,343.64%,0.354,2023-06-09,53.00P,1.73,57.00P,3.35,61.00C,3.15,65.00C,1.9,0.2859999999999999,0.09965156794425088
DOCU,58.59,3.28,+190.70%,1.72,65.78,54.22,131.79%,0.377,2023-06-16,52.50P,1.9,57.50P,3.9,62.50C,2.98,67.50C,1.7,0.1649999999999998,0.05030487804878046
AMD,121.19,3.24,+184.09%,1.76,127.24,115.76,64.45%,0.38,2023-06-16,114.00P,1.67,119.00P,3.5,124.00C,3.4,129.00C,1.99,0.1400000000000001,0.043209876543209895
AMD,121.19,3.26,+187.36%,1.74,128.26,116.74,64.45%,0.376,2023-06-16,115.00P,1.97,120.00P,3.95,125.00C,3.05,130.00C,1.77,0.1399999999999999,0.04294478527607357
DOCU,58.59,2.3,+328.57%,0.7,63.3,55.7,343.64%,0.2769999999999999,2023-06-09,55.00P,2.5,58.00P,3.85,61.00C,3.15,64.00C,2.2,0.1309999999999999,0.05695652173913031
AMD,121.19,3.22,+180.90%,1.78,126.22,114.78,64.45%,0.381,2023-06-16,113.00P,1.41,118.00P,3.05,123.00C,3.8,128.00C,2.22,0.125,0.03881987577639752
AMD,121.19,3.56,+145.90%,2.44,128.56,115.44,64.45%,0.426,2023-06-16,113.00P,1.41,119.00P,3.5,125.00C,3.05,131.00C,1.58,0.1159999999999998,0.03258426966292132
AMD,121.19,2.82,+238.98%,1.18,126.82,117.18,64.45%,0.32,2023-06-16,116.00P,2.31,120.00P,3.95,124.00C,3.4,128.00C,2.22,0.1,0.03546099290780142
NVDA,387.23,5.35,+248.84%,2.15,395.35,377.15,42.37%,0.293,2023-06-16,375.00P,4.8,382.50P,7.55,390.00C,8.2,397.50C,5.6,0.0474999999999996,0.008878504672897159
