Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask","Exp Type"
GOOGL,117.04,1.23,+14.03%,8.77,126.23,113.77,30.30%,69.0%,2023-05-19,105.00P,0.09,115.00P,1.1,125.00C,0.28,135.00C,0.06,monthly
AMZN,111.76,0.66,+28.21%,2.34,113.66,109.34,40.92%,63.1%,2023-05-12,107.00P,0.08,110.00P,0.3,113.00C,0.53,116.00C,0.09,weekly
AMZN,111.76,0.91,+43.54%,2.09,112.91,108.09,40.92%,62.4%,2023-05-12,106.00P,0.06,109.00P,0.17,112.00C,0.95,115.00C,0.15,weekly
GOOGL,117.04,1.6,+36.36%,4.4,120.6,111.4,30.30%,61.2%,2023-05-19,107.00P,0.13,113.00P,0.61,119.00C,1.41,125.00C,0.29,monthly
GOOG,117.7,1.69,+39.21%,4.31,120.69,111.31,30.06%,60.9%,2023-05-19,107.00P,0.12,113.00P,0.51,119.00C,1.64,125.00C,0.34,monthly
AMZN,111.76,0.65,+27.66%,2.35,114.65,110.35,40.92%,60.7%,2023-05-12,108.00P,0.11,111.00P,0.54,114.00C,0.28,117.00C,0.06,weekly
AMZN,111.76,1.6,+29.63%,5.4,119.6,109.4,31.53%,60.3%,2023-05-19,104.00P,0.24,111.00P,1.57,118.00C,0.33,125.00C,0.06,monthly
BABA,86.82,0.68,+29.31%,2.32,88.68,84.32,56.38%,60.3%,2023-05-12,82.00P,0.07,85.00P,0.37,88.00C,0.5,91.00C,0.12,weekly
AMZN,111.76,1.69,+51.06%,3.31,115.69,107.31,31.53%,57.8%,2023-05-19,104.00P,0.24,109.00P,0.94,114.00C,1.24,119.00C,0.25,monthly
META,236.68,1.61,+47.49%,3.39,241.61,233.39,41.04%,57.4%,2023-05-12,230.00P,0.36,235.00P,1.41,240.00C,0.71,245.00C,0.15,weekly
NFLX,333.35,2.18,+40.98%,5.32,342.18,330.32,39.02%,57.2%,2023-05-12,325.00P,0.37,332.50P,1.94,340.00C,0.71,347.50C,0.1,weekly
AMZN,111.76,1.67,+50.15%,3.33,116.67,108.33,31.53%,56.9%,2023-05-19,105.00P,0.31,110.00P,1.24,115.00C,0.92,120.00C,0.18,monthly
GOOGL,117.04,1.63,+48.37%,3.37,121.63,113.37,30.30%,56.6%,2023-05-19,110.00P,0.27,115.00P,1.1,120.00C,1.09,125.00C,0.29,monthly
JD,37.37,0.43,+40.19%,1.07,38.93,36.57,75.12%,56.0%,2023-05-12,35.50P,0.1,37.00P,0.4,38.50C,0.2,40.00C,0.07,weekly
AMD,98.25,1.17,+63.93%,1.83,102.17,96.83,63.43%,55.0%,2023-05-12,95.00P,0.31,98.00P,1.22,101.00C,0.41,104.00C,0.15,weekly
