Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
AAPL,180.95,1.65,+194.12%,0.85,184.15,178.35,28.63%,0.337,2023-06-09,177.50P,1.19,180.00P,2.08,182.50C,1.99,185.00C,1.23,-0.0074999999999999,-0.00454545454545453
TSLA,213.97,3.37,+206.75%,1.63,218.37,206.63,51.48%,0.3229999999999999,2023-06-09,205.00P,2.13,210.00P,3.65,215.00C,5.25,220.00C,3.4,-0.0150000000000001,-0.004451038575667791
PYPL,63.96,0.66,+194.12%,0.34,64.66,62.34,33.98%,0.321,2023-06-09,62.00P,0.39,63.00P,0.65,64.00C,1.1,65.00C,0.7,-0.019,-0.0287878787878788
AMZN,124.25,1.26,+170.27%,0.74,127.26,122.74,29.96%,0.358,2023-06-09,122.00P,0.95,124.00P,1.67,126.00C,1.22,128.00C,0.68,-0.024,-0.019047619047619115
AMZN,124.25,1.24,+163.16%,0.76,126.24,121.76,29.96%,0.361,2023-06-09,121.00P,0.69,123.00P,1.25,125.00C,1.61,127.00C,0.93,-0.038,-0.030645161290322607
META,272.61,3.05,+156.41%,1.95,280.55,269.45,31.04%,0.38,2023-06-09,267.50P,2.22,272.50P,4.1,277.50C,2.46,282.50C,1.29,-0.05,-0.01639344262295083
DIS,90.77,0.6,+150.00%,0.4,91.6,89.4,23.66%,0.31,2023-06-09,89.00P,0.45,90.00P,0.72,91.00C,0.97,92.00C,0.64,-0.0899999999999999,-0.15000000000000005
M,15.42,0.24,+92.31%,0.26,15.74,14.76,57.00%,0.336,2023-06-09,14.50P,0.14,15.00P,0.25,15.50C,0.39,16.00C,0.26,-0.0919999999999999,-0.38333333333333325
XOM,105.76,1.14,+132.56%,0.86,108.14,103.86,31.51%,0.382,2023-06-09,103.00P,0.71,105.00P,1.3,107.00C,1.14,109.00C,0.59,-0.0959999999999999,-0.08421052631578947
XOM,105.76,0.68,+212.50%,0.32,106.68,104.32,31.51%,0.218,2023-06-09,104.00P,0.99,105.00P,1.3,106.00C,1.59,107.00C,1.22,-0.102,-0.15000000000000002
