Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
AMZN,111.76,1.73,+136.22%,1.27,113.73,107.27,31.53%,0.456,2023-05-19,106.00P,0.41,109.00P,0.94,112.00C,2.14,115.00C,0.94,monthly,0.0979999999999999,0.05664739884393066
AMZN,111.76,1.94,+94.17%,2.06,113.94,106.06,31.53%,0.529,2023-05-19,104.00P,0.24,108.00P,0.71,112.00C,2.14,116.00C,0.67,monthly,0.0559999999999999,0.02886597938144331
META,236.68,1.46,+140.39%,1.04,238.96,233.54,41.04%,0.405,2023-05-12,232.50P,0.73,235.00P,1.41,237.50C,1.51,240.00C,0.73,weekly,-0.0274999999999999,-0.018835616438356177
AMD,98.25,1.04,+108.33%,0.96,101.04,96.96,63.43%,0.455,2023-05-12,96.00P,0.5,98.00P,1.22,100.00C,0.61,102.00C,0.29,weekly,-0.0499999999999998,-0.04807692307692295
AMZN,111.76,1.61,+115.83%,1.39,115.61,109.39,31.53%,0.4429999999999999,2023-05-19,108.00P,0.72,111.00P,1.57,114.00C,1.24,117.00C,0.48,monthly,-0.061,-0.037888198757764176
AMZN,111.76,0.85,+73.91%,1.15,112.85,109.15,40.92%,0.54,2023-05-12,108.00P,0.11,110.00P,0.3,112.00C,0.95,114.00C,0.29,weekly,-0.0699999999999999,-0.08235294117647048
AMZN,111.76,1.8,+81.82%,2.2,114.8,107.2,31.53%,0.531,2023-05-19,105.00P,0.31,109.00P,0.94,113.00C,1.65,117.00C,0.48,monthly,-0.0759999999999999,-0.042222222222222223
NFLX,333.35,4.41,+142.72%,3.09,341.91,325.59,31.40%,0.401,2023-05-19,322.50P,2.18,330.00P,4.2,337.50C,4.7,345.00C,2.31,monthly,-0.0824999999999995,-0.018707482993197192
AMD,98.25,2.09,+109.42%,1.91,103.09,94.91,45.75%,0.456,2023-05-19,93.00P,0.82,97.00P,2.05,101.00C,1.52,105.00C,0.66,monthly,-0.0859999999999999,-0.04114832535885168
AMD,98.25,0.98,+96.08%,1.02,99.98,96.02,63.43%,0.456,2023-05-12,95.00P,0.31,97.00P,0.79,99.00C,0.92,101.00C,0.42,weekly,-0.108,-0.11020408163265315
