Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
GME,24.73,1.42,+244.83%,0.58,27.92,23.08,221.31%,0.362,2023-06-09,22.50P,0.8,24.50P,1.79,26.50C,1.41,28.50C,0.98,0.1440000000000001,0.10140845070422537
TSLA,220.42,3.16,+171.74%,1.84,228.16,216.84,54.21%,0.389,2023-06-09,215.00P,1.96,220.00P,3.95,225.00C,2.61,230.00C,1.44,0.1049999999999999,0.033227848101265875
AMD,123.43,1.35,+207.69%,0.65,126.35,121.65,46.90%,0.3429999999999999,2023-06-09,121.00P,0.87,123.00P,1.6,125.00C,1.68,127.00C,1.06,0.0359999999999999,0.026666666666666602
AMD,123.43,1.34,+203.03%,0.66,125.34,120.66,46.90%,0.344,2023-06-09,120.00P,0.61,122.00P,1.19,124.00C,2.1,126.00C,1.34,0.0279999999999999,0.02089552238805967
AMZN,126.62,0.73,+270.37%,0.27,127.73,125.27,29.20%,0.286,2023-06-09,125.00P,0.6,126.00P,0.93,127.00C,1.28,128.00C,0.88,0.016,0.021917808219178034
GOOGL,127.92,0.69,+222.58%,0.31,128.69,126.31,24.38%,0.324,2023-06-09,126.00P,0.4,127.00P,0.68,128.00C,1.13,129.00C,0.72,0.014,0.020289855072463774
GOOG,128.45,0.68,+212.50%,0.32,129.68,127.32,24.20%,0.324,2023-06-09,127.00P,0.53,128.00P,0.87,129.00C,0.91,130.00C,0.57,0.004,0.005882352941176502
AMD,123.43,0.8,+400.00%,0.2,124.8,122.2,46.90%,0.196,2023-06-09,122.00P,1.21,123.00P,1.6,124.00C,2.1,125.00C,1.69,-0.004,-0.0050000000000000044
TSLA,220.42,1.92,+331.03%,0.58,224.42,218.08,54.21%,0.2289999999999999,2023-06-09,217.50P,2.85,220.00P,3.95,222.50C,3.45,225.00C,2.63,-0.0075,-0.00390625000000015
GME,24.73,1.06,+240.91%,0.44,26.56,22.94,221.31%,0.285,2023-06-09,22.50P,0.8,24.00P,1.5,25.50C,1.65,27.00C,1.29,-0.0125,-0.011792452830188737
AMD,123.43,1.66,+123.88%,1.34,127.66,121.34,46.90%,0.442,2023-06-09,120.00P,0.61,123.00P,1.6,126.00C,1.32,129.00C,0.65,-0.0140000000000002,-0.00843373493975917
TSM,99.76,0.65,+185.71%,0.35,100.65,98.35,30.62%,0.321,2023-06-09,98.00P,0.39,99.00P,0.68,100.00C,1.07,101.00C,0.71,-0.0289999999999999,-0.044615384615384605
TSLA,220.42,3.02,+152.53%,1.98,225.52,214.48,54.21%,0.39,2023-06-09,212.50P,1.31,217.50P,2.83,222.50C,3.45,227.50C,1.95,-0.03,-0.009933774834437076
AMD,123.43,1.62,+117.39%,1.38,126.62,120.38,46.90%,0.4479999999999999,2023-06-09,119.00P,0.42,122.00P,1.19,125.00C,1.68,128.00C,0.83,-0.036,-0.022222222222222282
AMZN,126.62,1.05,+110.53%,0.95,129.05,124.95,29.20%,0.456,2023-06-09,124.00P,0.37,126.00P,0.93,128.00C,0.87,130.00C,0.38,-0.0379999999999999,-0.03619047619047612
TSLA,220.42,3.79,+102.16%,3.71,231.29,216.21,54.21%,0.489,2023-06-09,212.50P,1.31,220.00P,3.95,227.50C,1.93,235.00C,0.78,-0.0424999999999999,-0.011213720316622752
