Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
PFE,38.88,0.49,+96.08%,0.51,39.99,38.01,27.95%,0.436,2023-06-02,37.50P,0.21,38.50P,0.46,39.50C,0.43,40.50C,0.19,-0.074,-0.15102040816326542
TSLA,183.15,4.26,+131.48%,3.24,194.26,178.24,48.70%,0.418,2023-06-02,175.00P,2.57,182.50P,5.3,190.00C,2.84,197.50C,1.31,-0.1050000000000006,-0.024647887323943775
ZIM,14.26,0.15,+42.86%,0.35,14.65,13.85,71.71%,0.4029999999999999,2023-05-26,13.50P,0.09,14.00P,0.16,14.50C,0.18,15.00C,0.1,-0.1484999999999999,-0.9900000000000001
NFLX,362.52,3.84,+104.92%,3.66,373.84,358.66,43.41%,0.461,2023-05-26,355.00P,1.9,362.50P,4.65,370.00C,1.91,377.50C,0.82,-0.2024999999999996,-0.052734374999999986
NFLX,362.52,3.63,+93.80%,3.87,371.13,356.37,43.41%,0.47,2023-05-26,352.50P,1.34,360.00P,3.5,367.50C,2.56,375.00C,1.09,-0.3450000000000004,-0.09504132231404963
NFLX,362.52,4.25,+73.91%,5.75,376.75,358.25,43.41%,0.528,2023-05-26,352.50P,1.34,362.50P,4.65,372.50C,1.41,382.50C,0.47,-0.4699999999999997,-0.11058823529411763
PANW,203.76,2.07,+26.10%,7.93,207.07,192.93,42.16%,0.657,2023-05-26,185.00P,0.08,195.00P,0.25,205.00C,2.13,215.00C,0.23,-1.3599999999999997,-0.6570048309178743
PANW,203.76,2.08,+19.96%,10.42,207.08,190.42,42.16%,0.6829999999999999,2023-05-26,180.00P,0.07,192.50P,0.15,205.00C,2.13,217.50C,0.13,-1.8825000000000005,-0.9050480769230771
Downloaded from Barchart.com as of 05-24-2023 02:02pm CDT,,,,,,,,,,,,,,,,,,,
