Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
NFLX,334.7,3.57,+90.84%,3.93,338.57,323.93,35.82%,0.5589999999999999,2023-05-12,320.00P,0.2,327.50P,0.8,335.00C,4.2,342.50C,1.23,weekly,0.2624999999999995,0.07352941176470579
AMZN,108.77,1.16,+138.10%,0.84,110.16,105.84,35.36%,0.5379999999999999,2023-05-12,105.00P,0.1,107.00P,0.25,109.00C,1.61,111.00C,0.6,weekly,0.2359999999999998,0.20344827586206882
NFLX,334.7,2.97,+146.31%,2.03,337.97,327.03,35.82%,0.452,2023-05-12,325.00P,0.52,330.00P,1.26,335.00C,4.2,340.00C,1.97,weekly,0.2300000000000002,0.07744107744107748
AMZN,108.77,1.74,+138.10%,1.26,111.74,105.26,29.75%,0.477,2023-05-19,104.00P,0.38,107.00P,0.91,110.00C,1.99,113.00C,0.78,monthly,0.1710000000000001,0.09827586206896549
COIN,61.42,1.6,+114.29%,1.4,63.6,57.4,101.52%,0.495,2023-05-12,56.00P,0.23,59.00P,0.59,62.00C,2.22,65.00C,0.98,weekly,0.085,0.053125000000000096
GOOGL,108.76,1.19,+146.91%,0.81,110.19,105.81,46.89%,0.433,2023-05-12,105.00P,0.26,107.00P,0.58,109.00C,1.76,111.00C,0.89,weekly,0.0559999999999999,0.047058823529411736
AMD,97.71,1.16,+138.10%,0.84,99.16,94.84,51.28%,0.435,2023-05-12,94.00P,0.2,96.00P,0.5,98.00C,1.86,100.00C,1.0,weekly,0.03,0.02586206896551731
NFLX,334.7,2.79,+126.24%,2.21,340.29,329.71,35.82%,0.4479999999999999,2023-05-12,327.50P,0.83,332.50P,1.92,337.50C,2.93,342.50C,1.23,weekly,0.0299999999999998,0.010752688172042885
AMZN,108.77,0.99,+98.02%,1.01,110.99,107.01,35.36%,0.513,2023-05-12,106.00P,0.16,108.00P,0.44,110.00C,1.03,112.00C,0.32,weekly,0.016,0.016161616161616175
AMZN,108.77,1.64,+120.59%,1.36,112.64,106.36,29.75%,0.457,2023-05-19,105.00P,0.51,108.00P,1.2,111.00C,1.49,114.00C,0.54,monthly,0.0110000000000001,0.0067073170731708
AMD,97.71,1.12,+127.27%,0.88,100.12,95.88,51.28%,0.43,2023-05-12,95.00P,0.32,97.00P,0.78,99.00C,1.37,101.00C,0.71,weekly,-0.02,-0.01785714285714284
GOOG,109.34,1.13,+129.89%,0.87,111.13,106.87,46.98%,0.424,2023-05-12,106.00P,0.33,108.00P,0.71,110.00C,1.52,112.00C,0.77,weekly,-0.022,-0.019469026548672663
GOOG,109.34,1.13,+129.89%,0.87,112.13,107.87,46.98%,0.417,2023-05-12,107.00P,0.49,109.00P,1.04,111.00C,1.1,113.00C,0.52,weekly,-0.0359999999999999,-0.03185840707964609
PLTR,9.99,0.26,+108.33%,0.24,10.26,9.24,60.54%,0.405,2023-05-19,9.00P,0.07,9.50P,0.12,10.00C,0.51,10.50C,0.3,monthly,-0.0374999999999999,-0.1442307692307691
