Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
RIOT,11.68,0.27,+117.39%,0.23,12.27,11.23,121.44%,0.377,2023-06-23,11.00P,0.14,11.50P,0.31,12.00C,0.28,12.50C,0.18,-0.0414999999999999,-0.15370370370370365
COIN,58.1,1.11,+124.72%,0.89,60.11,55.89,92.96%,0.4029999999999999,2023-06-23,55.00P,0.46,57.00P,1.03,59.00C,1.14,61.00C,0.6,-0.0839999999999999,-0.07567567567567572
RIOT,11.68,0.34,+51.52%,0.66,12.84,11.16,121.44%,0.5479999999999999,2023-06-23,10.50P,0.06,11.50P,0.31,12.50C,0.16,13.50C,0.07,-0.1120000000000001,-0.32941176470588257
COIN,58.1,1.04,+108.33%,0.96,61.04,56.96,92.96%,0.377,2023-06-23,56.00P,0.78,58.00P,1.44,60.00C,0.82,62.00C,0.44,-0.2059999999999999,-0.198076923076923
COIN,58.1,1.33,+79.64%,1.67,62.33,56.67,92.96%,0.488,2023-06-23,55.00P,0.46,58.00P,1.44,61.00C,0.58,64.00C,0.23,-0.2059999999999999,-0.15488721804511274
NVDA,430.45,3.9,+354.55%,1.1,438.9,426.1,42.21%,0.176,2023-06-30,425.00P,8.55,430.00P,10.75,435.00C,9.55,440.00C,7.85,-0.2199999999999999,-0.05641025641025647
COIN,58.1,1.24,+70.45%,1.76,61.24,55.76,92.96%,0.503,2023-06-23,54.00P,0.3,57.00P,1.03,60.00C,0.82,63.00C,0.31,-0.251,-0.20241935483870963
COIN,58.1,1.42,+55.04%,2.58,63.42,56.58,92.96%,0.5479999999999999,2023-06-23,54.00P,0.3,58.00P,1.44,62.00C,0.4,66.00C,0.12,-0.3880000000000004,-0.27323943661971856
COIN,58.1,1.27,+46.52%,2.73,62.27,55.73,92.96%,0.5710000000000001,2023-06-23,53.00P,0.19,57.00P,1.03,61.00C,0.58,65.00C,0.15,-0.4459999999999997,-0.35118110236220457
MSFT,333.56,1.35,+117.39%,1.15,336.35,331.15,22.31%,0.176,2023-06-30,330.00P,3.05,332.50P,3.5,335.00C,4.2,337.50C,3.3,-0.7099999999999999,-0.5259259259259259
FDX,225.84,1.56,+26.26%,5.94,234.06,223.44,30.24%,0.628,2023-06-23,217.50P,0.2,225.00P,1.51,232.50C,0.32,240.00C,0.07,-1.23,-0.7884615384615387
UNH,476.75,1.29,+14.81%,8.71,481.29,468.71,19.51%,0.625,2023-06-23,460.00P,0.17,470.00P,0.51,480.00C,1.28,490.00C,0.33,-2.4600000000000004,-1.9069767441860468
Downloaded from Barchart.com as of 06-21-2023 03:51pm CDT,,,,,,,,,,,,,,,,,,,
