Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
NVDA,296.96,9.05,+152.10%,5.95,319.05,285.95,63.51%,0.412,2023-05-26,280.00P,5.0,295.00P,10.5,310.00C,6.7,325.00C,3.15,0.2300000000000008,0.02541436464088396
BABA,90.07,2.26,+129.89%,1.74,96.26,87.74,101.17%,0.455,2023-05-19,86.00P,0.99,90.00P,2.48,94.00C,1.36,98.00C,0.59,0.08,0.03539823008849562
AMD,102.36,2.18,+119.78%,1.82,105.18,96.82,42.30%,0.4639999999999999,2023-05-26,95.00P,0.51,99.00P,1.31,103.00C,2.43,107.00C,1.05,0.0359999999999999,0.016513761467889757
NVDA,296.96,9.66,+123.21%,7.84,322.16,285.34,63.51%,0.449,2023-05-26,277.50P,4.35,295.00P,10.5,312.50C,5.9,330.00C,2.39,0.0175000000000009,0.0018115942028986793
BABA,90.07,2.46,+96.85%,2.54,97.46,87.54,101.17%,0.51,2023-05-19,85.00P,0.75,90.00P,2.48,95.00C,1.11,100.00C,0.38,0.01,0.004065040650406497
AMZN,114.78,1.64,+120.59%,1.36,117.64,111.36,29.28%,0.447,2023-05-26,110.00P,0.56,113.00P,1.24,116.00C,1.68,119.00C,0.72,-0.019,-0.011585365853658497
MSFT,311.08,1.4,+127.27%,1.1,313.9,308.6,20.11%,0.43,2023-05-19,307.50P,0.6,310.00P,1.2,312.50C,1.38,315.00C,0.58,-0.0250000000000001,-0.01785714285714302
DAL,35.12,0.27,+117.39%,0.23,35.27,34.23,36.33%,0.408,2023-05-19,34.00P,0.07,34.50P,0.12,35.00C,0.48,35.50C,0.26,-0.026,-0.09629629629629635
SNAP,9.18,0.23,+85.19%,0.27,9.73,8.77,57.04%,0.437,2023-05-26,8.50P,0.1,9.00P,0.23,9.50C,0.2,10.00C,0.1,-0.0514999999999999,-0.22391304347826077
AMZN,114.78,1.62,+117.39%,1.38,118.62,112.38,29.28%,0.442,2023-05-26,111.00P,0.73,114.00P,1.6,117.00C,1.28,120.00C,0.53,-0.054,-0.033333333333333326
