Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
TSLA,260.49,3.75,+300.00%,1.25,268.75,256.25,53.17%,0.253,2023-06-23,255.00P,5.0,260.00P,7.25,265.00C,5.85,270.00C,4.35,0.015,0.0040000000000000036
INTC,36.46,0.8,+114.29%,0.7,38.8,35.7,50.39%,0.442,2023-06-23,35.00P,0.42,36.50P,1.03,38.00C,0.49,39.50C,0.3,-0.0369999999999999,-0.046249999999999965
SQ,66.49,0.7,+233.33%,0.3,67.7,65.3,41.69%,0.245,2023-06-23,65.00P,0.88,66.00P,1.25,67.00C,1.31,68.00C,0.98,-0.0549999999999999,-0.07857142857142857
INTC,36.46,0.34,+212.50%,0.16,37.34,36.16,50.39%,0.182,2023-06-23,36.00P,0.8,36.50P,1.03,37.00C,0.77,37.50C,0.66,-0.069,-0.20294117647058826
SQ,66.49,1.11,+124.72%,0.89,69.11,64.89,41.69%,0.41,2023-06-23,64.00P,0.58,66.00P,1.25,68.00C,0.94,70.00C,0.5,-0.0700000000000001,-0.06306306306306313
GME,24.57,0.3,+150.00%,0.2,25.3,24.2,54.53%,0.231,2023-06-23,24.00P,0.45,24.50P,0.67,25.00C,0.56,25.50C,0.48,-0.0845,-0.28166666666666673
COIN,55.58,1.29,+181.69%,0.71,58.29,53.71,73.92%,0.31,2023-06-23,53.00P,1.2,55.00P,1.92,57.00C,1.6,59.00C,1.03,-0.0899999999999999,-0.06976744186046502
BABA,92.01,1.54,+105.48%,1.46,96.54,90.46,37.68%,0.451,2023-06-23,89.00P,0.69,92.00P,1.79,95.00C,0.95,98.00C,0.51,-0.1069999999999998,-0.06948051948051943
JPM,143.25,0.55,+122.22%,0.45,144.55,142.45,12.24%,0.3329999999999999,2023-06-23,142.00P,0.52,143.00P,0.8,144.00C,0.65,145.00C,0.38,-0.117,-0.21272727272727282
INTC,36.46,0.55,+122.22%,0.45,37.55,35.45,50.39%,0.319,2023-06-23,35.00P,0.42,36.00P,0.74,37.00C,0.77,38.00C,0.54,-0.131,-0.23818181818181816
INTC,36.46,0.71,+89.87%,0.79,38.21,35.29,50.39%,0.431,2023-06-23,34.50P,0.28,36.00P,0.74,37.50C,0.61,39.00C,0.36,-0.1434999999999999,-0.20211267605633806
TSLA,260.49,3.6,+257.14%,1.4,266.1,253.9,53.17%,0.25,2023-06-23,252.50P,4.1,257.50P,5.95,262.50C,6.85,267.50C,5.1,-0.1499999999999998,-0.041666666666666644
COIN,55.58,0.68,+212.50%,0.32,56.68,54.32,73.92%,0.165,2023-06-23,54.00P,1.55,55.00P,1.92,56.00C,1.98,57.00C,1.67,-0.1549999999999999,-0.2279411764705882
BABA,92.01,1.15,+135.29%,0.85,95.15,90.85,37.68%,0.337,2023-06-23,90.00P,0.97,92.00P,1.79,94.00C,1.14,96.00C,0.81,-0.176,-0.15304347826086961
INTC,36.46,0.79,+65.29%,1.21,38.79,35.21,50.39%,0.51,2023-06-23,34.00P,0.2,36.00P,0.74,38.00C,0.49,40.00C,0.24,-0.1899999999999999,-0.240506329113924
FDX,233.49,5.61,+127.79%,4.39,245.61,224.39,58.95%,0.42,2023-06-23,220.00P,2.54,230.00P,5.7,240.00C,4.9,250.00C,2.45,-0.1900000000000004,-0.03386809269162215
BABA,92.01,1.72,+75.44%,2.28,97.72,90.28,37.68%,0.52,2023-06-23,88.00P,0.48,92.00P,1.79,96.00C,0.73,100.00C,0.32,-0.1999999999999998,-0.11627906976744178
FDX,233.49,5.6,+127.27%,4.4,240.6,219.4,58.95%,0.417,2023-06-23,215.00P,1.55,225.00P,3.8,235.00C,6.9,245.00C,3.55,-0.2299999999999999,-0.04107142857142865
BA,219.9,2.61,+109.21%,2.39,225.11,214.89,29.42%,0.431,2023-06-23,212.50P,1.05,217.50P,2.34,222.50C,2.52,227.50C,1.2,-0.2350000000000001,-0.09003831417624522
PYPL,66.46,0.81,+68.07%,1.19,67.81,64.19,30.38%,0.475,2023-06-23,63.00P,0.16,65.00P,0.49,67.00C,0.88,69.00C,0.4,-0.24,-0.2962962962962963
SNOW,184.18,2.97,+146.31%,2.03,187.97,177.03,46.96%,0.353,2023-06-23,175.00P,1.49,180.00P,2.77,185.00C,4.5,190.00C,2.81,-0.2649999999999999,-0.08922558922558914
UPST,37.22,1.61,+67.36%,2.39,41.61,34.39,95.31%,0.528,2023-06-23,32.00P,0.27,36.00P,1.29,40.00C,1.04,44.00C,0.45,-0.2779999999999999,-0.1726708074534161
JPM,143.25,0.7,+53.85%,1.3,145.7,142.3,12.24%,0.498,2023-06-23,141.00P,0.32,143.00P,0.8,145.00C,0.33,147.00C,0.11,-0.3040000000000001,-0.43428571428571433
TGT,133.68,1.68,+72.41%,2.32,139.68,132.32,27.84%,0.5,2023-06-23,130.00P,0.72,134.00P,2.01,138.00C,0.67,142.00C,0.28,-0.3199999999999999,-0.19047619047619047
NVDA,427.23,6.2,+163.16%,3.8,441.2,418.8,41.96%,0.346,2023-06-23,415.00P,4.8,425.00P,8.5,435.00C,6.75,445.00C,4.25,-0.3399999999999989,-0.054838709677419384
BABA,92.01,1.79,+55.76%,3.21,98.79,90.21,37.68%,0.565,2023-06-23,87.00P,0.33,92.00P,1.79,97.00C,0.56,102.00C,0.23,-0.3850000000000002,-0.21508379888268167
NVDA,427.23,3.5,+233.33%,1.5,433.5,421.5,41.96%,0.19,2023-06-23,420.00P,6.55,425.00P,8.5,430.00C,8.5,435.00C,6.95,-0.55,-0.15714285714285714
BABA,92.01,1.85,+44.58%,4.15,99.85,90.15,37.68%,0.598,2023-06-23,86.00P,0.23,92.00P,1.79,98.00C,0.45,104.00C,0.16,-0.5620000000000003,-0.3037837837837839
JPM,143.25,0.7,+30.43%,2.3,146.7,142.3,12.24%,0.579,2023-06-23,140.00P,0.2,143.00P,0.8,146.00C,0.17,149.00C,0.07,-0.5630000000000002,-0.8042857142857144
NVDA,427.23,5.95,+146.91%,4.05,435.95,414.05,41.96%,0.337,2023-06-23,410.00P,3.5,420.00P,6.35,430.00C,8.5,440.00C,5.4,-0.6800000000000002,-0.11428571428571424
META,280.88,3.42,+83.82%,4.08,290.92,276.58,30.39%,0.452,2023-06-23,272.50P,1.55,280.00P,3.8,287.50C,2.39,295.00C,1.22,-0.69,-0.2017543859649123
FDX,233.49,6.42,+74.83%,8.58,251.42,223.58,58.95%,0.523,2023-06-23,215.00P,1.55,230.00P,5.7,245.00C,3.4,260.00C,1.13,-0.7349999999999994,-0.11448598130841116
META,280.88,3.83,+62.07%,6.17,293.83,276.17,30.39%,0.535,2023-06-23,270.00P,1.13,280.00P,3.8,290.00C,1.86,300.00C,0.7,-0.8199999999999994,-0.21409921671018267
MSFT,342.4,1.16,+86.57%,1.34,346.16,341.34,19.42%,0.206,2023-06-23,340.00P,2.73,342.50P,3.35,345.00C,2.7,347.50C,2.16,-0.825,-0.7112068965517243
BABA,92.01,1.83,+35.40%,5.17,100.83,90.17,37.68%,0.616,2023-06-23,85.00P,0.14,92.00P,1.79,99.00C,0.35,106.00C,0.17,-0.8579999999999999,-0.4688524590163934
MSFT,342.4,2.84,+60.94%,4.66,352.84,339.66,19.42%,0.504,2023-06-23,335.00P,1.34,342.50P,3.35,350.00C,1.43,357.50C,0.6,-0.8800000000000001,-0.30985915492957744
META,280.88,3.29,+78.15%,4.21,288.29,274.21,30.39%,0.441,2023-06-23,270.00P,1.13,277.50P,2.78,285.00C,3.2,292.50C,1.56,-0.9024999999999996,-0.2743161094224923
META,280.88,2.43,+94.55%,2.57,287.43,277.57,30.39%,0.321,2023-06-23,275.00P,2.23,280.00P,3.8,285.00C,3.2,290.00C,2.34,-0.965,-0.397119341563786
NVDA,427.23,7.3,+94.81%,7.7,442.3,412.7,41.96%,0.447,2023-06-23,405.00P,2.5,420.00P,6.35,435.00C,6.75,450.00C,3.3,-0.9949999999999996,-0.13630136986301367
NVDA,427.23,7.3,+94.81%,7.7,447.3,417.7,41.96%,0.442,2023-06-23,410.00P,3.5,425.00P,8.5,440.00C,5.2,455.00C,2.9,-1.0700000000000007,-0.1465753424657535
MSFT,342.4,2.06,+70.07%,2.94,349.56,340.44,19.42%,0.373,2023-06-23,337.50P,2.0,342.50P,3.35,347.50C,1.83,352.50C,1.12,-1.075,-0.5218446601941747
NVDA,427.23,8.39,+72.27%,11.61,453.39,416.61,41.96%,0.525,2023-06-23,405.00P,2.5,425.00P,8.5,445.00C,4.05,465.00C,1.66,-1.1099999999999983,-0.13230035756853384
MSFT,342.4,1.97,+65.02%,3.03,346.97,338.03,19.42%,0.37,2023-06-23,335.00P,1.34,340.00P,2.2,345.00C,2.7,350.00C,1.59,-1.1799999999999995,-0.5989847715736042
NVDA,427.23,7.22,+92.80%,7.78,437.22,407.78,41.96%,0.434,2023-06-23,400.00P,1.68,415.00P,4.65,430.00C,8.5,445.00C,4.25,-1.270000000000001,-0.17590027700831032
META,280.88,3.87,+44.84%,8.63,296.37,276.13,30.39%,0.588,2023-06-23,267.50P,0.8,280.00P,3.8,292.50C,1.35,305.00C,0.48,-1.2800000000000007,-0.3307493540051681
MSFT,342.4,2.27,+43.40%,5.23,349.77,337.73,19.42%,0.485,2023-06-23,332.50P,0.93,340.00P,2.2,347.50C,1.83,355.00C,0.83,-1.5925000000000005,-0.7015418502202645
NVDA,427.23,8.85,+54.80%,16.15,458.85,416.15,41.96%,0.58,2023-06-23,400.00P,1.68,425.00P,8.5,450.00C,3.15,475.00C,1.12,-1.6500000000000012,-0.1864406779661018
