Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,ExpectedValue,KellyCriterion
AAPL,179.39,1.62,+184.09%,0.88,184.12,178.38,29.60%,0.39,2023-06-09,177.50P,1.49,180.00P,2.61,182.50C,1.03,185.00C,0.53,0.095,0.05864197530864201
TSLA,215.93,3.32,+197.62%,1.68,223.32,211.68,55.57%,0.352,2023-06-09,210.00P,2.62,215.00P,4.65,220.00C,3.25,225.00C,1.96,0.0800000000000003,0.024096385542168645
MSFT,336.4,1.75,+233.33%,0.75,339.25,333.25,21.13%,0.312,2023-06-09,332.50P,1.29,335.00P,2.09,337.50C,2.69,340.00C,1.74,0.03,0.017142857142857206
GOOGL,125.77,0.74,+284.62%,0.26,127.74,125.26,26.36%,0.276,2023-06-09,125.00P,0.94,126.00P,1.36,127.00C,0.96,128.00C,0.64,0.016,0.021621621621621626
GOOG,126.34,0.74,+284.62%,0.26,127.74,125.26,26.47%,0.276,2023-06-09,125.00P,0.74,126.00P,1.1,127.00C,1.21,128.00C,0.83,0.016,0.021621621621621626
AMZN,124.78,0.77,+334.78%,0.23,125.77,123.23,31.60%,0.242,2023-06-09,123.00P,0.83,124.00P,1.17,125.00C,1.67,126.00C,1.24,0.0119999999999999,0.015584415584415562
NVDA,389.9,4.83,+180.90%,2.67,394.83,377.67,44.88%,0.357,2023-06-09,375.00P,2.12,382.50P,4.15,390.00C,7.05,397.50C,4.25,0.0075000000000002,0.0015527950310558738
TSLA,215.93,4.1,+120.59%,3.4,226.6,210.9,55.57%,0.4539999999999999,2023-06-09,207.50P,1.89,215.00P,4.65,222.50C,2.51,230.00C,1.17,0.0049999999999996,0.0012195121951217628
PYPL,64.45,0.67,+203.03%,0.33,65.67,63.33,41.18%,0.326,2023-06-09,63.00P,0.5,64.00P,0.85,65.00C,0.89,66.00C,0.57,-0.0039999999999999,-0.005970149253731327
JPM,138.85,0.68,+212.50%,0.32,139.68,137.32,19.84%,0.316,2023-06-09,137.00P,0.46,138.00P,0.7,139.00C,1.16,140.00C,0.72,-0.0039999999999999,-0.00588235294117645
GOOGL,125.77,1.09,+119.78%,0.91,128.09,123.91,26.36%,0.452,2023-06-09,123.00P,0.39,125.00P,0.93,127.00C,0.96,129.00C,0.41,-0.006,-0.005504587155963376
GOOGL,125.77,1.11,+124.72%,0.89,129.11,124.89,26.36%,0.439,2023-06-09,124.00P,0.61,126.00P,1.36,128.00C,0.62,130.00C,0.26,-0.0119999999999999,-0.010810810810810728
WFC,40.67,0.31,+163.16%,0.19,41.31,40.19,28.57%,0.353,2023-06-09,40.00P,0.24,40.50P,0.39,41.00C,0.35,41.50C,0.19,-0.0135,-0.04354838709677426
DIS,91.06,0.66,+194.12%,0.34,92.66,90.34,28.70%,0.326,2023-06-09,90.00P,0.65,91.00P,1.06,92.00C,0.67,93.00C,0.42,-0.0139999999999999,-0.021212121212121193
SQ,63.0,1.08,+117.39%,0.92,66.08,61.92,49.63%,0.4529999999999999,2023-06-09,61.00P,0.53,63.00P,1.28,65.00C,0.58,67.00C,0.25,-0.014,-0.01296296296296317
SQ,63.0,0.7,+233.33%,0.3,64.7,62.3,49.63%,0.282,2023-06-09,62.00P,0.86,63.00P,1.28,64.00C,0.88,65.00C,0.6,-0.018,-0.02571428571428569
TSLA,215.93,3.22,+180.90%,1.78,220.72,209.28,55.57%,0.352,2023-06-09,207.50P,1.89,212.50P,3.5,217.50C,4.15,222.50C,2.54,-0.0199999999999995,-0.006211180124223618
GOOG,126.34,1.09,+119.78%,0.91,129.09,124.91,26.47%,0.445,2023-06-09,124.00P,0.48,126.00P,1.1,128.00C,0.81,130.00C,0.34,-0.0199999999999999,-0.018348623853210944
BABA,84.13,0.73,+270.37%,0.27,85.73,83.27,44.19%,0.246,2023-06-09,83.00P,1.0,84.00P,1.43,85.00C,1.19,86.00C,0.89,-0.0239999999999999,-0.032876712328767176
MS,83.68,0.6,+150.00%,0.4,84.6,82.4,25.90%,0.37,2023-06-09,82.00P,0.31,83.00P,0.55,84.00C,0.78,85.00C,0.42,-0.03,-0.05000000000000005
BAC,28.58,0.24,+92.31%,0.26,29.24,28.26,26.85%,0.4479999999999999,2023-06-09,28.00P,0.12,28.50P,0.27,29.00C,0.16,29.50C,0.07,-0.036,-0.1500000000000002
FCX,36.99,0.5,+100.00%,0.5,38.5,36.5,40.21%,0.461,2023-06-09,36.00P,0.24,37.00P,0.59,38.00C,0.26,39.00C,0.11,-0.0389999999999999,-0.0779999999999999
XOM,105.58,0.66,+194.12%,0.34,106.66,104.34,27.22%,0.3,2023-06-09,104.00P,0.6,105.00P,0.9,106.00C,1.0,107.00C,0.64,-0.0399999999999999,-0.06060606060606062
GME,24.41,1.01,+206.12%,0.49,26.51,22.99,193.35%,0.275,2023-06-09,22.50P,0.93,24.00P,1.63,25.50C,1.5,27.00C,1.19,-0.0774999999999999,-0.07673267326732675
DIS,91.06,0.92,+85.19%,1.08,93.92,90.08,28.70%,0.499,2023-06-09,89.00P,0.36,91.00P,1.06,93.00C,0.4,95.00C,0.18,-0.0819999999999999,-0.08913043478260867
UBER,40.32,0.44,+78.57%,0.56,41.44,39.56,34.89%,0.474,2023-06-09,39.00P,0.16,40.00P,0.42,41.00C,0.31,42.00C,0.13,-0.086,-0.19545454545454555
PYPL,64.45,0.9,+81.82%,1.1,66.9,63.1,41.18%,0.495,2023-06-09,62.00P,0.28,64.00P,0.85,66.00C,0.55,68.00C,0.22,-0.1100000000000001,-0.12222222222222227
JPM,138.85,0.9,+81.82%,1.1,140.9,137.1,19.84%,0.489,2023-06-09,136.00P,0.29,138.00P,0.7,140.00C,0.7,142.00C,0.21,-0.122,-0.13555555555555562
NVDA,389.9,2.0,+400.00%,0.5,392.0,385.5,44.88%,0.141,2023-06-09,385.00P,5.2,387.50P,6.2,390.00C,7.05,392.50C,6.05,-0.1475,-0.07375000000000001
AI,34.99,0.65,+185.71%,0.35,35.65,33.35,124.79%,0.2,2023-06-09,33.00P,0.95,34.00P,1.3,35.00C,1.8,36.00C,1.5,-0.1499999999999999,-0.23076923076923073
GOOGL,125.77,1.25,+71.43%,1.75,130.25,124.75,26.36%,0.53,2023-06-09,123.00P,0.39,126.00P,1.36,129.00C,0.4,132.00C,0.12,-0.1599999999999999,-0.1279999999999999
TSLA,215.93,3.9,+108.33%,3.6,223.9,208.6,55.57%,0.457,2023-06-09,205.00P,1.34,212.50P,3.5,220.00C,3.25,227.50C,1.51,-0.1724999999999998,-0.04423076923076918
DIS,91.06,1.03,+52.28%,1.97,95.03,89.97,28.70%,0.595,2023-06-09,88.00P,0.19,91.00P,1.06,94.00C,0.26,97.00C,0.1,-0.185,-0.179611650485437
NFLX,402.3,5.37,+115.98%,4.63,415.37,394.63,41.80%,0.441,2023-06-09,390.00P,2.4,400.00P,5.7,410.00C,4.15,420.00C,2.08,-0.2199999999999997,-0.04096834264432025
