Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
AMZN,109.82,3.83,+91.85%,4.17,120.83,105.17,182.33%,0.6609999999999999,2023-04-28,101.00P,0.95,109.00P,3.65,117.00C,1.5,125.00C,0.37,weekly,111.79999999999995,0.29190600522193194
AMZN,109.82,3.53,+101.73%,3.47,117.53,103.47,182.33%,0.654,2023-04-28,100.00P,0.77,107.00P,2.7,114.00C,2.38,121.00C,0.78,weekly,110.80000000000004,0.3138810198300283
AMZN,109.82,3.93,+77.51%,5.07,121.93,105.07,182.33%,0.6829999999999999,2023-04-28,100.00P,0.77,109.00P,3.65,118.00C,1.3,127.00C,0.25,weekly,107.69999999999996,0.2740458015267174
AMZN,109.82,3.65,+83.91%,4.35,119.65,104.35,182.33%,0.674,2023-04-28,100.00P,0.77,108.00P,3.15,116.00C,1.74,124.00C,0.47,weekly,104.20000000000005,0.2854794520547947
AMZN,109.82,3.47,+137.15%,2.53,118.47,105.53,182.33%,0.5920000000000001,2023-04-28,103.00P,1.45,109.00P,3.65,115.00C,2.05,121.00C,0.78,weekly,102.20000000000007,0.2945244956772336
AMZN,109.82,3.39,+129.89%,2.61,117.39,104.61,182.33%,0.603,2023-04-28,102.00P,1.19,108.00P,3.15,114.00C,2.38,120.00C,0.95,weekly,100.8,0.2973451327433628
AMZN,109.82,3.6,+105.88%,3.4,119.6,105.4,182.33%,0.626,2023-04-28,102.00P,1.19,109.00P,3.65,116.00C,1.74,123.00C,0.6,weekly,98.20000000000002,0.2727777777777778
AMZN,109.82,3.5,+100.00%,3.5,118.5,104.5,182.33%,0.639,2023-04-28,101.00P,0.95,108.00P,3.15,115.00C,2.05,122.00C,0.75,weekly,97.3,0.278
AMZN,109.82,3.32,+123.88%,2.68,116.32,103.68,182.33%,0.606,2023-04-28,101.00P,0.95,107.00P,2.7,113.00C,2.71,119.00C,1.14,weekly,95.6,0.2879518072289156
AMZN,109.82,3.65,+68.22%,5.35,120.65,104.35,182.33%,0.6940000000000001,2023-04-28,99.00P,0.65,108.00P,3.15,117.00C,1.5,126.00C,0.35,weekly,89.60000000000005,0.24547945205479474
AMZN,109.82,3.16,+171.74%,1.84,117.16,105.84,182.33%,0.539,2023-04-28,104.00P,1.73,109.00P,3.65,114.00C,2.38,119.00C,1.14,weekly,85.50000000000001,0.2705696202531646
AMZN,109.82,3.9,+63.93%,6.1,122.9,105.1,182.33%,0.695,2023-04-28,99.00P,0.65,109.00P,3.65,119.00C,1.07,129.00C,0.17,weekly,84.99999999999991,0.21794871794871784
AMZN,109.82,3.09,+161.78%,1.91,116.09,104.91,182.33%,0.546,2023-04-28,103.00P,1.45,108.00P,3.15,113.00C,2.71,118.00C,1.32,weekly,82.0,0.2653721682847897
AMZN,109.82,2.98,+147.53%,2.02,114.98,104.02,182.33%,0.541,2023-04-28,102.00P,1.19,107.00P,2.7,112.00C,3.0,117.00C,1.53,weekly,68.50000000000003,0.2298657718120806
AMZN,109.82,3.13,+109.06%,2.87,115.13,102.87,182.33%,0.5920000000000001,2023-04-28,100.00P,0.77,106.00P,2.22,112.00C,3.0,118.00C,1.32,weekly,68.20000000000005,0.21789137380191712
AMZN,109.82,2.77,+225.20%,1.23,115.77,106.23,182.33%,0.472,2023-04-28,105.00P,2.06,109.00P,3.65,113.00C,2.71,117.00C,1.53,weekly,65.8,0.2375451263537906
FSLR,200.83,5.11,+104.50%,4.89,215.11,194.89,172.49%,0.54,2023-04-28,190.00P,3.3,200.00P,6.65,210.00C,3.25,220.00C,1.49,weekly,51.000000000000085,0.0998043052837574
