Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
MARA,10.05,0.62,+70.45%,0.88,11.62,8.88,138.97%,0.486,2023-05-12,8.00P,0.13,9.50P,0.49,11.00C,0.53,12.50C,0.27,weekly,-0.151,-0.24354838709677415
NFLX,321.5,2.18,+77.31%,2.82,327.18,317.82,41.58%,0.491,2023-05-05,315.00P,0.83,320.00P,2.07,325.00C,1.33,330.00C,0.39,weekly,-0.3649999999999997,-0.16743119266055034
Downloaded from Barchart.com as of 05-04-2023 10:12am CDT,,,,,,,,,,,,,,,,,,,,
