Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
MSFT,333.26,0.88,+54.32%,1.62,335.88,0.6709999999999999,2023-06-30,335.0,2.3,337.5,1.42,weekly,0.0574999999999997,0.06534090909090888
BA,207.98,1.09,+77.31%,1.41,208.59,0.583,2023-06-30,207.5,2.66,210.0,1.57,weekly,0.0474999999999999,0.04357798165137617
SHOP,64.26,0.45,+81.82%,0.55,64.45,0.5760000000000001,2023-06-30,64.0,1.3,65.0,0.85,weekly,0.026,0.057777777777777886
AMZN,129.21,0.46,+85.19%,0.54,129.46,0.562,2023-06-30,129.0,1.72,130.0,1.26,weekly,0.022,0.04782608695652187
TSM,102.28,0.44,+78.57%,0.56,102.44,0.5820000000000001,2023-06-30,102.0,1.24,103.0,0.8,weekly,0.022,0.050000000000000176
TSM,102.28,0.76,+61.29%,1.24,102.76,0.629,2023-06-30,102.0,1.24,104.0,0.48,weekly,0.018,0.023684210526315804
AMZN,129.21,0.82,+69.49%,1.18,129.82,0.598,2023-06-30,129.0,1.72,131.0,0.9,weekly,0.0159999999999999,0.01951219512195123
SHOP,64.26,0.77,+62.60%,1.23,64.77,0.62,2023-06-30,64.0,1.3,66.0,0.53,weekly,0.01,0.012987012987013056
MSFT,333.26,0.58,+30.21%,1.92,338.08,0.77,2023-06-30,337.5,1.4,340.0,0.82,weekly,0.005,0.008620689655172476
TSM,102.28,0.3,+42.86%,0.7,103.3,0.7020000000000001,2023-06-30,103.0,0.78,104.0,0.48,weekly,0.002,0.006666666666667005
RIVN,13.63,0.2,+66.67%,0.3,13.7,0.603,2023-06-30,13.5,0.46,14.0,0.26,weekly,0.0015,0.007500000000000006
AMZN,129.21,0.35,+53.85%,0.65,130.35,0.65,2023-06-30,130.0,1.25,131.0,0.9,weekly,0.0,0.0
FCX,40.22,0.16,+47.06%,0.34,40.66,0.679,2023-06-30,40.5,0.39,41.0,0.23,weekly,-0.0004999999999999,-0.003124999999999871
RIVN,13.63,0.06,+13.64%,0.44,14.56,0.878,2023-06-30,14.5,0.13,15.0,0.07,weekly,-0.001,-0.016666666666666673
TSM,102.28,0.19,+23.46%,0.81,104.19,0.8059999999999999,2023-06-30,104.0,0.47,105.0,0.28,weekly,-0.004,-0.021052631578947795
MS,84.47,0.32,+47.06%,0.68,85.32,0.6729999999999999,2023-06-30,85.0,0.58,86.0,0.26,weekly,-0.007,-0.021875000000000276
QCOM,118.8,0.21,+26.58%,0.79,121.21,0.782,2023-06-30,121.0,0.54,122.0,0.33,weekly,-0.0079999999999999,-0.03809523809523809
INTC,33.94,0.12,+31.58%,0.38,34.62,0.743,2023-06-30,34.5,0.29,35.0,0.17,weekly,-0.0085,-0.07083333333333339
AMZN,129.21,0.26,+35.14%,0.74,131.26,0.731,2023-06-30,131.0,0.89,132.0,0.63,weekly,-0.009,-0.034615384615384576
TSLA,247.48,0.43,+20.77%,2.07,257.93,0.8240000000000001,2023-06-30,257.5,1.78,260.0,1.35,weekly,-0.0099999999999997,-0.02325581395348794
SQ,63.81,0.37,+58.73%,0.63,64.37,0.62,2023-06-30,64.0,0.95,65.0,0.58,weekly,-0.01,-0.027027027027027025
SHOP,64.26,0.3,+42.86%,0.7,65.3,0.69,2023-06-30,65.0,0.83,66.0,0.53,weekly,-0.01,-0.03333333333333347
RIVN,13.63,0.11,+28.21%,0.39,14.11,0.758,2023-06-30,14.0,0.25,14.5,0.14,weekly,-0.011,-0.09999999999999994
