Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
AAPL,166.47,0.93,+59.24%,1.57,168.43,0.635,2023-04-28,167.5,1.8,170.0,0.87,weekly,1.75,0.018817204301075266
VZ,38.94,0.22,+78.57%,0.28,39.22,0.557,2023-04-28,39.0,0.73,39.5,0.51,weekly,-0.1499999999999985,-0.006818181818181723
DIS,100.93,0.45,+81.82%,0.55,101.45,0.544,2023-04-28,101.0,1.88,102.0,1.43,weekly,-0.6000000000000014,-0.013333333333333284
DIS,100.93,0.83,+70.94%,1.17,101.83,0.5760000000000001,2023-04-28,101.0,1.88,103.0,1.05,weekly,-1.799999999999983,-0.02168674698795165
VZ,38.94,0.39,+63.93%,0.61,39.39,0.591,2023-04-28,39.0,0.73,40.0,0.34,weekly,-1.900000000000002,-0.04871794871794872
GM,35.33,0.17,+51.52%,0.33,35.67,0.612,2023-04-21,35.5,0.39,36.0,0.22,monthly,-2.4000000000000004,-0.14117647058823535
SBUX,107.91,0.38,+61.29%,0.62,108.38,0.595,2023-04-21,108.0,0.74,109.0,0.36,monthly,-2.500000000000004,-0.06578947368421055
WBD,14.27,0.16,+47.06%,0.34,14.66,0.629,2023-04-28,14.5,0.36,15.0,0.2,weekly,-2.5500000000000007,-0.15937500000000002
MU,61.93,0.2,+66.67%,0.3,62.2,0.5479999999999999,2023-04-21,62.0,0.82,62.5,0.62,monthly,-2.600000000000003,-0.13000000000000006
RIVN,13.43,0.19,+61.29%,0.31,13.69,0.5670000000000001,2023-04-28,13.5,0.57,14.0,0.38,weekly,-2.649999999999997,-0.13947368421052617
CLF,17.19,0.17,+51.52%,0.33,17.67,0.607,2023-04-28,17.5,0.55,18.0,0.38,weekly,-2.650000000000002,-0.1558823529411765
AFRM,11.68,0.17,+51.52%,0.33,12.17,0.606,2023-04-28,12.0,0.57,12.5,0.4,weekly,-2.700000000000001,-0.15882352941176475
T,19.82,0.16,+47.06%,0.34,20.16,0.625,2023-04-21,20.0,0.32,20.5,0.16,monthly,-2.75,-0.17187499999999997
AMD,89.78,0.43,+75.44%,0.57,90.43,0.542,2023-04-28,90.0,2.39,91.0,1.96,weekly,-2.7999999999999936,-0.06511627906976734
PFE,40.55,0.13,+35.14%,0.37,41.13,0.6829999999999999,2023-04-28,41.0,0.3,41.5,0.17,weekly,-2.850000000000003,-0.21923076923076942
DKNG,20.92,0.18,+56.25%,0.32,21.18,0.5820000000000001,2023-04-21,21.0,0.45,21.5,0.27,monthly,-2.899999999999997,-0.16111111111111093
T,19.82,0.16,+47.06%,0.34,20.16,0.622,2023-04-28,20.0,0.33,20.5,0.17,weekly,-2.9000000000000004,-0.18125000000000008
AMD,89.78,0.31,+44.93%,0.69,92.31,0.6579999999999999,2023-04-28,92.0,1.53,93.0,1.22,weekly,-3.20000000000001,-0.10322580645161308
WMT,149.85,0.91,+57.23%,1.59,150.91,0.623,2023-04-28,150.0,1.32,152.5,0.41,weekly,-3.25,-0.035714285714285705
OXY,63.0,0.41,+69.49%,0.59,63.41,0.557,2023-04-28,63.0,1.16,64.0,0.75,weekly,-3.2999999999999936,-0.08048780487804863
UBER,31.73,0.17,+51.52%,0.33,32.17,0.593,2023-04-28,32.0,0.62,32.5,0.45,weekly,-3.3500000000000014,-0.19705882352941184
INTC,31.83,0.15,+42.86%,0.35,32.15,0.63,2023-04-21,32.0,0.3,32.5,0.15,monthly,-3.5,-0.23333333333333325
JPM,141.4,0.37,+58.73%,0.63,142.37,0.595,2023-04-28,142.0,1.37,143.0,1.0,weekly,-3.5,-0.09459459459459463
PARA,21.82,0.15,+42.86%,0.35,22.15,0.627,2023-04-21,22.0,0.3,22.5,0.15,monthly,-3.65,-0.24333333333333326
AAL,13.29,0.15,+42.86%,0.35,13.65,0.627,2023-04-28,13.5,0.34,14.0,0.19,weekly,-3.65,-0.24333333333333326
PYPL,76.42,0.37,+58.73%,0.63,77.37,0.593,2023-04-28,77.0,1.34,78.0,0.97,weekly,-3.700000000000003,-0.10000000000000002
MGM,44.59,0.13,+35.14%,0.37,45.13,0.665,2023-04-21,45.0,0.33,45.5,0.2,monthly,-3.75,-0.28846153846153827
SBUX,107.91,0.76,+61.29%,1.24,108.76,0.601,2023-04-28,108.0,1.31,110.0,0.55,weekly,-3.799999999999997,-0.05000000000000008
ATVI,85.55,0.68,+51.52%,1.32,88.68,0.6409999999999999,2023-04-28,88.0,1.95,90.0,1.27,weekly,-3.8000000000000185,-0.05588235294117672
PYPL,76.42,0.15,+42.86%,0.35,77.15,0.623,2023-04-21,77.0,0.66,77.5,0.51,monthly,-3.85,-0.2566666666666666
AMD,89.78,0.25,+33.33%,0.75,93.25,0.711,2023-04-28,93.0,1.2,94.0,0.95,weekly,-3.9000000000000057,-0.15600000000000014
