Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
ATVI,85.5,2.12,+73.61%,2.88,89.12,64.9%,2023-04-28,87,2.6,92,0.48
NVDA,279.31,1.05,+72.41%,1.45,281.05,54.1%,2023-04-28,280,6.45,282.5,5.4
MSFT,288.45,1.05,+72.41%,1.45,291.05,56.3%,2023-04-28,290,5.85,292.5,4.8
NVDA,279.31,2.1,+72.41%,2.9,282.1,56.6%,2023-04-28,280,6.45,285,4.35
DIS,98.75,0.41,+69.49%,0.59,99.41,56.8%,2023-04-28,99,1.46,100,1.05
META,215.7,2.05,+69.49%,2.95,219.55,56.0%,2023-04-28,217.5,9.35,222.5,7.3
BMY,69.86,0.41,+69.49%,0.59,70.41,58.9%,2023-04-28,70,0.91,71,0.5
MSFT,288.45,2,+66.67%,3,292,58.6%,2023-04-28,290,5.85,295,3.85
AMD,89.94,1.2,+66.67%,1.8,91.2,58.6%,2023-04-28,90,2.32,93,1.12
X,25.96,0.4,+66.67%,0.6,26.4,56.6%,2023-04-28,26,1.02,27,0.62
ATVI,85.5,1.18,+64.84%,1.82,88.18,61.2%,2023-04-28,87,2.6,90,1.42
NVDA,279.31,2.95,+64.84%,4.55,282.95,58.6%,2023-04-28,280,6.45,287.5,3.5
AMZN,104.3,0.78,+63.93%,1.22,105.78,56.0%,2023-04-28,105,3.6,107,2.82
NKE,125.67,0.77,+62.60%,1.23,126.77,60.2%,2023-04-28,126,1.58,128,0.81
DIS,98.75,0.76,+61.29%,1.24,99.76,60.3%,2023-04-28,99,1.46,101,0.7
NVDA,279.31,0.92,+58.23%,1.58,280.92,58.2%,2023-04-21,280,2.78,282.5,1.86
AMD,89.94,1.47,+58.10%,2.53,91.47,60.4%,2023-04-28,90,2.32,94,0.85
MSFT,288.45,2.75,+57.89%,4.75,292.75,60.4%,2023-04-28,290,5.85,297.5,3.1
AMZN,104.3,1.81,+56.74%,3.19,106.81,60.0%,2023-04-28,105,3.6,110,1.79
NVDA,279.31,3.61,+56.49%,6.39,283.61,60.1%,2023-04-28,280,6.45,290,2.84
NVDA,279.31,0.9,+56.25%,1.6,283.4,59.6%,2023-04-28,282.5,5.25,285,4.35
CLF,16.9,0.18,+56.25%,0.32,17.18,56.8%,2023-04-28,17,0.59,17.5,0.41
AMD,89.94,0.72,+56.25%,1.28,91.72,62.0%,2023-04-28,91,1.84,93,1.12
FCX,41.89,0.36,+56.25%,0.64,42.36,58.1%,2023-04-21,42,0.84,43,0.48
META,215.7,0.9,+56.25%,1.6,220.9,58.0%,2023-04-28,220,8.2,222.5,7.3
PLUG,9,0.18,+56.25%,0.32,9.18,57.2%,2023-04-28,9,0.39,9.5,0.21
MPW,8.48,0.18,+56.25%,0.32,8.68,59.1%,2023-04-28,8.5,0.31,9,0.13
PINS,28.22,0.54,+56.25%,0.96,29.04,59.1%,2023-04-28,28.5,1.26,30,0.72
MSFT,288.45,3.58,+55.76%,6.42,293.58,62.3%,2023-04-28,290,5.85,300,2.27
TSLA,180.59,1.75,+53.85%,3.25,186.75,61.1%,2023-04-28,185,6.6,190,4.85
SNAP,10.98,0.35,+53.85%,0.65,11.35,56.7%,2023-04-28,11,0.84,12,0.49
MRK,114.13,0.35,+53.85%,0.65,115.35,60.5%,2023-04-28,115,1.45,116,1.1
NVDA,279.31,1.75,+53.85%,3.25,284.25,61.5%,2023-04-28,282.5,5.25,287.5,3.5
AMZN,104.3,0.35,+53.85%,0.65,105.35,54.2%,2023-04-28,105,3.6,106,3.25
META,215.7,3.45,+52.67%,6.55,223.45,61.8%,2023-04-28,220,8.2,230,4.75
AMD,89.94,0.68,+51.52%,1.32,90.68,60.4%,2023-04-21,90,1.09,92,0.41
DKNG,21.39,0.17,+51.52%,0.33,21.67,56.1%,2023-04-28,21.5,0.65,22,0.48
GM,34.58,0.34,+51.52%,0.66,35.34,60.9%,2023-04-28,35,0.88,36,0.54
AMZN,104.3,1.36,+51.52%,2.64,107.36,62.1%,2023-04-28,106,3.15,110,1.79
JBLU,7,0.17,+51.52%,0.33,7.17,59.4%,2023-04-28,7,0.27,7.5,0.1
AFRM,11.49,0.17,+51.52%,0.33,11.67,58.3%,2023-04-21,11.5,0.32,12,0.15
AXP,164.95,1.7,+51.52%,3.3,166.7,58.9%,2023-04-21,165,2.99,170,1.29
ORCL,95.81,0.68,+51.52%,1.32,96.68,62.5%,2023-04-28,96,1.01,98,0.33
DIS,98.75,1.01,+50.75%,1.99,100.01,62.8%,2023-04-28,99,1.46,102,0.45
HD,296.91,0.84,+50.60%,1.66,298.34,62.2%,2023-04-21,297.5,1.51,300,0.67
NVDA,279.31,4.2,+50.60%,8.3,284.2,61.4%,2023-04-28,280,6.45,292.5,2.25
AMD,89.94,1.68,+50.60%,3.32,91.68,61.7%,2023-04-28,90,2.32,95,0.64
X,25.96,0.67,+50.38%,1.33,26.67,60.5%,2023-04-28,26,1.02,28,0.35
AMZN,104.3,1,+50.00%,2,106,56.8%,2023-04-28,105,3.6,108,2.6
AMZN,104.3,1.33,+49.81%,2.67,106.33,58.1%,2023-04-28,105,3.6,109,2.27
MSFT,288.45,4.13,+49.34%,8.37,294.13,63.6%,2023-04-28,290,5.85,302.5,1.72
AMZN,104.3,0.33,+49.25%,0.67,106.33,58.1%,2023-04-28,106,3.15,107,2.82
NVDA,279.31,1.65,+49.25%,3.35,281.65,61.8%,2023-04-21,280,2.78,285,1.13
TSM,87.23,0.33,+49.25%,0.67,88.33,60.1%,2023-04-21,88,1.37,89,1.04
JPM,141.22,0.33,+49.25%,0.67,142.33,62.4%,2023-04-28,142,1.06,143,0.73
CLF,16.9,0.33,+49.25%,0.67,17.33,60.3%,2023-04-28,17,0.59,18,0.26
AMD,89.94,0.99,+49.25%,2.01,91.99,63.7%,2023-04-28,91,1.84,94,0.85
TSLA,180.59,2.45,+48.51%,5.05,187.45,62.3%,2023-04-28,185,6.6,192.5,4.15
AMZN,104.3,0.98,+48.51%,2.02,107.98,64.4%,2023-04-28,107,2.77,110,1.79
AMZN,104.3,2.28,+48.31%,4.72,107.28,61.8%,2023-04-28,105,3.6,112,1.32
MSFT,288.45,2.43,+47.93%,5.07,294.93,65.4%,2023-04-28,292.5,4.7,300,2.27
ENPH,224.27,8.05,+47.49%,16.95,233.05,60.5%,2023-04-28,225,12.5,250,4.45
NVDA,279.31,2.41,+47.35%,5.09,284.91,63.0%,2023-04-28,282.5,5.25,290,2.84
VZ,38.6,0.16,+47.06%,0.34,39.16,61.6%,2023-04-28,39,0.57,39.5,0.41
XOM,116.57,0.32,+47.06%,0.68,118.32,63.8%,2023-04-28,118,1.33,119,1.01
PINS,28.22,0.32,+47.06%,0.68,29.32,62.0%,2023-04-28,29,1.04,30,0.72
TSM,87.23,0.64,+47.06%,1.36,88.64,62.8%,2023-04-21,88,1.37,90,0.73
X,25.96,0.16,+47.06%,0.34,26.16,58.6%,2023-04-21,26,0.32,26.5,0.16
PINS,28.22,0.8,+47.06%,1.7,29.3,61.8%,2023-04-28,28.5,1.26,31,0.46
SHOP,49.05,0.32,+47.06%,0.68,50.32,63.2%,2023-04-28,50,1.07,51,0.75
TSLA,180.59,0.8,+47.06%,1.7,188.3,63.8%,2023-04-28,187.5,5.65,190,4.85
SCHW,55.55,0.16,+47.06%,0.34,56.16,64.0%,2023-04-21,56,0.49,56.5,0.33
TSLA,180.59,1.6,+47.06%,3.4,186.6,63.7%,2023-04-21,185,4.75,190,3.15
XOM,116.57,1.28,+47.06%,2.72,118.28,63.5%,2023-04-28,117,1.78,121,0.5
GS,336.89,0.8,+47.06%,1.7,338.3,60.7%,2023-04-21,337.5,1.79,340,0.99
MSFT,288.45,1.6,+47.06%,3.4,294.1,63.5%,2023-04-28,292.5,4.7,297.5,3.1
AMZN,104.3,1.91,+46.70%,4.09,106.91,60.4%,2023-04-28,105,3.6,111,1.69
ATVI,85.5,2.54,+46.52%,5.46,89.54,66.5%,2023-04-28,87,2.6,95,0.06
META,215.7,5.55,+46.44%,11.95,223.05,61.2%,2023-04-28,217.5,9.35,235,3.8
GOOGL,104.18,1.89,+45.99%,4.11,106.89,63.4%,2023-04-28,105,2.8,111,0.91
PYPL,75.32,0.63,+45.99%,1.37,76.63,63.6%,2023-04-28,76,1.2,78,0.57
SNAP,10.98,0.47,+45.63%,1.03,11.47,58.8%,2023-04-28,11,0.84,12.5,0.37
AA,41.22,0.47,+45.63%,1.03,41.97,59.0%,2023-04-21,41.5,1.15,43,0.68
NVDA,279.31,4.69,+45.49%,10.31,284.69,62.5%,2023-04-28,280,6.45,295,1.76
BA,208.71,0.78,+45.35%,1.72,213.28,63.4%,2023-04-28,212.5,3.55,215,2.77
ROKU,61.74,0.62,+44.93%,1.38,62.62,61.4%,2023-04-21,62,1.1,64,0.48
NKE,125.67,1.24,+44.93%,2.76,127.24,64.3%,2023-04-28,126,1.58,130,0.34
OXY,62.47,0.31,+44.93%,0.69,63.31,62.2%,2023-04-28,63,0.82,64,0.51
