Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue
AMD,91.75,0.96,+31.58%,3.04,93.96,0.6779999999999999,2023-04-21,93.0,1.31,97.0,0.35,monthly,-32.800000000000026
NVDA,267.58,2.55,+34.23%,7.45,287.55,0.7120000000000001,2023-05-19,285.0,6.8,295.0,4.25,monthly,-32.99999999999994
ADBE,379.38,1.1,+28.21%,3.9,386.1,0.7140000000000001,2023-04-21,385.0,2.32,390.0,1.22,monthly,-32.99999999999994
ROKU,61.72,1.23,+44.40%,2.77,63.23,0.61,2023-04-21,62.0,1.97,66.0,0.74,monthly,-33.0
SCHW,50.77,1.73,+45.89%,3.77,52.73,0.625,2023-04-21,51.0,2.26,56.5,0.53,monthly,-33.25
LVS,58.25,0.99,+32.89%,3.01,59.99,0.669,2023-04-21,59.0,1.21,63.0,0.22,monthly,-33.39999999999998
NET,64.68,0.97,+32.01%,3.03,66.97,0.6729999999999999,2023-04-21,66.0,1.4,70.0,0.43,monthly,-33.800000000000026
BA,201.71,2.72,+37.36%,7.28,212.72,0.6940000000000001,2023-05-19,210.0,5.0,220.0,2.28,monthly,-33.999999999999915
ENPH,208.9,1.19,+31.23%,3.81,216.19,0.6940000000000001,2023-04-21,215.0,3.15,220.0,1.96,monthly,-33.99999999999996
ROKU,61.72,1.55,+44.93%,3.45,66.55,0.622,2023-05-19,65.0,4.6,70.0,3.05,monthly,-34.0
GM,34.49,0.57,+29.53%,1.93,35.07,0.636,2023-04-21,34.5,0.64,37.0,0.07,monthly,-34.0
SHOP,46.39,1.17,+30.55%,3.83,51.17,0.698,2023-05-19,50.0,2.09,55.0,0.92,monthly,-34.000000000000014
NFLX,338.63,1.5,+42.86%,3.5,351.5,0.632,2023-04-21,350.0,9.9,355.0,8.4,monthly,-34.000000000000014
TSM,87.2,0.91,+29.45%,3.09,89.91,0.687,2023-04-21,89.0,1.38,93.0,0.47,monthly,-34.19999999999998
COIN,69.91,1.07,+36.52%,2.93,73.07,0.647,2023-04-21,72.0,2.31,76.0,1.24,monthly,-34.19999999999999
INTC,31.89,1.16,+40.85%,2.84,33.16,0.624,2023-05-19,32.0,1.49,36.0,0.33,monthly,-34.40000000000002
