Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
CRM,200.6,1.79,+55.76%,3.21,204.29,0.6729999999999999,2023-05-19,202.5,2.97,207.5,1.18,monthly,0.1549999999999998,0.08659217877094962
CRM,200.6,0.74,+42.05%,1.76,203.24,0.752,2023-05-12,202.5,1.16,205.0,0.42,weekly,0.12,0.16216216216216214
TSLA,167.79,0.79,+46.20%,1.71,170.79,0.731,2023-05-12,170.0,1.54,172.5,0.75,weekly,0.1175,0.1487341772151899
MSFT,307.48,2.16,+76.06%,2.84,309.66,0.59,2023-05-19,307.5,4.0,312.5,1.84,monthly,0.1099999999999998,0.05092592592592592
CRM,200.6,0.73,+41.24%,1.77,205.73,0.733,2023-05-19,205.0,1.91,207.5,1.18,monthly,0.0624999999999999,0.08561643835616434
AFRM,12.78,0.34,+51.52%,0.66,13.34,0.721,2023-05-12,13.0,0.46,14.0,0.12,weekly,0.0609999999999999,0.17941176470588222
AMZN,111.76,0.89,+80.18%,1.11,112.89,0.585,2023-05-19,112.0,2.14,114.0,1.25,monthly,0.0599999999999998,0.06741573033707852
AFRM,12.78,0.21,+72.41%,0.29,13.21,0.674,2023-05-12,13.0,0.46,13.5,0.25,weekly,0.047,0.22380952380952396
AMZN,111.76,0.48,+92.31%,0.52,112.48,0.555,2023-05-19,112.0,2.14,113.0,1.66,monthly,0.035,0.07291666666666677
TSLA,167.79,2.58,+52.44%,4.92,172.58,0.66,2023-05-19,170.0,4.25,177.5,1.67,monthly,0.0300000000000002,0.011627906976744302
AMZN,111.76,1.2,+66.67%,1.8,113.2,0.608,2023-05-19,112.0,2.14,115.0,0.94,monthly,0.0239999999999999,0.019999999999999962
AMZN,111.76,0.4,+66.67%,0.6,113.4,0.623,2023-05-19,113.0,1.65,114.0,1.25,monthly,0.023,0.05750000000000007
MSFT,307.48,0.92,+58.23%,1.58,310.92,0.64,2023-05-19,310.0,2.76,312.5,1.84,monthly,0.02,0.02173913043478263
NFLX,333.35,2.05,+69.49%,2.95,337.05,0.594,2023-05-19,335.0,5.9,340.0,3.85,monthly,0.0199999999999995,0.009756097560975457
TSLA,167.79,0.39,+18.48%,2.11,172.89,0.851,2023-05-12,172.5,0.74,175.0,0.35,weekly,0.0175,0.04487179487179488
AMZN,111.76,0.41,+69.49%,0.59,112.41,0.607,2023-05-12,112.0,0.95,113.0,0.54,weekly,0.0169999999999999,0.04146341463414632
AFRM,12.78,0.39,+63.93%,0.61,13.39,0.624,2023-05-19,13.0,0.83,14.0,0.44,monthly,0.014,0.03589743589743597
NFLX,333.35,0.9,+56.25%,1.6,335.9,0.645,2023-05-12,335.0,2.29,337.5,1.39,weekly,0.0125,0.013888888888888888
AFRM,12.78,0.11,+28.21%,0.39,13.61,0.805,2023-05-12,13.5,0.23,14.0,0.12,weekly,0.0125,0.11363636363636383
RIVN,14.02,0.13,+35.14%,0.37,14.63,0.765,2023-05-12,14.5,0.29,15.0,0.16,weekly,0.0125,0.09615384615384627
NFLX,333.35,2.9,+63.04%,4.6,337.9,0.615,2023-05-19,335.0,5.9,342.5,3.0,monthly,0.0124999999999999,0.004310344827586226
TSLA,167.79,0.18,+7.76%,2.32,175.18,0.933,2023-05-12,175.0,0.34,177.5,0.16,weekly,0.0124999999999998,0.06944444444444521
AFRM,12.78,0.4,+36.36%,1.1,13.4,0.741,2023-05-12,13.0,0.46,14.5,0.06,weekly,0.0114999999999999,0.028749999999999956
TSLA,167.79,0.64,+34.41%,1.86,175.64,0.748,2023-05-19,175.0,2.31,177.5,1.67,monthly,0.01,0.015624999999999988
AFRM,12.78,0.17,+51.52%,0.33,13.67,0.6759999999999999,2023-05-19,13.5,0.61,14.0,0.44,monthly,0.0079999999999999,0.04705882352941153
TSLA,167.79,0.07,+2.88%,2.43,177.57,0.975,2023-05-12,177.5,0.15,180.0,0.08,weekly,0.0074999999999999,0.10714285714285642
RIVN,14.02,0.06,+13.64%,0.44,15.06,0.888,2023-05-12,15.0,0.14,15.5,0.08,weekly,0.004,0.0666666666666667
RIVN,14.02,0.21,+26.58%,0.79,14.71,0.7929999999999999,2023-05-12,14.5,0.29,15.5,0.08,weekly,0.0029999999999999,0.014285714285713841
AFRM,12.78,0.05,+11.11%,0.45,14.05,0.902,2023-05-12,14.0,0.11,14.5,0.06,weekly,0.001,0.020000000000000254
SQ,56.99,0.68,+51.52%,1.32,58.68,0.66,2023-05-19,58.0,1.34,60.0,0.66,monthly,5.551115123125783e-17,1.0775694062538284e-16
MSFT,307.48,0.58,+30.21%,1.92,310.58,0.768,2023-05-12,310.0,0.96,312.5,0.38,weekly,5.551115123125783e-17,0.0
RIVN,14.02,0.32,+47.06%,0.68,14.82,0.68,2023-05-19,14.5,0.64,15.5,0.32,monthly,2.775557561562892e-17,1.1796119636642288e-16
AMZN,111.76,0.71,+55.04%,1.29,113.71,0.645,2023-05-19,113.0,1.65,115.0,0.94,monthly,0.0,0.0
SQ,56.99,0.04,+4.17%,0.96,60.04,0.957,2023-05-12,60.0,0.1,61.0,0.06,weekly,-0.0029999999999999,-0.07500000000000089
AFRM,12.78,0.23,+29.87%,0.77,14.23,0.767,2023-05-19,14.0,0.43,15.0,0.2,monthly,-0.0029999999999999,-0.01304347826086957
MU,60.91,0.43,+75.44%,0.57,61.43,0.5660000000000001,2023-05-19,61.0,1.24,62.0,0.81,monthly,-0.0039999999999999,-0.00930232558139523
AMZN,111.76,0.25,+33.33%,0.75,115.25,0.745,2023-05-19,115.0,0.92,116.0,0.67,monthly,-0.005,-0.020000000000000046
AFRM,12.78,0.2,+66.67%,0.3,13.2,0.5870000000000001,2023-05-19,13.0,0.83,13.5,0.63,monthly,-0.0064999999999999,-0.032499999999999744
PYPL,62.9,0.03,+3.09%,0.97,69.03,0.963,2023-05-19,69.0,0.12,70.0,0.09,monthly,-0.007,-0.2333333333333344
CRM,200.6,0.46,+22.55%,2.04,207.96,0.813,2023-05-19,207.5,1.15,210.0,0.69,monthly,-0.0075000000000001,-0.01630434782608727
GOOGL,117.04,0.39,+63.93%,0.61,118.39,0.601,2023-05-19,118.0,1.81,119.0,1.42,monthly,-0.009,-0.02307692307692305
SQ,56.99,0.28,+38.89%,0.72,59.28,0.711,2023-05-19,59.0,0.94,60.0,0.66,monthly,-0.009,-0.03214285714285717
AFRM,12.78,0.17,+20.48%,0.83,13.67,0.821,2023-05-12,13.5,0.23,14.5,0.06,weekly,-0.009,-0.05294117647058837
TSLA,167.79,1.48,+42.05%,3.52,173.98,0.7020000000000001,2023-05-19,172.5,3.15,177.5,1.67,monthly,-0.0099999999999995,-0.0067567567567565524
AAPL,172.28,1.75,+53.85%,3.25,174.25,0.648,2023-05-19,172.5,2.15,177.5,0.4,monthly,-0.0099999999999997,-0.005714285714285735
AMD,98.25,0.03,+3.09%,0.97,104.03,0.957,2023-05-12,104.0,0.14,105.0,0.11,weekly,-0.0129999999999999,-0.43333333333333457
GOOGL,117.04,0.06,+6.38%,0.94,121.06,0.927,2023-05-12,121.0,0.2,122.0,0.14,weekly,-0.0129999999999999,-0.216666666666666
PYPL,62.9,0.23,+29.87%,0.77,65.23,0.757,2023-05-19,65.0,0.66,66.0,0.43,monthly,-0.0129999999999999,-0.0565217391304348
PYPL,62.9,0.03,+6.38%,0.47,67.53,0.914,2023-05-19,67.5,0.21,68.0,0.18,monthly,-0.0129999999999999,-0.4333333333333329
MU,60.91,0.16,+47.06%,0.34,62.16,0.654,2023-05-19,62.0,0.8,62.5,0.64,monthly,-0.0129999999999999,-0.08124999999999995
AFRM,12.78,0.41,+37.61%,1.09,13.91,0.7170000000000001,2023-05-19,13.5,0.61,15.0,0.2,monthly,-0.0144999999999999,-0.03536585365853641
CRM,200.6,2.28,+43.68%,5.22,204.78,0.6940000000000001,2023-05-19,202.5,2.97,210.0,0.69,monthly,-0.0149999999999996,-0.0065789473684208545
GOOG,117.7,0.43,+75.44%,0.57,118.43,0.555,2023-05-19,118.0,2.09,119.0,1.66,monthly,-0.0149999999999999,-0.03488372093023245
AMZN,111.76,0.3,+42.86%,0.7,114.3,0.685,2023-05-19,114.0,1.24,115.0,0.94,monthly,-0.0149999999999999,-0.049999999999999815
SQ,56.99,0.1,+11.11%,0.9,59.1,0.885,2023-05-12,59.0,0.21,60.0,0.11,weekly,-0.0149999999999999,-0.14999999999999983
TSLA,167.79,0.47,+23.15%,2.03,177.97,0.8059999999999999,2023-05-19,177.5,1.65,180.0,1.18,monthly,-0.0150000000000001,-0.031914893617021475
PYPL,62.9,0.04,+8.70%,0.46,67.04,0.889,2023-05-19,67.0,0.26,67.5,0.22,monthly,-0.0154999999999999,-0.38749999999999984
CRM,200.6,0.27,+12.11%,2.23,205.27,0.885,2023-05-12,205.0,0.41,207.5,0.14,weekly,-0.0174999999999999,-0.06481481481481466
AMZN,111.76,1.47,+58.10%,2.53,113.47,0.628,2023-05-19,112.0,2.14,116.0,0.67,monthly,-0.0179999999999999,-0.012244897959183602
PYPL,62.9,0.07,+7.53%,0.93,65.07,0.911,2023-05-12,65.0,0.14,66.0,0.07,weekly,-0.019,-0.2714285714285709
MU,60.91,0.6,+66.67%,0.9,61.6,0.5870000000000001,2023-05-19,61.0,1.24,62.5,0.64,monthly,-0.0194999999999999,-0.032499999999999835
