Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
WBA,32.67,0.2,+66.67%,0.3,32.7,58.3%,2023-06-23,32.5,0.52,33,0.32,weekly
CSCO,52.08,0.19,+61.29%,0.31,52.19,58.5%,2023-06-23,52,0.44,52.5,0.25,weekly
FDX,233.49,1.85,+58.73%,3.15,236.85,55.3%,2023-06-23,235,6.9,240,5.05,weekly
SBUX,101.89,0.37,+58.73%,0.63,102.37,64.0%,2023-06-23,102,0.85,103,0.48,weekly
AAPL,185,0.91,+57.23%,1.59,185.91,61.2%,2023-06-23,185,1.61,187.5,0.7,weekly
GM,37.98,0.18,+56.25%,0.32,38.18,57.2%,2023-06-23,38,0.56,38.5,0.38,weekly
BA,219.9,1.79,+55.76%,3.21,221.79,58.0%,2023-06-23,220,3.6,225,1.81,weekly
CRM,211.49,0.88,+54.32%,1.62,213.38,58.0%,2023-06-23,212.5,2.55,215,1.67,weekly
TSLA,260.49,1.75,+53.85%,3.25,264.25,57.0%,2023-06-23,262.5,6.85,267.5,5.1,weekly
COIN,55.58,0.68,+51.52%,1.32,56.68,58.2%,2023-06-23,56,1.98,58,1.3,weekly
PLUG,10.56,0.17,+51.52%,0.33,10.67,57.6%,2023-06-23,10.5,0.47,11,0.3,weekly
SNOW,184.18,1.69,+51.06%,3.31,186.69,59.9%,2023-06-23,185,4.5,190,2.81,weekly
QCOM,122.68,0.67,+50.38%,1.33,123.67,58.8%,2023-06-23,123,1.61,125,0.94,weekly
FDX,233.49,3.35,+50.38%,6.65,238.35,58.3%,2023-06-23,235,6.9,245,3.55,weekly
TSLA,260.49,2.5,+50.00%,5,265,58.5%,2023-06-23,262.5,6.85,270,4.35,weekly
GM,37.98,0.33,+49.25%,0.67,38.33,61.2%,2023-06-23,38,0.56,39,0.23,weekly
RBLX,41.72,0.33,+49.25%,0.67,42.33,56.0%,2023-06-23,42,1.04,43,0.71,weekly
NKE,113.58,0.33,+49.25%,0.67,114.33,57.1%,2023-06-23,114,1.1,115,0.77,weekly
SQ,66.49,0.33,+49.25%,0.67,67.33,60.2%,2023-06-23,67,1.31,68,0.98,weekly
CSCO,52.08,0.32,+47.06%,0.68,52.32,63.4%,2023-06-23,52,0.44,53,0.12,weekly
BA,219.9,2.4,+47.06%,5.1,222.4,60.6%,2023-06-23,220,3.6,227.5,1.2,weekly
TWLO,67.73,0.64,+47.06%,1.36,68.64,58.7%,2023-06-23,68,1.57,70,0.93,weekly
MARA,9.96,0.16,+47.06%,0.34,10.16,57.5%,2023-06-23,10,0.42,10.5,0.26,weekly
FCX,39.92,0.16,+47.06%,0.34,40.16,54.6%,2023-06-23,40,0.59,40.5,0.43,weekly
CLF,16.45,0.16,+47.06%,0.34,16.66,59.9%,2023-06-23,16.5,0.32,17,0.16,weekly
JD,39.83,0.16,+47.06%,0.34,40.16,55.8%,2023-06-23,40,0.81,40.5,0.65,weekly
IBM,137.54,0.32,+47.06%,0.68,138.32,55.4%,2023-06-23,138,1.03,139,0.71,weekly
COIN,55.58,0.95,+46.34%,2.05,56.95,60.0%,2023-06-23,56,1.98,59,1.03,weekly
U,42.63,0.79,+46.20%,1.71,43.29,59.9%,2023-06-23,42.5,1.59,45,0.8,weekly
CVNA,25.32,0.63,+45.99%,1.37,25.63,55.4%,2023-06-23,25,1.96,27,1.33,weekly
PDD,79.86,0.63,+45.99%,1.37,80.63,56.8%,2023-06-23,80,2.02,82,1.39,weekly
TSLA,260.49,3.15,+45.99%,6.85,265.65,59.8%,2023-06-23,262.5,6.85,272.5,3.7,weekly
JD,39.83,0.31,+44.93%,0.69,40.31,58.4%,2023-06-23,40,0.81,41,0.5,weekly
NVDA,427.23,3.1,+44.93%,6.9,433.1,55.5%,2023-06-23,430,8.5,440,5.4,weekly
FCX,39.92,0.31,+44.93%,0.69,40.31,58.2%,2023-06-23,40,0.59,41,0.28,weekly
NVDA,427.23,1.55,+44.93%,3.45,431.55,53.1%,2023-06-23,430,8.5,435,6.95,weekly
COIN,55.58,0.31,+44.93%,0.69,56.31,55.7%,2023-06-23,56,1.98,57,1.67,weekly
PDD,79.86,0.92,+44.23%,2.08,80.92,58.9%,2023-06-23,80,2.02,83,1.1,weekly
UBER,43.53,0.46,+44.23%,1.04,43.96,63.6%,2023-06-23,43.5,0.76,45,0.3,weekly
SQ,66.49,0.61,+43.88%,1.39,67.61,63.0%,2023-06-23,67,1.31,69,0.7,weekly
CVNA,25.32,0.76,+43.68%,1.74,25.76,56.4%,2023-06-23,25,1.96,27.5,1.2,weekly
C,48.18,0.15,+42.86%,0.35,48.65,63.3%,2023-06-23,48.5,0.36,49,0.21,weekly
COIN,55.58,0.3,+42.86%,0.7,57.3,62.3%,2023-06-23,57,1.6,58,1.3,weekly
ULTA,448.02,1.5,+42.86%,3.5,451.5,68.8%,2023-06-23,450,4.6,455,3.1,weekly
NKE,113.58,0.6,+42.86%,1.4,114.6,60.4%,2023-06-23,114,1.1,116,0.5,weekly
TSLA,260.49,0.75,+42.86%,1.75,265.75,60.0%,2023-06-23,265,5.85,267.5,5.1,weekly
CVNA,25.32,0.3,+42.86%,0.7,25.3,52.7%,2023-06-23,25,1.96,26,1.66,weekly
PLTR,16.32,0.15,+42.86%,0.35,16.65,60.4%,2023-06-23,16.5,0.47,17,0.32,weekly
TGT,133.68,0.3,+42.86%,0.7,135.3,56.5%,2023-06-23,135,1.55,136,1.25,weekly
TSLA,260.49,1.5,+42.86%,3.5,266.5,61.5%,2023-06-23,265,5.85,270,4.35,weekly
SBUX,101.89,0.6,+42.86%,1.4,102.6,67.6%,2023-06-23,102,0.85,104,0.25,weekly
FDX,233.49,4.45,+42.18%,10.55,239.45,60.5%,2023-06-23,235,6.9,250,2.45,weekly
TSLA,260.49,3.7,+42.05%,8.8,266.2,60.9%,2023-06-23,262.5,6.85,275,3.15,weekly
SHOP,64.66,0.59,+41.84%,1.41,65.59,58.8%,2023-06-23,65,1.37,67,0.78,weekly
COIN,55.58,1.18,+41.84%,2.82,57.18,61.5%,2023-06-23,56,1.98,60,0.8,weekly
TGT,133.68,0.59,+41.84%,1.41,135.59,58.7%,2023-06-23,135,1.55,137,0.96,weekly
CRM,211.49,1.47,+41.64%,3.53,213.97,61.1%,2023-06-23,212.5,2.55,217.5,1.08,weekly
QCOM,122.68,0.87,+40.85%,2.13,123.87,60.5%,2023-06-23,123,1.61,126,0.74,weekly
SHOP,64.66,0.29,+40.85%,0.71,65.29,55.7%,2023-06-23,65,1.37,66,1.08,weekly
XOM,105.12,0.29,+40.85%,0.71,106.29,66.1%,2023-06-23,106,0.87,107,0.58,weekly
PLUG,10.56,0.29,+40.85%,0.71,10.79,61.8%,2023-06-23,10.5,0.47,11.5,0.18,weekly
PDD,79.86,1.16,+40.85%,2.84,81.16,60.7%,2023-06-23,80,2.02,84,0.86,weekly
TSLA,260.49,2.15,+40.19%,5.35,267.15,62.8%,2023-06-23,265,5.85,272.5,3.7,weekly
COIN,55.58,0.57,+39.86%,1.43,57.57,64.0%,2023-06-23,57,1.6,59,1.03,weekly
RBLX,41.72,0.57,+39.86%,1.43,42.57,59.3%,2023-06-23,42,1.04,44,0.47,weekly
MU,67.69,0.57,+39.86%,1.43,68.57,59.0%,2023-06-23,68,1.01,70,0.44,weekly
TTD,76.44,0.57,+39.86%,1.43,77.57,62.9%,2023-06-23,77,1.12,79,0.55,weekly
BA,219.9,0.71,+39.66%,1.79,223.21,64.0%,2023-06-23,222.5,2.52,225,1.81,weekly
