Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
HD,289.09,1.98,+65.56%,3.02,291.98,0.639,2023-05-26,290.0,3.3,295.0,1.32,weekly,0.175,0.08838383838383841
PYPL,61.78,0.77,+62.60%,1.23,62.77,0.667,2023-05-26,62.0,1.11,64.0,0.34,weekly,0.104,0.1350649350649352
PYPL,61.78,0.48,+92.31%,0.52,62.48,0.62,2023-05-26,62.0,1.11,63.0,0.63,weekly,0.0999999999999999,0.20833333333333331
MCD,294.28,0.99,+65.56%,1.51,295.99,0.637,2023-05-26,295.0,1.78,297.5,0.79,weekly,0.0825,0.08333333333333333
COIN,57.65,1.58,+65.29%,2.42,59.58,0.625,2023-05-26,58.0,2.66,62.0,1.08,weekly,0.08,0.05063291139240506
COIN,57.65,1.26,+72.41%,1.74,59.26,0.605,2023-05-26,58.0,2.66,61.0,1.4,weekly,0.0749999999999999,0.059523809523809486
AMD,107.17,0.84,+72.41%,1.16,108.84,0.61,2023-05-26,108.0,2.48,110.0,1.64,weekly,0.06,0.07142857142857141
AMD,107.17,1.16,+63.04%,1.84,109.16,0.63,2023-05-26,108.0,2.48,111.0,1.32,weekly,0.0499999999999999,0.043103448275862
COIN,57.65,1.08,+56.25%,1.92,60.08,0.6559999999999999,2023-05-26,59.0,2.16,62.0,1.08,weekly,0.0479999999999998,0.04444444444444438
CVX,152.94,0.71,+39.66%,1.79,155.71,0.735,2023-05-26,155.0,1.16,157.5,0.45,weekly,0.0474999999999998,0.06690140845070412
SQ,59.24,0.41,+69.49%,0.59,60.41,0.637,2023-05-26,60.0,1.26,61.0,0.85,weekly,0.047,0.11463414634146343
JPM,139.65,0.82,+69.49%,1.18,140.82,0.612,2023-05-26,140.0,1.52,142.0,0.7,weekly,0.0439999999999999,0.05365853658536588
VZ,35.96,0.23,+85.19%,0.27,36.23,0.617,2023-05-26,36.0,0.4,36.5,0.17,weekly,0.0385,0.1673913043478261
AMD,107.17,0.45,+81.82%,0.55,108.45,0.585,2023-05-26,108.0,2.48,109.0,2.03,weekly,0.0349999999999999,0.07777777777777767
COIN,57.65,0.76,+61.29%,1.24,59.76,0.637,2023-05-26,59.0,2.16,61.0,1.4,weekly,0.034,0.04473684210526323
HD,289.09,2.55,+51.52%,4.95,292.55,0.664,2023-05-26,290.0,3.3,297.5,0.75,weekly,0.0300000000000002,0.011764705882353017
V,233.33,0.82,+48.81%,1.68,235.82,0.6829999999999999,2023-05-26,235.0,1.45,237.5,0.63,weekly,0.0274999999999998,0.033536585365853425
JPM,139.65,0.45,+81.82%,0.55,140.45,0.5770000000000001,2023-05-26,140.0,1.52,141.0,1.07,weekly,0.027,0.06000000000000012
OXY,58.83,0.41,+69.49%,0.59,59.41,0.616,2023-05-26,59.0,0.79,60.0,0.38,weekly,0.026,0.06341463414634149
SQ,59.24,0.69,+52.67%,1.31,60.69,0.6679999999999999,2023-05-26,60.0,1.26,62.0,0.57,weekly,0.0259999999999998,0.03768115942028966
CCJ,27.63,0.3,+42.86%,0.7,28.3,0.7240000000000001,2023-05-26,28.0,0.44,29.0,0.14,weekly,0.0240000000000001,0.08000000000000031
CCJ,27.63,0.18,+56.25%,0.32,28.18,0.688,2023-05-26,28.0,0.44,28.5,0.26,weekly,0.0239999999999999,0.13333333333333316
C,45.59,0.2,+66.67%,0.3,46.2,0.6459999999999999,2023-05-26,46.0,0.54,46.5,0.34,weekly,0.0229999999999999,0.11499999999999981
FCX,35.69,0.36,+56.25%,0.64,36.36,0.662,2023-05-26,36.0,0.58,37.0,0.22,weekly,0.022,0.06111111111111119
PYPL,61.78,0.28,+38.89%,0.72,63.28,0.742,2023-05-26,63.0,0.62,64.0,0.34,weekly,0.022,0.07857142857142871
HD,289.09,0.78,+45.35%,1.72,293.28,0.696,2023-05-26,292.5,2.1,295.0,1.32,weekly,0.0199999999999999,0.025641025641025564
XOM,106.45,0.4,+66.67%,0.6,107.4,0.619,2023-05-26,107.0,1.12,108.0,0.72,weekly,0.019,0.04750000000000001
C,45.59,0.34,+51.52%,0.66,46.34,0.677,2023-05-26,46.0,0.54,47.0,0.2,weekly,0.017,0.05000000000000011
COIN,57.65,0.64,+47.06%,1.36,60.64,0.688,2023-05-26,60.0,1.72,62.0,1.08,weekly,0.0159999999999999,0.024999999999999793
AMD,107.17,0.69,+52.67%,1.31,109.69,0.6629999999999999,2023-05-26,109.0,2.01,111.0,1.32,weekly,0.0159999999999997,0.023188405797101234
SHOP,63.16,0.38,+61.29%,0.62,64.38,0.635,2023-05-26,64.0,1.32,65.0,0.94,weekly,0.015,0.03947368421052637
WFC,40.21,0.2,+66.67%,0.3,40.7,0.628,2023-05-26,40.5,0.52,41.0,0.32,weekly,0.014,0.0700000000000001
AMD,107.17,0.37,+58.73%,0.63,109.37,0.643,2023-05-26,109.0,2.01,110.0,1.64,weekly,0.013,0.0351351351351352
FCX,35.69,0.2,+66.67%,0.3,36.2,0.625,2023-05-26,36.0,0.58,36.5,0.38,weekly,0.0125,0.0625000000000001
DVN,49.17,0.21,+72.41%,0.29,49.71,0.604,2023-05-26,49.5,0.77,50.0,0.56,weekly,0.0119999999999999,0.057142857142857106
DVN,49.17,0.52,+53.06%,0.98,50.02,0.6609999999999999,2023-05-26,49.5,0.77,51.0,0.25,weekly,0.0114999999999999,0.02211538461538446
DIS,90.33,0.26,+35.14%,0.74,92.26,0.7509999999999999,2023-05-26,92.0,0.63,93.0,0.37,weekly,0.0109999999999998,0.04230769230769187
COIN,57.65,1.81,+56.74%,3.19,59.81,0.64,2023-05-26,58.0,2.66,63.0,0.85,weekly,0.0100000000000002,0.005524861878453164
XOM,106.45,0.7,+53.85%,1.3,107.7,0.655,2023-05-26,107.0,1.12,109.0,0.42,weekly,0.01,0.014285714285714339
PFE,36.83,0.18,+56.25%,0.32,37.18,0.657,2023-05-26,37.0,0.31,37.5,0.13,weekly,0.0085,0.047222222222222304
COIN,57.65,0.39,+63.93%,0.61,59.39,0.614,2023-05-26,59.0,2.16,60.0,1.77,weekly,0.004,0.010256410256410302
AMD,107.17,1.42,+55.04%,2.58,109.42,0.6459999999999999,2023-05-26,108.0,2.48,112.0,1.06,weekly,0.0039999999999995,0.002816901408450427
PYPL,61.78,0.93,+44.93%,2.07,62.93,0.691,2023-05-26,62.0,1.11,65.0,0.18,weekly,0.003,0.003225806451612843
COIN,57.65,0.28,+38.89%,0.72,61.28,0.723,2023-05-26,61.0,1.36,62.0,1.08,weekly,0.003,0.010714285714285674
GM,32.5,0.16,+47.06%,0.34,33.16,0.6859999999999999,2023-05-26,33.0,0.38,33.5,0.22,weekly,0.0029999999999999,0.018749999999999815
