Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
ATVI,86.09,1.41,+88.68%,1.59,88.41,61.3%,2023-04-28,87,2.4,90,0.99,weekly
GOOGL,105.97,0.86,+75.44%,1.14,106.86,55.2%,2023-04-28,106,2.72,108,1.86,weekly
ATVI,86.09,0.86,+75.44%,1.14,88.86,63.4%,2023-04-28,88,1.85,90,0.99,weekly
ATVI,86.09,2.14,+74.83%,2.86,89.14,64.7%,2023-04-28,87,2.4,92,0.26,weekly
DIS,99.68,0.42,+72.41%,0.58,100.42,56.7%,2023-05-05,100,1.64,101,1.22,weekly
GOOGL,105.97,0.42,+72.41%,0.58,106.42,52.6%,2023-04-28,106,2.72,107,2.3,weekly
ENPH,224.6,2.05,+69.49%,2.95,227.05,53.4%,2023-04-28,225,11.05,230,9,weekly
GOOGL,105.97,1.22,+68.54%,1.78,107.22,57.2%,2023-04-28,106,2.72,109,1.5,weekly
JPM,140.73,0.81,+68.07%,1.19,141.81,59.5%,2023-05-05,141,1.69,143,0.88,weekly
PINS,27.63,0.2,+66.67%,0.3,28.2,56.9%,2023-04-28,28,1.14,28.5,0.94,weekly
ATVI,86.09,1.59,+65.98%,2.41,89.59,66.7%,2023-04-28,88,1.85,92,0.26,weekly
GOOG,106.78,0.78,+63.93%,1.22,107.78,55.8%,2023-04-28,107,2.6,109,1.82,weekly
AMZN,106.21,0.78,+63.93%,1.22,107.78,56.7%,2023-04-28,107,3.3,109,2.52,weekly
DIS,99.68,0.39,+63.93%,0.61,100.39,60.5%,2023-04-28,100,0.94,101,0.55,weekly
PYPL,74.29,0.39,+63.93%,0.61,75.39,60.1%,2023-05-05,75,1.41,76,1.02,weekly
QCOM,117.35,1.55,+63.27%,2.45,119.55,59.0%,2023-05-05,118,3.6,122,2.05,weekly
DIS,99.68,0.77,+62.60%,1.23,100.77,59.8%,2023-05-05,100,1.64,102,0.87,weekly
GOOGL,105.97,0.77,+62.60%,1.23,107.77,58.6%,2023-05-05,107,2.82,109,2.05,weekly
AAPL,165.33,0.96,+62.34%,1.54,168.46,62.9%,2023-05-05,167.5,2.78,170,1.82,weekly
GOOG,106.78,1.15,+62.16%,1.85,108.15,57.9%,2023-04-28,107,2.6,110,1.45,weekly
GOOGL,105.97,1.53,+61.94%,2.47,107.53,59.0%,2023-04-28,106,2.72,110,1.19,weekly
LVS,63.95,0.38,+61.29%,0.62,64.38,58.5%,2023-04-28,64,0.76,65,0.38,weekly
KO,63.95,0.38,+61.29%,0.62,64.38,61.0%,2023-05-05,64,0.57,65,0.19,weekly
UBER,30.68,0.19,+61.29%,0.31,31.19,55.6%,2023-05-05,31,1.28,31.5,1.09,weekly
NLY,19.46,0.19,+61.29%,0.31,19.69,60.3%,2023-04-28,19.5,0.3,20,0.11,weekly
TSLA,162.55,0.95,+61.29%,1.55,165.95,59.7%,2023-05-05,165,4.45,167.5,3.5,weekly
META,212.79,0.95,+61.29%,1.55,215.95,54.8%,2023-05-05,215,9.4,217.5,8.45,weekly
GOOG,106.78,1.14,+61.29%,1.86,108.14,56.5%,2023-05-05,107,3.2,110,2.06,weekly
GOOG,106.78,1.49,+59.36%,2.51,108.49,58.2%,2023-05-05,107,3.2,111,1.71,weekly
GOOGL,105.97,1.86,+59.24%,3.14,107.86,59.0%,2023-05-05,106,3.3,111,1.44,weekly
AMZN,106.21,1.48,+58.73%,2.52,108.48,59.6%,2023-04-28,107,3.3,111,1.82,weekly
GOOGL,105.97,0.37,+58.73%,0.63,107.37,58.1%,2023-04-28,107,2.23,108,1.86,weekly
GOOG,106.78,0.37,+58.73%,0.63,107.37,53.5%,2023-04-28,107,2.6,108,2.23,weekly
UBER,30.68,0.55,+57.89%,0.95,31.55,59.5%,2023-05-05,31,1.28,32.5,0.73,weekly
GOOGL,105.97,0.73,+57.48%,1.27,107.73,60.1%,2023-04-28,107,2.23,109,1.5,weekly
AMZN,106.21,1.09,+57.07%,1.91,108.09,57.9%,2023-04-28,107,3.3,110,2.21,weekly
ENPH,224.6,5.45,+57.07%,9.55,230.45,58.1%,2023-04-28,225,11.05,240,5.6,weekly
GOOG,106.78,1.45,+56.86%,2.55,108.45,59.6%,2023-04-28,107,2.6,111,1.15,weekly
XOM,118.2,0.36,+56.25%,0.64,119.36,58.2%,2023-05-05,119,1.87,120,1.51,weekly
DKNG,21.41,0.36,+56.25%,0.64,21.86,55.9%,2023-05-05,21.5,1.13,22.5,0.77,weekly
PFE,39.91,0.18,+56.25%,0.32,40.18,62.5%,2023-04-28,40,0.28,40.5,0.1,weekly
INTC,29.66,0.18,+56.25%,0.32,30.18,58.1%,2023-04-28,30,0.85,30.5,0.67,weekly
AMZN,106.21,0.36,+56.25%,0.64,107.36,54.9%,2023-04-28,107,3.3,108,2.94,weekly
NFLX,329.02,0.9,+56.25%,1.6,330.9,56.3%,2023-04-28,330,4.3,332.5,3.4,weekly
GOOGL,105.97,1.79,+55.76%,3.21,107.79,60.5%,2023-04-28,106,2.72,111,0.93,weekly
GOOGL,105.97,1.07,+55.44%,1.93,108.07,60.0%,2023-05-05,107,2.82,110,1.75,weekly
GOOGL,105.97,2.13,+55.04%,3.87,108.13,60.3%,2023-05-05,106,3.3,112,1.17,weekly
PYPL,74.29,0.71,+55.04%,1.29,75.71,62.9%,2023-05-05,75,1.41,77,0.7,weekly
V,232.76,0.88,+54.32%,1.62,235.88,62.7%,2023-04-28,235,2.81,237.5,1.93,weekly
