Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
ATVI,78.5,0.01,+2.04%,0.49,82.01,0.979,2023-05-19,82.0,0.1,82.5,0.09,-0.0004999999999999,-0.050000000000000766
ATVI,78.5,0.02,+2.04%,0.98,82.02,0.979,2023-05-19,82.0,0.1,83.0,0.08,-0.0009999999999999,-0.050000000000000766
SCHW,51.48,0.14,+38.89%,0.36,52.64,0.696,2023-05-19,52.5,0.46,53.0,0.32,-0.012,-0.08571428571428583
WMT,152.21,1.06,+73.61%,1.44,153.56,0.5710000000000001,2023-05-19,152.5,2.66,155.0,1.6,-0.0124999999999997,-0.011792452830188486
SCHW,51.48,0.58,+63.04%,0.92,52.08,0.605,2023-05-19,51.5,0.9,53.0,0.32,-0.0125,-0.021551724137931133
SCHW,51.48,0.41,+69.49%,0.59,51.91,0.5760000000000001,2023-05-19,51.5,0.9,52.5,0.49,-0.0139999999999999,-0.034146341463414415
NVDA,288.66,0.03,+1.21%,2.47,310.03,0.981,2023-05-19,310.0,0.12,312.5,0.09,-0.0175,-0.5833333333333349
GOOGL,117.04,0.02,+2.04%,0.98,123.02,0.962,2023-05-19,123.0,0.08,124.0,0.06,-0.0179999999999999,-0.9000000000000016
HD,288.83,1.1,+78.57%,1.4,291.1,0.552,2023-05-19,290.0,6.2,292.5,5.1,-0.0199999999999997,-0.018181818181817973
CHWY,34.51,0.07,+16.28%,0.43,36.07,0.8140000000000001,2023-05-19,36.0,0.22,36.5,0.15,-0.0229999999999999,-0.32857142857142807
SCHW,51.48,0.33,+49.25%,0.67,52.33,0.647,2023-05-19,52.0,0.65,53.0,0.32,-0.0229999999999999,-0.06969696969696963
AMD,96.68,0.01,+1.01%,0.99,104.01,0.965,2023-05-19,104.0,0.08,105.0,0.07,-0.025,-2.5000000000000027
MGM,42.62,0.15,+42.86%,0.35,43.15,0.645,2023-05-19,43.0,0.38,43.5,0.23,-0.0274999999999999,-0.18333333333333318
ATVI,78.5,0.04,+4.17%,0.96,81.04,0.931,2023-05-19,81.0,0.15,82.0,0.11,-0.029,-0.7249999999999985
FCX,36.12,0.15,+42.86%,0.35,36.65,0.6409999999999999,2023-05-19,36.5,0.39,37.0,0.24,-0.0295,-0.19666666666666693
ABNB,105.94,0.02,+1.01%,1.98,115.02,0.975,2023-05-19,115.0,0.08,117.0,0.06,-0.03,-1.500000000000002
GOOG,117.48,0.02,+2.04%,0.98,123.02,0.95,2023-05-19,123.0,0.09,124.0,0.07,-0.03,-1.500000000000002
AMZN,110.58,0.38,+61.29%,0.62,111.38,0.59,2023-05-19,111.0,1.17,112.0,0.79,-0.03,-0.07894736842105274
SCHW,51.48,0.2,+66.67%,0.3,51.7,0.539,2023-05-19,51.5,0.9,52.0,0.7,-0.0304999999999999,-0.15249999999999983
SCHW,51.48,0.16,+47.06%,0.34,52.16,0.619,2023-05-19,52.0,0.65,52.5,0.49,-0.0305,-0.19062500000000004
ABNB,105.94,0.01,+1.01%,0.99,114.01,0.959,2023-05-19,114.0,0.1,115.0,0.09,-0.0309999999999999,-3.100000000000003
ABNB,105.94,0.03,+3.09%,0.97,113.03,0.938,2023-05-19,113.0,0.14,114.0,0.11,-0.032,-1.0666666666666684
SHOP,62.13,0.03,+3.09%,0.97,67.03,0.938,2023-05-19,67.0,0.11,68.0,0.08,-0.032,-1.0666666666666684
AMZN,110.58,0.03,+3.09%,0.97,116.03,0.936,2023-05-19,116.0,0.1,117.0,0.07,-0.034,-1.1333333333333315
AMZN,110.58,0.07,+7.53%,0.93,115.07,0.8959999999999999,2023-05-19,115.0,0.18,116.0,0.11,-0.0340000000000001,-0.485714285714287
CSCO,47.19,0.12,+31.58%,0.38,48.62,0.691,2023-05-19,48.5,0.5,49.0,0.38,-0.0345,-0.2875000000000003
MGM,42.62,0.09,+21.95%,0.41,43.59,0.7509999999999999,2023-05-19,43.5,0.21,44.0,0.12,-0.0345,-0.3833333333333339
AMZN,110.58,0.28,+38.89%,0.72,112.28,0.685,2023-05-19,112.0,0.78,113.0,0.5,-0.0349999999999999,-0.12499999999999968
ROKU,54.75,0.03,+3.09%,0.97,60.03,0.934,2023-05-19,60.0,0.11,61.0,0.08,-0.0359999999999999,-1.1999999999999982
SCHW,51.48,0.03,+6.38%,0.47,54.03,0.868,2023-05-19,54.0,0.13,54.5,0.1,-0.036,-1.2000000000000004
MRVL,41.97,0.19,+61.29%,0.31,42.19,0.546,2023-05-19,42.0,0.66,42.5,0.47,-0.0369999999999999,-0.194736842105263
