Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
AAPL,182.79,1.29,+106.61%,1.21,183.79,60.5%,2023-06-23,182.5,2.88,185,1.59
AAPL,182.79,1.23,+96.85%,1.27,183.73,66.4%,2023-06-16,182.5,1.88,185,0.65
MSFT,334.45,1.1,+78.57%,1.4,336.1,57.3%,2023-06-23,335,5.15,337.5,4.05
MSFT,334.45,1.09,+77.31%,1.41,336.09,61.8%,2023-06-16,335,3.15,337.5,2.06
NKE,112.36,0.43,+75.44%,0.57,112.43,58.4%,2023-06-16,112,1.37,113,0.94
NVDA,418.93,2.15,+75.44%,2.85,422.15,62.0%,2023-06-16,420,7.6,425,5.45
JPM,140.98,0.86,+75.44%,1.14,141.86,60.2%,2023-06-23,141,1.67,143,0.81
TSLA,252.99,2.15,+75.44%,2.85,254.65,54.1%,2023-06-23,252.5,10.65,257.5,8.5
GOOGL,122.45,0.64,+74.42%,0.86,123.14,64.1%,2023-06-16,122.5,1.4,124,0.76
AMZN,125.06,0.85,+73.91%,1.15,125.85,66.4%,2023-06-16,125,1.74,127,0.89
AAPL,182.79,2.11,+73.01%,2.89,184.61,65.9%,2023-06-23,182.5,2.88,187.5,0.77
PLTR,15.58,0.21,+72.41%,0.29,15.71,57.7%,2023-06-16,15.5,0.53,16,0.32
META,269.78,1.05,+72.41%,1.45,271.05,57.2%,2023-06-23,270,5.6,272.5,4.55
MSFT,334.45,2.1,+72.41%,2.9,337.1,60.5%,2023-06-23,335,5.15,340,3.05
TSLA,252.99,1.75,+72.31%,2.42,255.08,57.9%,2023-06-16,253.33,6.5,257.5,4.75
TSLA,252.99,0.7,+72.16%,0.97,254.03,55.0%,2023-06-16,253.33,6.5,255,5.8
TGT,133.3,0.83,+70.94%,1.17,133.83,56.4%,2023-06-23,133,2.77,135,1.94
GOOG,123.06,0.83,+70.94%,1.17,123.83,64.3%,2023-06-16,123,1.46,125,0.63
COST,524.99,2.05,+69.49%,2.95,527.05,59.4%,2023-06-23,525,5.25,530,3.2
BABA,88.79,0.41,+69.49%,0.59,89.41,58.2%,2023-06-16,89,1.51,90,1.1
TSM,106.22,0.41,+69.49%,0.59,106.41,56.1%,2023-06-16,106,1.38,107,0.97
META,269.78,1.02,+68.92%,1.48,271.02,62.1%,2023-06-16,270,3.25,272.5,2.23
GOOGL,122.45,0.81,+68.07%,1.19,123.81,63.4%,2023-06-23,123,2.04,125,1.23
META,269.78,2,+66.67%,3,272,60.0%,2023-06-23,270,5.6,275,3.6
TSLA,252.99,1,+66.67%,1.5,256,60.4%,2023-06-16,255,5.75,257.5,4.75
TSLA,252.99,4,+66.67%,6,256.5,57.2%,2023-06-23,252.5,10.65,262.5,6.65
SNOW,177.83,1,+66.67%,1.5,178.5,56.6%,2023-06-16,177.5,4.1,180,3.1
UAL,52.89,0.4,+66.67%,0.6,53.4,57.7%,2023-06-23,53,1.21,54,0.81
PLTR,15.58,0.2,+66.67%,0.3,15.7,54.0%,2023-06-23,15.5,0.89,16,0.69
NVDA,418.93,2,+66.67%,3,422,56.3%,2023-06-23,420,13.4,425,11.4
TSLA,252.99,2.65,+65.92%,4.02,255.98,60.3%,2023-06-16,253.33,6.5,260,3.85
TSLA,252.99,1.95,+63.93%,3.05,256.95,58.0%,2023-06-23,255,9.45,260,7.5
RBLX,39.06,0.39,+63.93%,0.61,39.39,59.2%,2023-06-16,39,0.9,40,0.51
PANW,235.74,1.95,+63.93%,3.05,236.95,62.4%,2023-06-16,235,3.55,240,1.6
SHOP,64.83,0.39,+63.93%,0.61,65.39,57.0%,2023-06-23,65,2.2,66,1.81
NVDA,418.93,3.9,+63.93%,6.1,423.9,58.7%,2023-06-23,420,13.4,430,9.5
COIN,52.81,0.78,+63.93%,1.22,53.78,64.6%,2023-06-16,53,1.8,55,1.02
MSFT,334.45,2.9,+63.04%,4.6,337.9,63.1%,2023-06-23,335,5.15,342.5,2.25
AMZN,125.06,1.54,+62.60%,2.46,126.54,64.4%,2023-06-23,125,2.73,129,1.19
TSLA,252.99,3.85,+62.60%,6.15,256.35,61.3%,2023-06-16,252.5,6.95,262.5,3.1
TSLA,252.99,4.8,+62.34%,7.7,257.3,58.6%,2023-06-23,252.5,10.65,265,5.85
ADBE,476.37,5.75,+62.16%,9.25,480.75,55.7%,2023-06-16,475,18.6,490,12.85
GOOG,123.06,0.38,+61.29%,0.62,124.38,62.6%,2023-06-23,124,1.84,125,1.46
