Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
DIS,99.93,0.44,+78.57%,0.56,100.44,55.1%,2023-05-05,100,1.59,101,1.15,weekly
DAL,33.33,0.21,+72.41%,0.29,33.71,59.0%,2023-05-05,33.5,0.58,34,0.37,weekly
NVDA,272.26,1.05,+72.41%,1.45,273.55,53.1%,2023-05-05,272.5,6.4,275,5.35,weekly
IBM,126.97,0.42,+72.41%,0.58,127.42,55.5%,2023-05-05,127,1.27,128,0.85,weekly
SBUX,112.75,0.84,+72.41%,1.16,113.84,55.7%,2023-05-05,113,2.88,115,2.04,weekly
NVDA,272.26,2.1,+72.41%,2.9,274.6,55.6%,2023-05-05,272.5,6.4,277.5,4.3,weekly
PYPL,74.27,0.82,+69.49%,1.18,75.82,58.0%,2023-05-12,75,2.67,77,1.85,weekly
GOOGL,107.59,0.41,+69.49%,0.59,108.41,56.9%,2023-05-05,108,1.7,109,1.29,weekly
NVDA,272.26,3.05,+68.54%,4.45,275.55,57.9%,2023-05-05,272.5,6.4,280,3.35,weekly
XOM,116.83,0.81,+68.07%,1.19,117.81,57.0%,2023-05-05,117,2.13,119,1.32,weekly
MSFT,304.83,2.01,+67.22%,2.99,307.01,57.8%,2023-05-05,305,4.2,310,2.19,weekly
AAPL,168.41,1,+66.67%,1.5,171,61.4%,2023-05-05,170,2.79,172.5,1.79,weekly
MSFT,304.83,1,+66.67%,1.5,306,54.2%,2023-05-05,305,4.2,307.5,3.2,weekly
MU,61.9,0.4,+66.67%,0.6,62.4,55.8%,2023-05-05,62,1.26,63,0.86,weekly
MCD,294.72,0.99,+65.56%,1.51,295.99,58.8%,2023-05-05,295,2.09,297.5,1.1,weekly
GOOGL,107.59,0.79,+65.29%,1.21,108.79,60.0%,2023-05-05,108,1.7,110,0.91,weekly
DIS,99.93,0.79,+65.29%,1.21,100.79,58.5%,2023-05-05,100,1.59,102,0.8,weekly
NVDA,272.26,4.9,+64.47%,7.6,277.4,59.0%,2023-05-12,272.5,8.9,285,4,weekly
XOM,116.83,0.39,+63.93%,0.61,117.39,54.0%,2023-05-05,117,2.13,118,1.74,weekly
AMZN,109.82,1.15,+62.16%,1.85,111.15,54.4%,2023-05-05,110,4.7,113,3.55,weekly
AMZN,109.82,1.91,+61.81%,3.09,111.91,56.8%,2023-05-05,110,4.7,115,2.79,weekly
AMZN,109.82,1.9,+61.29%,3.1,111.9,56.3%,2023-05-12,110,5.1,115,3.2,weekly
NVDA,272.26,5.7,+61.29%,9.3,278.2,60.3%,2023-05-12,272.5,8.9,287.5,3.2,weekly
BAC,28.89,0.19,+61.29%,0.31,29.19,60.0%,2023-05-05,29,0.41,29.5,0.22,weekly
PFE,38.74,0.19,+61.29%,0.31,39.19,58.4%,2023-05-05,39,0.71,39.5,0.52,weekly
MSFT,304.83,1.9,+61.29%,3.1,306.9,55.7%,2023-05-12,305,5.45,310,3.55,weekly
INTC,29.86,0.38,+61.29%,0.62,30.38,56.3%,2023-05-05,30,1.16,31,0.78,weekly
AMZN,109.82,2.25,+60.00%,3.75,112.25,57.3%,2023-05-12,110,5.1,116,2.85,weekly
DIS,99.93,1.86,+59.24%,3.14,101.86,59.5%,2023-05-12,100,3.2,105,1.34,weekly
AMD,87.44,1.48,+58.73%,2.52,89.48,59.2%,2023-05-05,88,3.15,92,1.67,weekly
NVDA,272.26,1.85,+58.73%,3.15,276.85,60.9%,2023-05-05,275,5.2,280,3.35,weekly
MSFT,304.83,2.77,+58.56%,4.73,307.77,60.5%,2023-05-05,305,4.2,312.5,1.43,weekly
AMD,87.44,0.73,+57.48%,1.27,89.73,60.3%,2023-05-05,89,2.73,91,2,weekly
MU,61.9,0.73,+57.48%,1.27,62.73,59.6%,2023-05-05,62,1.26,64,0.53,weekly
NVDA,272.26,0.9,+56.25%,1.6,275.9,58.7%,2023-05-05,275,5.2,277.5,4.3,weekly
JD,34.75,0.18,+56.25%,0.32,35.18,57.8%,2023-05-05,35,0.75,35.5,0.57,weekly
INTC,29.86,0.18,+56.25%,0.32,30.18,53.9%,2023-05-05,30,1.16,30.5,0.98,weekly
META,238.56,0.9,+56.25%,1.6,240.9,57.2%,2023-05-05,240,4.4,242.5,3.5,weekly
NCLH,12.83,0.18,+56.25%,0.32,13.18,59.1%,2023-05-05,13,0.51,13.5,0.33,weekly
PYPL,74.27,0.36,+56.25%,0.64,75.36,61.0%,2023-05-05,75,1.22,76,0.86,weekly
PYPL,74.27,1.43,+55.64%,2.57,76.43,61.1%,2023-05-12,75,2.67,79,1.24,weekly
AMZN,109.82,2.5,+55.56%,4.5,112.5,58.7%,2023-05-05,110,4.7,117,2.2,weekly
META,238.56,1.78,+55.28%,3.22,241.78,59.8%,2023-05-05,240,4.4,245,2.62,weekly
GOOGL,107.59,0.71,+55.04%,1.29,108.71,56.8%,2023-05-12,108,2.31,110,1.6,weekly
INTC,29.86,0.53,+54.64%,0.97,30.53,58.1%,2023-05-05,30,1.16,31.5,0.63,weekly
DIS,99.93,1.06,+54.64%,1.94,101.06,61.1%,2023-05-05,100,1.59,103,0.53,weekly
AMD,87.44,1.06,+54.64%,1.94,90.06,61.7%,2023-05-05,89,2.73,92,1.67,weekly
AMZN,109.82,1.41,+54.44%,2.59,112.41,58.4%,2023-05-05,111,4.2,115,2.79,weekly
AMD,87.44,1.76,+54.32%,3.24,89.76,60.4%,2023-05-05,88,3.15,93,1.39,weekly
NVDA,272.26,4.39,+54.13%,8.11,276.89,61.0%,2023-05-05,272.5,6.4,285,2.01,weekly
GOOG,108.37,0.7,+53.85%,1.3,109.7,61.0%,2023-05-05,109,1.59,111,0.89,weekly
MSFT,304.83,3.5,+53.85%,6.5,308.5,60.0%,2023-05-12,305,5.45,315,1.95,weekly
AMZN,109.82,1.4,+53.85%,2.6,112.4,57.8%,2023-05-12,111,4.6,115,3.2,weekly
XOM,116.83,1.4,+53.85%,2.6,118.4,61.0%,2023-05-05,117,2.13,121,0.73,weekly
