Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
SHOP,58.64,0.67,+28.76%,2.33,60.67,0.703,2023-06-02,60.0,0.99,63.0,0.32,-0.2210000000000001,-0.329850746268657
AFRM,13.93,0.51,+34.23%,1.49,14.51,0.634,2023-06-02,14.0,0.66,16.0,0.15,-0.2219999999999999,-0.4352941176470588
PDD,70.34,0.47,+30.72%,1.53,72.47,0.653,2023-06-02,72.0,1.37,74.0,0.9,-0.2239999999999999,-0.47659574468085103
XOM,105.26,0.61,+25.52%,2.39,107.61,0.722,2023-06-02,107.0,0.81,110.0,0.2,-0.2240000000000001,-0.3672131147540985
PLTR,14.01,0.29,+23.97%,1.21,14.79,0.657,2023-06-02,14.5,0.54,16.0,0.25,-0.2244999999999999,-0.7741379310344827
SCHW,53.87,0.57,+29.53%,1.93,55.07,0.682,2023-06-02,54.5,0.71,57.0,0.14,-0.2249999999999998,-0.394736842105263
HD,289.77,0.65,+35.14%,1.85,293.15,0.648,2023-06-02,292.5,1.71,295.0,1.06,-0.2299999999999999,-0.3538461538461537
DIS,88.77,0.19,+6.76%,2.81,92.19,0.86,2023-06-02,92.0,0.27,95.0,0.08,-0.23,-1.210526315789474
AMD,126.56,0.83,+38.25%,2.17,129.83,0.6459999999999999,2023-06-02,129.0,2.44,132.0,1.61,-0.2320000000000003,-0.2795180722891569
INTC,28.36,0.57,+29.53%,1.93,29.07,0.679,2023-06-02,28.5,0.63,31.0,0.06,-0.2324999999999999,-0.40789473684210503
AMD,126.56,1.06,+54.64%,1.94,128.06,0.569,2023-06-02,127.0,3.2,130.0,2.14,-0.2330000000000001,-0.219811320754717
MARA,9.21,0.14,+10.29%,1.36,10.14,0.75,2023-06-02,10.0,0.21,11.5,0.07,-0.235,-1.6785714285714284
NVDA,386.44,0.65,+14.94%,4.35,410.65,0.823,2023-06-02,410.0,3.5,415.0,2.85,-0.2350000000000001,-0.3615384615384618
COIN,57.59,0.85,+39.53%,2.15,59.85,0.638,2023-06-02,59.0,1.83,62.0,0.98,-0.236,-0.2776470588235294
AMZN,120.57,1.54,+44.51%,3.46,122.54,0.644,2023-06-02,121.0,2.19,126.0,0.65,-0.2399999999999998,-0.15584415584415576
TSLA,191.96,2.51,+33.51%,7.49,200.01,0.725,2023-06-02,197.5,4.0,207.5,1.49,-0.2400000000000004,-0.09561752988047825
COIN,57.59,0.7,+30.43%,2.3,60.7,0.6859999999999999,2023-06-02,60.0,1.48,63.0,0.78,-0.2420000000000001,-0.34571428571428586
SHOP,58.64,0.45,+17.65%,2.55,61.45,0.769,2023-06-02,61.0,0.67,64.0,0.22,-0.2429999999999999,-0.5399999999999999
RIOT,11.56,0.14,+10.29%,1.36,12.64,0.7440000000000001,2023-06-02,12.5,0.24,14.0,0.1,-0.2439999999999998,-1.7428571428571413
COIN,57.59,0.44,+17.19%,2.56,62.44,0.772,2023-06-02,62.0,0.94,65.0,0.5,-0.2439999999999999,-0.5545454545454543
BABA,81.56,0.58,+40.85%,1.42,82.58,0.5870000000000001,2023-06-02,82.0,1.52,84.0,0.94,-0.2459999999999998,-0.42413793103448244
BABA,81.56,0.23,+6.10%,3.77,87.23,0.8809999999999999,2023-06-02,87.0,0.39,91.0,0.16,-0.2460000000000004,-1.0695652173913062
SQ,60.02,0.75,+33.33%,2.25,61.75,0.667,2023-06-02,61.0,1.14,64.0,0.39,-0.2489999999999999,-0.3319999999999999
JPM,137.0,0.51,+20.48%,2.49,139.51,0.747,2023-06-02,139.0,0.69,142.0,0.18,-0.249,-0.4882352941176471
NVDA,386.44,0.65,+35.14%,1.85,395.65,0.64,2023-06-02,395.0,6.95,397.5,6.3,-0.25,-0.3846153846153845
AMD,126.56,0.5,+20.00%,2.5,132.5,0.75,2023-06-02,132.0,1.58,135.0,1.08,-0.25,-0.4999999999999999
COIN,57.59,0.56,+22.95%,2.44,61.56,0.73,2023-06-02,61.0,1.18,64.0,0.62,-0.25,-0.4464285714285714
NFLX,368.09,2.04,+25.63%,7.96,382.04,0.7709999999999999,2023-06-02,380.0,4.15,390.0,2.11,-0.2500000000000009,-0.12254901960784356
GOOG,125.16,0.88,+28.21%,3.12,127.88,0.7170000000000001,2023-06-02,127.0,1.24,131.0,0.36,-0.2519999999999996,-0.28636363636363604
SCHW,53.87,0.81,+36.99%,2.19,54.81,0.645,2023-06-02,54.0,0.95,57.0,0.14,-0.2549999999999999,-0.3148148148148147
GME,23.26,0.13,+4.53%,2.87,25.13,0.871,2023-06-02,25.0,0.3,28.0,0.17,-0.257,-1.976923076923077
META,258.21,1.94,+34.89%,5.56,264.44,0.7070000000000001,2023-06-02,262.5,3.15,270.0,1.21,-0.2574999999999994,-0.13273195876288632
HD,289.77,0.21,+9.17%,2.29,297.71,0.813,2023-06-02,297.5,0.56,300.0,0.35,-0.2575000000000001,-1.226190476190477
SQ,60.02,0.54,+21.95%,2.46,62.54,0.7340000000000001,2023-06-02,62.0,0.8,65.0,0.26,-0.2579999999999996,-0.47777777777777714
META,258.21,0.44,+4.60%,9.56,275.44,0.93,2023-06-02,275.0,0.59,285.0,0.15,-0.2599999999999995,-0.5909090909090899
GOOG,125.16,0.25,+5.26%,4.75,131.25,0.898,2023-06-02,131.0,0.35,136.0,0.1,-0.2599999999999999,-1.0399999999999998
AMZN,120.57,0.44,+9.65%,4.56,126.44,0.86,2023-06-02,126.0,0.63,131.0,0.19,-0.2599999999999999,-0.5909090909090909
GOOGL,124.38,0.92,+29.87%,3.08,126.92,0.705,2023-06-02,126.0,1.3,130.0,0.38,-0.2600000000000002,-0.2826086956521741
FSLR,200.78,0.3,+6.38%,4.7,215.3,0.887,2023-06-02,215.0,0.61,220.0,0.31,-0.265,-0.8833333333333333
TSLA,191.96,3.61,+40.61%,8.89,198.61,0.69,2023-06-02,195.0,5.1,207.5,1.49,-0.2650000000000005,-0.07340720221606674
NVDA,386.44,0.77,+5.41%,14.23,425.77,0.931,2023-06-02,425.0,1.83,440.0,1.06,-0.2650000000000009,-0.3441558441558432
GME,23.26,0.29,+23.97%,1.21,23.79,0.629,2023-06-02,23.5,0.61,25.0,0.32,-0.2664999999999999,-0.9189655172413794
TSLA,191.96,1.22,+13.90%,8.78,206.22,0.851,2023-06-02,205.0,1.91,215.0,0.69,-0.2700000000000002,-0.22131147540983626
GME,23.26,0.13,+6.95%,1.87,24.63,0.799,2023-06-02,24.5,0.35,26.5,0.22,-0.2719999999999999,-2.0923076923076915
RBLX,40.07,0.34,+12.78%,2.66,42.34,0.7959999999999999,2023-06-02,42.0,0.43,45.0,0.09,-0.2720000000000002,-0.8000000000000007
XOM,105.26,0.38,+14.50%,2.62,108.38,0.782,2023-06-02,108.0,0.5,111.0,0.12,-0.2739999999999999,-0.7210526315789473
GOOGL,124.38,0.27,+5.71%,4.73,130.27,0.8909999999999999,2023-06-02,130.0,0.37,135.0,0.1,-0.2750000000000006,-1.0185185185185204
JD,33.3,0.33,+19.76%,1.67,34.33,0.6970000000000001,2023-06-02,34.0,0.44,36.0,0.11,-0.2759999999999998,-0.8363636363636358
