Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
GOOGL,127.92,0.41,+69.49%,0.59,128.41,56.9%,2023-06-09,128,1.13,129,0.72
AMD,123.43,0.41,+69.49%,0.59,124.41,57.4%,2023-06-09,124,2.1,125,1.69
AMZN,126.62,0.4,+66.67%,0.6,127.4,59.2%,2023-06-09,127,1.28,128,0.88
SNOW,182.28,0.98,+64.47%,1.52,183.48,55.7%,2023-06-09,182.5,3.55,185,2.57
PYPL,64.97,0.39,+63.93%,0.61,65.39,56.4%,2023-06-09,65,1.1,66,0.71
XOM,105.77,0.39,+63.93%,0.61,106.39,59.8%,2023-06-09,106,0.93,107,0.54
SCHW,54.33,0.19,+61.29%,0.31,54.69,59.5%,2023-06-09,54.5,0.54,55,0.35
AMD,123.43,0.76,+61.29%,1.24,124.76,60.0%,2023-06-09,124,2.1,126,1.34
CCJ,30.47,0.19,+61.29%,0.31,30.69,57.5%,2023-06-09,30.5,0.49,31,0.3
RIVN,14.48,0.19,+61.29%,0.31,14.69,58.7%,2023-06-09,14.5,0.42,15,0.23
AI,37.88,0.75,+60.00%,1.25,38.75,57.8%,2023-06-09,38,1.95,40,1.2
SQ,65.85,0.37,+58.73%,0.63,66.37,56.9%,2023-06-09,66,1.2,67,0.83
BABA,86.86,0.37,+58.73%,0.63,87.37,56.1%,2023-06-09,87,1.35,88,0.98
UAL,48.86,0.18,+56.25%,0.32,49.18,58.3%,2023-06-09,49,0.55,49.5,0.37
SHOP,63.71,0.36,+56.25%,0.64,64.36,58.1%,2023-06-09,64,1.21,65,0.85
NVDA,386.64,0.9,+56.25%,1.6,390.9,61.6%,2023-06-09,390,5,392.5,4.1
TTD,74.82,0.36,+56.25%,0.64,75.36,56.9%,2023-06-09,75,1.19,76,0.83
AFRM,15.94,0.18,+56.25%,0.32,16.18,56.4%,2023-06-09,16,0.6,16.5,0.42
PLTR,15.4,0.18,+56.25%,0.32,15.68,60.8%,2023-06-09,15.5,0.43,16,0.25
TSM,99.76,0.36,+56.25%,0.64,100.36,58.6%,2023-06-09,100,1.07,101,0.71
SNOW,182.28,1.79,+55.76%,3.21,184.29,59.4%,2023-06-09,182.5,3.55,187.5,1.76
DOCU,58.99,0.71,+55.04%,1.29,60.71,56.8%,2023-06-09,60,3.55,62,2.84
DOCU,58.99,2.11,+54.24%,3.89,61.11,58.3%,2023-06-09,59,4,65,1.89
AMZN,126.62,0.7,+53.85%,1.3,127.7,62.6%,2023-06-09,127,1.28,129,0.58
AI,37.88,0.35,+53.85%,0.65,38.35,54.2%,2023-06-09,38,1.95,39,1.6
AMD,123.43,1.04,+53.06%,1.96,125.04,62.0%,2023-06-09,124,2.1,127,1.06
TGT,132.49,0.69,+52.67%,1.31,133.69,62.9%,2023-06-09,133,1.27,135,0.58
GOOGL,127.92,0.69,+52.67%,1.31,128.69,60.7%,2023-06-09,128,1.13,130,0.44
GOOG,128.45,0.34,+51.52%,0.66,129.34,62.4%,2023-06-09,129,0.91,130,0.57
RBLX,41.33,0.17,+51.52%,0.33,41.67,56.6%,2023-06-09,41.5,0.75,42,0.58
AMD,123.43,0.34,+51.52%,0.66,125.34,64.1%,2023-06-09,125,1.68,126,1.34
MARA,9.98,0.17,+51.52%,0.33,10.17,57.7%,2023-06-09,10,0.41,10.5,0.24
UPST,30.59,0.34,+51.52%,0.66,31.34,59.1%,2023-06-09,31,1.39,32,1.05
