Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
AMZN,129.21,0.46,+85.19%,0.54,129.46,56.2%,2023-06-30,129,1.72,130,1.26,weekly
SHOP,64.26,0.45,+81.82%,0.55,64.45,57.6%,2023-06-30,64,1.3,65,0.85,weekly
TSM,102.28,0.44,+78.57%,0.56,102.44,58.2%,2023-06-30,102,1.24,103,0.8,weekly
BA,207.98,1.09,+77.31%,1.41,208.59,58.3%,2023-06-30,207.5,2.66,210,1.57,weekly
MU,66.33,0.43,+75.44%,0.57,66.43,53.1%,2023-06-30,66,2.38,67,1.95,weekly
MU,66.33,0.82,+69.49%,1.18,66.82,56.0%,2023-06-30,66,2.38,68,1.56,weekly
AMZN,129.21,0.82,+69.49%,1.18,129.82,59.8%,2023-06-30,129,1.72,131,0.9,weekly
ABNB,126.73,0.4,+66.67%,0.6,127.4,57.4%,2023-06-30,127,1.7,128,1.3,weekly
RCL,101.25,0.4,+66.67%,0.6,101.4,58.5%,2023-06-30,101,1.39,102,0.99,weekly
MU,66.33,0.2,+66.67%,0.3,66.2,51.5%,2023-06-30,66,2.38,66.5,2.18,weekly
META,286.85,1,+66.67%,1.5,288.5,59.1%,2023-06-30,287.5,3.7,290,2.7,weekly
RIVN,13.63,0.2,+66.67%,0.3,13.7,60.3%,2023-06-30,13.5,0.46,14,0.26,weekly
NKE,113.93,1.18,+64.84%,1.82,115.18,56.3%,2023-06-30,114,3.85,117,2.67,weekly
ROKU,63.89,0.39,+63.93%,0.61,64.39,59.2%,2023-06-30,64,1.35,65,0.96,weekly
QCOM,118.8,0.39,+63.93%,0.61,119.39,58.9%,2023-06-30,119,1.25,120,0.86,weekly
NKE,113.93,1.55,+63.27%,2.45,115.55,57.7%,2023-06-30,114,3.85,118,2.3,weekly
SHOP,64.26,0.77,+62.60%,1.23,64.77,62.0%,2023-06-30,64,1.3,66,0.53,weekly
MU,66.33,1.15,+62.16%,1.85,67.15,58.3%,2023-06-30,66,2.38,69,1.23,weekly
BTU,21.05,0.19,+61.29%,0.31,21.19,59.0%,2023-06-30,21,0.35,21.5,0.16,weekly
NFLX,419.21,0.95,+61.29%,1.55,420.95,58.2%,2023-06-30,420,5.35,422.5,4.4,weekly
CAT,240.08,0.95,+61.29%,1.55,240.95,57.3%,2023-06-30,240,2.21,242.5,1.26,weekly
TSM,102.28,0.76,+61.29%,1.24,102.76,62.9%,2023-06-30,102,1.24,104,0.48,weekly
HAL,32.04,0.19,+61.29%,0.31,32.19,57.0%,2023-06-30,32,0.47,32.5,0.28,weekly
WFC,41.01,0.19,+61.29%,0.31,41.19,57.0%,2023-06-30,41,0.47,41.5,0.28,weekly
NFLX,419.21,1.9,+61.29%,3.1,421.9,60.9%,2023-06-30,420,5.35,425,3.45,weekly
MRNA,119.97,0.75,+60.00%,1.25,120.75,58.6%,2023-06-30,120,1.83,122,1.08,weekly
SQ,63.81,0.37,+58.73%,0.63,64.37,62.0%,2023-06-30,64,0.95,65,0.58,weekly
XOM,103.78,0.37,+58.73%,0.63,104.37,60.8%,2023-06-30,104,0.85,105,0.48,weekly
ADBE,489.4,1.85,+58.73%,3.15,491.85,58.3%,2023-06-30,490,6.1,495,4.25,weekly
MU,66.33,0.37,+58.73%,0.63,67.37,59.9%,2023-06-30,67,1.93,68,1.56,weekly
NKE,113.93,1.84,+58.23%,3.16,115.84,58.9%,2023-06-30,114,3.85,119,2.01,weekly
NKE,113.93,1.1,+57.89%,1.9,116.1,59.9%,2023-06-30,115,3.4,118,2.3,weekly
NKE,113.93,0.73,+57.48%,1.27,115.73,58.4%,2023-06-30,115,3.4,117,2.67,weekly
COIN,67.46,0.73,+57.48%,1.27,67.73,56.0%,2023-06-30,67,2.29,69,1.56,weekly
AMZN,129.21,1.09,+57.07%,1.91,130.09,62.5%,2023-06-30,129,1.72,132,0.63,weekly
BA,207.98,1.81,+56.74%,3.19,209.31,63.0%,2023-06-30,207.5,2.66,212.5,0.85,weekly
META,286.85,1.8,+56.25%,3.2,289.3,62.2%,2023-06-30,287.5,3.7,292.5,1.9,weekly
JPM,139.52,0.36,+56.25%,0.64,140.36,62.1%,2023-06-30,140,0.94,141,0.58,weekly
U,41.87,0.36,+56.25%,0.64,42.36,60.4%,2023-06-30,42,1.16,43,0.8,weekly
MARA,13.11,0.18,+56.25%,0.32,13.18,55.0%,2023-06-30,13,0.71,13.5,0.53,weekly
PLTR,14.53,0.18,+56.25%,0.32,14.68,58.5%,2023-06-30,14.5,0.39,15,0.21,weekly
INTC,33.94,0.18,+56.25%,0.32,34.18,61.6%,2023-06-30,34,0.48,34.5,0.3,weekly
MU,66.33,1.43,+55.64%,2.57,67.43,60.3%,2023-06-30,66,2.38,70,0.95,weekly
COIN,67.46,1.07,+55.44%,1.93,68.07,58.4%,2023-06-30,67,2.29,70,1.22,weekly
NFLX,419.21,2.67,+55.28%,4.83,422.67,62.9%,2023-06-30,420,5.35,427.5,2.68,weekly
ROKU,63.89,0.71,+55.04%,1.29,64.71,62.9%,2023-06-30,64,1.35,66,0.64,weekly
NKE,113.93,2.13,+55.04%,3.87,116.13,60.0%,2023-06-30,114,3.85,120,1.72,weekly
MSFT,333.26,0.88,+54.32%,1.62,335.88,67.1%,2023-06-30,335,2.3,337.5,1.42,weekly
CVNA,23.29,0.35,+53.85%,0.65,23.35,56.3%,2023-06-30,23,1.3,24,0.95,weekly
AMZN,129.21,0.35,+53.85%,0.65,130.35,65.0%,2023-06-30,130,1.25,131,0.9,weekly
NKE,113.93,0.35,+53.85%,0.65,115.35,56.9%,2023-06-30,115,3.4,116,3.05,weekly
QCOM,118.8,0.7,+53.85%,1.3,119.7,62.5%,2023-06-30,119,1.25,121,0.55,weekly
MU,66.33,0.7,+53.85%,1.3,67.7,62.1%,2023-06-30,67,1.93,69,1.23,weekly
NKE,113.93,0.7,+53.85%,1.3,116.7,62.2%,2023-06-30,116,3,118,2.3,weekly
RBLX,41.4,0.35,+53.85%,0.65,41.85,58.2%,2023-06-30,41.5,0.96,42.5,0.61,weekly
AI,33.29,0.35,+53.85%,0.65,33.35,55.0%,2023-06-30,33,1.35,34,1,weekly
ORCL,118.03,0.35,+53.85%,0.65,118.35,55.9%,2023-06-30,118,1.06,119,0.71,weekly
NKE,113.93,1.39,+53.26%,2.61,116.39,61.0%,2023-06-30,115,3.4,119,2.01,weekly
