Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
MU,62.54,0.37,+58.73%,0.63,63.37,0.585,2023-04-28,63.0,1.33,64.0,0.96,weekly,-4.500000000000004,-0.12162162162162166
GOOGL,105.97,0.74,+58.73%,1.26,106.74,0.594,2023-04-21,106.0,1.3,108.0,0.56,monthly,-7.20000000000001,-0.09729729729729733
TSM,87.99,1.11,+58.73%,1.89,89.11,0.5820000000000001,2023-04-21,88.0,2.1,91.0,0.99,monthly,-14.399999999999965,-0.12972972972972932
TSLA,187.04,2.75,+57.89%,4.75,192.75,0.6,2023-04-28,190.0,7.5,197.5,4.75,weekly,-25.0,-0.0909090909090909
NVDA,270.02,2.75,+57.89%,4.75,275.25,0.611,2023-04-28,272.5,6.25,280.0,3.5,weekly,-16.75,-0.060909090909090885
META,218.86,5.45,+57.07%,9.55,225.45,0.599,2023-04-28,220.0,9.9,235.0,4.45,weekly,-56.50000000000006,-0.10366972477064232
TSLA,187.04,1.8,+56.25%,3.2,191.8,0.606,2023-04-21,190.0,5.6,195.0,3.8,monthly,-17.000000000000014,-0.0944444444444445
BP,40.43,0.18,+56.25%,0.32,40.68,0.603,2023-04-21,40.5,0.35,41.0,0.17,monthly,-1.8500000000000012,-0.10277777777777786
DIS,100.3,0.72,+56.25%,1.28,101.72,0.624,2023-04-28,101.0,1.51,103.0,0.79,weekly,-3.200000000000003,-0.04444444444444448
PINS,28.62,0.18,+56.25%,0.32,29.18,0.5589999999999999,2023-04-28,29.0,1.31,29.5,1.13,weekly,-4.0500000000000025,-0.22500000000000014
HPQ,30.93,0.18,+56.25%,0.32,31.18,0.618,2023-04-21,31.0,0.3,31.5,0.12,monthly,-1.0999999999999996,-0.06111111111111109
AMZN,102.74,0.72,+56.25%,1.28,103.72,0.615,2023-04-21,103.0,1.23,105.0,0.51,monthly,-5.0,-0.06944444444444445
AMZN,102.74,1.44,+56.25%,2.56,105.44,0.606,2023-04-28,104.0,3.4,108.0,1.96,weekly,-13.600000000000009,-0.0944444444444445
MMM,106.78,0.36,+56.25%,0.64,107.36,0.589,2023-04-21,107.0,0.9,108.0,0.54,monthly,-5.100000000000001,-0.14166666666666672
TSLA,187.04,0.9,+56.25%,1.6,190.9,0.586,2023-04-21,190.0,5.6,192.5,4.7,monthly,-13.500000000000014,-0.15000000000000005
TSLA,187.04,0.6,+56.07%,1.07,190.6,0.58,2023-04-21,190.0,5.6,191.67,5.0,monthly,-10.140000000000008,-0.16900000000000015
GS,339.68,3.56,+55.28%,6.44,343.56,0.602,2023-04-21,340.0,5.8,350.0,2.24,monthly,-42.00000000000003,-0.11797752808988778
AMZN,102.74,2.49,+55.21%,4.51,105.49,0.608,2023-04-28,103.0,3.9,110.0,1.41,weekly,-25.399999999999977,-0.10200803212851396
NFLX,332.72,3.55,+55.04%,6.45,343.55,0.602,2023-04-28,340.0,13.15,350.0,9.6,weekly,-43.00000000000006,-0.12112676056338036
GOOGL,105.97,1.41,+54.44%,2.59,108.41,0.609,2023-04-28,107.0,3.0,111.0,1.59,weekly,-15.400000000000006,-0.10921985815602837
TSLA,187.04,4.4,+54.32%,8.1,191.9,0.608,2023-04-21,187.5,6.8,200.0,2.4,monthly,-50.0,-0.11363636363636362
V,233.48,1.76,+54.32%,3.24,236.76,0.617,2023-04-28,235.0,3.65,240.0,1.89,weekly,-15.5,-0.0880681818181819
UAL,42.38,0.7,+53.85%,1.3,43.2,0.607,2023-04-21,42.5,1.15,44.5,0.45,monthly,-8.600000000000001,-0.1228571428571429
