Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
TDOC,25.77,0.13,+35.14%,0.37,28.13,0.7070000000000001,2023-04-28,28.0,0.85,28.5,0.72,weekly,-1.6499999999999968,-0.12692307692307656
UBER,29.68,0.13,+35.14%,0.37,31.63,0.703,2023-05-05,31.5,0.7,32.0,0.57,weekly,-1.8500000000000012,-0.1423076923076924
UBER,29.68,0.2,+66.67%,0.3,30.2,0.5579999999999999,2023-05-05,30.0,1.27,30.5,1.07,weekly,-2.100000000000003,-0.10500000000000008
UBER,29.68,0.08,+19.05%,0.42,32.58,0.782,2023-05-05,32.5,0.45,33.0,0.37,weekly,-2.8999999999999986,-0.3624999999999997
SHOP,46.37,0.15,+42.86%,0.35,47.15,0.637,2023-04-28,47.0,0.59,47.5,0.44,weekly,-3.1500000000000004,-0.2099999999999999
UBER,29.68,0.14,+38.89%,0.36,31.14,0.6559999999999999,2023-05-05,31.0,0.86,31.5,0.72,weekly,-3.2000000000000046,-0.22857142857142873
MPW,7.93,0.11,+28.21%,0.39,8.61,0.711,2023-05-05,8.5,0.22,9.0,0.11,weekly,-3.450000000000001,-0.3136363636363638
MU,61.02,0.33,+49.25%,0.67,62.33,0.635,2023-05-05,62.0,1.07,63.0,0.74,weekly,-3.4999999999999964,-0.10606060606060604
AMD,85.94,0.21,+26.58%,0.79,92.21,0.755,2023-05-05,92.0,1.3,93.0,1.09,weekly,-3.5,-0.16666666666666674
DAL,32.75,0.17,+51.52%,0.33,33.17,0.588,2023-05-05,33.0,0.63,33.5,0.46,weekly,-3.600000000000003,-0.21176470588235302
INTC,29.05,0.13,+35.14%,0.37,30.13,0.667,2023-04-28,30.0,0.58,30.5,0.45,weekly,-3.649999999999997,-0.28076923076923055
PCG,16.94,0.16,+47.06%,0.34,17.16,0.604,2023-05-05,17.0,0.29,17.5,0.13,weekly,-3.8000000000000007,-0.2375000000000001
JD,34.23,0.15,+42.86%,0.35,34.65,0.623,2023-04-28,34.5,0.38,35.0,0.23,weekly,-3.85,-0.2566666666666666
UBER,29.68,0.09,+21.95%,0.41,32.09,0.743,2023-05-05,32.0,0.56,32.5,0.47,weekly,-3.850000000000001,-0.42777777777777776
UBER,29.68,0.29,+40.85%,0.71,31.29,0.6709999999999999,2023-05-05,31.0,0.86,32.0,0.57,weekly,-3.900000000000009,-0.13448275862068987
DVN,52.2,0.32,+47.06%,0.68,53.32,0.64,2023-05-05,53.0,0.88,54.0,0.56,weekly,-4.0,-0.12499999999999992
CHPT,8.54,0.1,+25.00%,0.4,9.1,0.72,2023-05-05,9.0,0.18,9.5,0.08,weekly,-4.000000000000002,-0.40000000000000013
DKNG,20.41,0.1,+25.00%,0.4,22.1,0.7170000000000001,2023-05-05,22.0,0.52,22.5,0.42,weekly,-4.149999999999996,-0.4149999999999996
SHOP,46.37,0.07,+16.28%,0.43,48.07,0.775,2023-04-28,48.0,0.29,48.5,0.22,weekly,-4.249999999999998,-0.6071428571428568
NLY,19.06,0.1,+25.00%,0.4,19.6,0.715,2023-04-28,19.5,0.19,20.0,0.09,weekly,-4.250000000000003,-0.42500000000000016
DIS,96.61,0.17,+20.48%,0.83,100.17,0.7859999999999999,2023-05-05,100.0,0.55,101.0,0.38,weekly,-4.400000000000009,-0.25882352941176506
PFE,38.63,0.08,+19.05%,0.42,40.08,0.75,2023-05-05,40.0,0.31,40.5,0.23,weekly,-4.5,-0.5624999999999999
VZ,36.92,0.1,+25.00%,0.4,37.6,0.71,2023-05-05,37.5,0.23,38.0,0.13,weekly,-4.500000000000002,-0.4500000000000002
CCJ,26.24,0.11,+28.21%,0.39,27.11,0.6890000000000001,2023-04-28,27.0,0.4,27.5,0.29,weekly,-4.549999999999997,-0.41363636363636336
PLUG,8.47,0.1,+25.00%,0.4,9.1,0.7070000000000001,2023-05-05,9.0,0.22,9.5,0.12,weekly,-4.649999999999997,-0.46499999999999964
AAL,12.74,0.07,+16.28%,0.43,13.57,0.765,2023-05-05,13.5,0.17,14.0,0.1,weekly,-4.749999999999998,-0.6785714285714284
SNAP,9.88,0.14,+38.89%,0.36,10.64,0.625,2023-04-28,10.5,0.68,11.0,0.54,weekly,-4.749999999999998,-0.3392857142857142
MU,61.02,0.16,+19.05%,0.84,64.16,0.792,2023-05-05,64.0,0.46,65.0,0.3,weekly,-4.799999999999997,-0.29999999999999966
MO,46.69,0.13,+35.14%,0.37,47.13,0.643,2023-04-28,47.0,0.31,47.5,0.18,weekly,-4.85,-0.373076923076923
AFRM,9.84,0.11,+28.21%,0.39,10.61,0.6809999999999999,2023-05-05,10.5,0.36,11.0,0.25,weekly,-4.950000000000003,-0.4500000000000003
GOLD,18.99,0.1,+25.00%,0.4,19.6,0.7,2023-05-05,19.5,0.25,20.0,0.15,weekly,-5.000000000000002,-0.5000000000000002
COIN,53.89,0.33,+49.25%,0.67,55.33,0.619,2023-04-28,55.0,1.3,56.0,0.97,weekly,-5.100000000000001,-0.15454545454545457
CMCSA,36.52,0.1,+25.00%,0.4,37.6,0.6970000000000001,2023-04-28,37.5,0.42,38.0,0.32,weekly,-5.149999999999997,-0.5149999999999997
JD,34.23,0.08,+19.05%,0.42,35.08,0.736,2023-04-28,35.0,0.22,35.5,0.14,weekly,-5.200000000000001,-0.6499999999999999
XOM,115.45,0.26,+35.14%,0.74,117.26,0.688,2023-04-28,117.0,0.76,118.0,0.5,weekly,-5.200000000000006,-0.20000000000000015
UBER,29.68,0.16,+19.05%,0.84,32.66,0.7879999999999999,2023-05-05,32.5,0.45,33.5,0.29,weekly,-5.200000000000008,-0.3250000000000004
MARA,9.46,0.08,+19.05%,0.42,10.08,0.735,2023-04-28,10.0,0.21,10.5,0.13,weekly,-5.250000000000001,-0.6562499999999999
INTC,29.05,0.07,+16.28%,0.43,31.07,0.754,2023-05-05,31.0,0.39,31.5,0.32,weekly,-5.299999999999999,-0.757142857142857
AAL,12.74,0.11,+28.21%,0.39,13.11,0.672,2023-04-28,13.0,0.21,13.5,0.1,weekly,-5.399999999999998,-0.49090909090909074
AMD,85.94,0.16,+19.05%,0.84,93.16,0.7859999999999999,2023-05-05,93.0,1.06,94.0,0.9,weekly,-5.400000000000008,-0.33750000000000036
WFC,39.46,0.09,+21.95%,0.41,40.09,0.7090000000000001,2023-04-28,40.0,0.19,40.5,0.1,weekly,-5.549999999999997,-0.6166666666666663
SOFI,5.67,0.11,+28.21%,0.39,6.11,0.669,2023-05-05,6.0,0.26,6.5,0.15,weekly,-5.549999999999999,-0.5045454545454543
RIVN,12.04,0.07,+16.28%,0.43,13.07,0.748,2023-05-05,13.0,0.24,13.5,0.17,weekly,-5.6,-0.7999999999999999
LYFT,10.05,0.14,+38.89%,0.36,10.64,0.607,2023-05-05,10.5,0.65,11.0,0.51,weekly,-5.649999999999999,-0.4035714285714285
LUV,30.9,0.07,+16.28%,0.43,32.07,0.747,2023-04-28,32.0,0.26,32.5,0.19,weekly,-5.649999999999999,-0.807142857142857
CSCO,46.54,0.07,+16.28%,0.43,47.57,0.746,2023-05-05,47.5,0.21,48.0,0.14,weekly,-5.7,-0.8142857142857142
UBER,29.68,0.23,+29.87%,0.77,31.73,0.7120000000000001,2023-05-05,31.5,0.7,32.5,0.47,weekly,-5.799999999999994,-0.25217391304347797
PYPL,72.06,0.18,+21.95%,0.82,75.18,0.762,2023-05-05,75.0,0.61,76.0,0.43,weekly,-5.799999999999997,-0.32222222222222213
PINS,26.61,0.11,+28.21%,0.39,28.11,0.6629999999999999,2023-04-28,28.0,0.78,28.5,0.67,weekly,-5.850000000000003,-0.5318181818181822
INTC,29.05,0.32,+47.06%,0.68,29.82,0.621,2023-04-28,29.5,0.77,30.5,0.45,weekly,-5.899999999999999,-0.18437500000000007
LYFT,10.05,0.1,+25.00%,0.4,11.1,0.682,2023-05-05,11.0,0.48,11.5,0.38,weekly,-5.899999999999999,-0.5899999999999997
IBM,125.85,0.33,+49.25%,0.67,126.33,0.611,2023-04-28,126.0,0.6,127.0,0.27,weekly,-5.900000000000002,-0.17878787878787883
UBER,29.68,0.19,+23.46%,0.81,32.19,0.7509999999999999,2023-05-05,32.0,0.56,33.0,0.37,weekly,-5.900000000000009,-0.31052631578947437
MPW,7.93,0.07,+16.28%,0.43,8.57,0.74,2023-04-28,8.5,0.14,9.0,0.07,weekly,-5.999999999999999,-0.8571428571428571
AAPL,163.76,0.75,+42.86%,1.75,168.25,0.6759999999999999,2023-05-05,167.5,2.12,170.0,1.37,weekly,-6.000000000000014,-0.08000000000000032
NCLH,12.46,0.13,+35.14%,0.37,12.63,0.618,2023-04-28,12.5,0.19,13.0,0.06,weekly,-6.1,-0.46923076923076923
PLTR,7.74,0.09,+21.95%,0.41,8.09,0.698,2023-05-05,8.0,0.16,8.5,0.07,weekly,-6.100000000000001,-0.677777777777778
XOM,115.45,0.64,+47.06%,1.36,117.64,0.649,2023-05-05,117.0,1.56,119.0,0.92,weekly,-6.199999999999996,-0.09687499999999989
MRVL,38.08,0.12,+31.58%,0.38,38.62,0.636,2023-04-28,38.5,0.41,39.0,0.29,weekly,-6.199999999999999,-0.5166666666666667
PFE,38.63,0.24,+31.58%,0.76,39.74,0.698,2023-05-05,39.5,0.47,40.5,0.23,weekly,-6.200000000000006,-0.2583333333333335
NVDA,269.56,1.02,+68.92%,1.48,271.02,0.5670000000000001,2023-04-28,270.0,3.25,272.5,2.23,weekly,-6.249999999999986,-0.06127450980392138
MU,61.02,0.22,+28.21%,0.78,63.22,0.7170000000000001,2023-05-05,63.0,0.71,64.0,0.49,weekly,-6.299999999999994,-0.28636363636363604
XOM,115.45,0.25,+33.33%,0.75,118.25,0.687,2023-05-05,118.0,1.17,119.0,0.92,weekly,-6.299999999999994,-0.25199999999999984
M,16.25,0.09,+21.95%,0.41,16.59,0.6940000000000001,2023-04-28,16.5,0.15,17.0,0.06,weekly,-6.299999999999997,-0.6999999999999996
CVS,72.26,0.21,+26.58%,0.79,75.21,0.727,2023-05-05,75.0,0.78,76.0,0.57,weekly,-6.300000000000001,-0.30000000000000016
CCJ,26.24,0.14,+38.89%,0.36,26.64,0.59,2023-04-28,26.5,0.57,27.0,0.43,weekly,-6.500000000000002,-0.4642857142857142
PTON,8.6,0.13,+35.14%,0.37,9.13,0.609,2023-05-05,9.0,0.55,9.5,0.42,weekly,-6.550000000000001,-0.5038461538461538
RIOT,10.91,0.14,+38.89%,0.36,11.14,0.589,2023-04-28,11.0,0.36,11.5,0.22,weekly,-6.550000000000001,-0.46785714285714286
LI,22.43,0.07,+16.28%,0.43,23.07,0.728,2023-04-28,23.0,0.17,23.5,0.1,weekly,-6.600000000000001,-0.9428571428571428
INTC,29.05,0.19,+23.46%,0.81,30.69,0.742,2023-04-28,30.5,0.44,31.5,0.25,weekly,-6.800000000000001,-0.35789473684210543
