Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
MSFT,325.85,0.01,+0.40%,2.49,340.01,0.996,2023-05-26,340.0,0.07,342.5,0.06,-1.0408340855860844e-17,-1.0798653637955626e-15
BABA,79.01,0.02,+2.04%,0.98,84.02,0.975,2023-05-26,84.0,0.08,85.0,0.06,-0.005,-0.25000000000000094
MSFT,325.85,0.03,+1.21%,2.47,337.53,0.985,2023-05-26,337.5,0.11,340.0,0.08,-0.0075,-0.2500000000000013
DIS,88.22,0.02,+2.04%,0.98,95.02,0.964,2023-06-02,95.0,0.1,96.0,0.08,-0.0159999999999999,-0.8000000000000014
AMZN,114.88,0.03,+3.09%,0.97,124.03,0.949,2023-06-02,124.0,0.16,125.0,0.13,-0.0209999999999999,-0.7000000000000014
AMZN,114.88,0.05,+5.26%,0.95,123.05,0.929,2023-06-02,123.0,0.22,124.0,0.17,-0.0209999999999999,-0.41999999999999893
ORCL,103.37,0.37,+58.73%,0.63,104.37,0.609,2023-06-02,104.0,1.14,105.0,0.77,-0.021,-0.05675675675675674
PFE,37.99,0.02,+4.17%,0.48,40.02,0.914,2023-06-02,40.0,0.08,40.5,0.06,-0.0229999999999999,-1.149999999999999
M,14.23,0.19,+61.29%,0.31,14.69,0.574,2023-06-02,14.5,0.88,15.0,0.69,-0.023,-0.1210526315789475
INTC,27.38,0.03,+6.38%,0.47,29.53,0.8909999999999999,2023-06-02,29.5,0.09,30.0,0.06,-0.0245,-0.8166666666666684
TGT,139.41,0.02,+2.04%,0.98,145.02,0.955,2023-05-26,145.0,0.08,146.0,0.06,-0.025,-1.2500000000000018
MSFT,325.85,0.05,+1.01%,4.95,337.55,0.985,2023-05-26,337.5,0.11,342.5,0.06,-0.025,-0.5000000000000013
AMZN,114.88,0.07,+7.53%,0.93,122.07,0.903,2023-06-02,122.0,0.3,123.0,0.23,-0.0269999999999999,-0.3857142857142854
UPST,24.07,0.03,+6.38%,0.47,26.53,0.885,2023-05-26,26.5,0.15,27.0,0.12,-0.0274999999999999,-0.9166666666666666
NFLX,362.85,0.01,+0.40%,2.49,382.51,0.985,2023-05-26,382.5,0.09,385.0,0.08,-0.0275,-2.750000000000004
M,14.23,0.12,+31.58%,0.38,15.62,0.701,2023-06-02,15.5,0.52,16.0,0.4,-0.0295,-0.24583333333333357
M,14.23,0.15,+42.86%,0.35,15.15,0.64,2023-06-02,15.0,0.68,15.5,0.53,-0.03,-0.19999999999999993
JPM,135.86,0.01,+1.01%,0.99,144.01,0.96,2023-06-02,144.0,0.08,145.0,0.07,-0.03,-3.000000000000003
AMZN,114.88,0.04,+2.04%,1.96,125.04,0.965,2023-06-02,125.0,0.12,127.0,0.08,-0.03,-0.7500000000000014
PYPL,59.62,0.02,+2.04%,0.98,65.02,0.949,2023-06-02,65.0,0.12,66.0,0.1,-0.0309999999999999,-1.550000000000002
COIN,57.04,0.03,+3.09%,0.97,62.03,0.939,2023-05-26,62.0,0.1,63.0,0.07,-0.0309999999999999,-1.033333333333335
GPS,7.44,0.18,+56.25%,0.32,7.68,0.575,2023-05-26,7.5,0.49,8.0,0.31,-0.0325,-0.18055555555555566
AAL,14.3,0.14,+38.89%,0.36,14.64,0.654,2023-06-02,14.5,0.25,15.0,0.11,-0.0329999999999999,-0.2357142857142854
GME,23.37,0.01,+2.04%,0.49,24.51,0.913,2023-05-26,24.5,0.07,25.0,0.06,-0.0335,-3.349999999999998
PFE,37.99,0.19,+61.29%,0.31,38.19,0.552,2023-06-02,38.0,0.55,38.5,0.36,-0.0339999999999999,-0.17894736842105255
GM,32.43,0.19,+61.29%,0.31,32.69,0.55,2023-06-02,32.5,0.55,33.0,0.36,-0.0349999999999999,-0.1842105263157893
NFLX,362.85,0.04,+1.63%,2.46,380.04,0.97,2023-05-26,380.0,0.14,382.5,0.1,-0.035,-0.8750000000000014
BABA,79.01,0.07,+7.53%,0.93,86.07,0.894,2023-06-02,86.0,0.41,87.0,0.34,-0.0359999999999999,-0.5142857142857139
AMZN,114.88,0.29,+40.85%,0.71,117.29,0.674,2023-06-02,117.0,1.25,118.0,0.96,-0.0359999999999999,-0.12413793103448259
JD,32.44,0.04,+8.70%,0.46,35.04,0.848,2023-06-02,35.0,0.22,35.5,0.18,-0.036,-0.9000000000000005
GPS,7.44,0.12,+31.58%,0.38,8.12,0.685,2023-05-26,8.0,0.3,8.5,0.18,-0.0374999999999999,-0.31249999999999983
WFC,41.12,0.07,+16.28%,0.43,42.57,0.782,2023-06-02,42.5,0.2,43.0,0.13,-0.0389999999999999,-0.5571428571428568
AMZN,114.88,0.13,+14.94%,0.87,120.13,0.831,2023-06-02,120.0,0.54,121.0,0.41,-0.039,-0.3000000000000002
WFC,41.12,0.11,+28.21%,0.39,42.11,0.701,2023-06-02,42.0,0.32,42.5,0.21,-0.0395,-0.3590909090909093
CVX,154.86,1.03,+70.07%,1.47,156.03,0.5720000000000001,2023-06-02,155.0,2.28,157.5,1.25,-0.0399999999999998,-0.03883495145631048
AMZN,114.88,0.09,+9.89%,0.91,121.09,0.87,2023-06-02,121.0,0.4,122.0,0.31,-0.04,-0.4444444444444446
PINS,23.69,0.1,+25.00%,0.4,24.6,0.7190000000000001,2023-06-02,24.5,0.27,25.0,0.17,-0.0404999999999999,-0.4049999999999996
JPM,135.86,0.02,+2.04%,0.98,143.02,0.939,2023-06-02,143.0,0.11,144.0,0.09,-0.0409999999999999,-2.0500000000000025
DIS,88.22,0.02,+2.04%,0.98,94.02,0.939,2023-06-02,94.0,0.13,95.0,0.11,-0.0409999999999999,-2.0500000000000025
MRO,23.28,0.1,+25.00%,0.4,24.1,0.718,2023-06-02,24.0,0.24,24.5,0.14,-0.041,-0.41000000000000014
XOM,106.01,0.34,+51.52%,0.66,107.34,0.618,2023-06-02,107.0,1.2,108.0,0.86,-0.042,-0.12352941176470593
MU,69.25,0.03,+3.09%,0.97,72.03,0.928,2023-05-26,72.0,0.09,73.0,0.06,-0.042,-1.3999999999999984
AMZN,114.88,0.04,+4.17%,0.96,118.04,0.918,2023-05-26,118.0,0.11,119.0,0.07,-0.042,-1.0499999999999987
KSS,20.01,0.04,+8.70%,0.46,21.04,0.833,2023-05-26,21.0,0.12,21.5,0.08,-0.0435,-1.0875000000000004
UPST,24.07,0.04,+8.70%,0.46,26.04,0.8320000000000001,2023-05-26,26.0,0.21,26.5,0.17,-0.0439999999999999,-1.0999999999999992
DKNG,23.82,0.17,+51.52%,0.33,24.17,0.5710000000000001,2023-06-02,24.0,0.63,24.5,0.46,-0.0444999999999999,-0.2617647058823528
PFE,37.99,0.03,+6.38%,0.47,39.53,0.851,2023-06-02,39.5,0.13,40.0,0.1,-0.0445,-1.4833333333333338
GM,32.43,0.13,+35.14%,0.37,33.13,0.6509999999999999,2023-06-02,33.0,0.34,33.5,0.21,-0.0445,-0.3423076923076926
AMZN,114.88,0.17,+20.48%,0.83,119.17,0.785,2023-06-02,119.0,0.72,120.0,0.55,-0.0449999999999999,-0.2647058823529409
INTC,27.38,0.04,+8.70%,0.46,29.04,0.83,2023-06-02,29.0,0.14,29.5,0.1,-0.045,-1.1250000000000007
