Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
AMZN,105.74,0.78,+63.93%,1.22,103.22,0.66,2023-05-05,104.0,2.08,102.0,1.3,weekly,0.1,0.12820512820512833
AMZN,105.74,1.2,+66.67%,1.8,103.8,0.624,2023-05-05,105.0,2.5,102.0,1.3,weekly,0.0719999999999999,0.05999999999999997
AMZN,105.74,1.04,+53.06%,1.96,102.96,0.6759999999999999,2023-05-05,104.0,2.08,101.0,1.04,weekly,0.0679999999999998,0.06538461538461522
AMZN,105.74,0.37,+58.73%,0.63,102.63,0.695,2023-05-05,103.0,1.67,102.0,1.3,weekly,0.0649999999999999,0.17567567567567552
AMZN,105.74,0.4,+66.67%,0.6,103.6,0.637,2023-05-05,104.0,2.08,103.0,1.68,weekly,0.037,0.09250000000000012
INTC,31.98,0.41,+69.49%,0.59,31.59,0.613,2023-05-05,32.0,0.78,31.0,0.37,weekly,0.0229999999999999,0.05609756097560975
AMZN,105.74,0.82,+69.49%,1.18,104.18,0.6,2023-05-05,105.0,2.5,103.0,1.68,weekly,0.0199999999999999,0.02439024390243904
INTC,31.98,0.55,+57.89%,0.95,31.45,0.645,2023-05-05,32.0,0.78,30.5,0.23,weekly,0.0175,0.03181818181818192
TSLA,158.15,0.12,+13.64%,0.88,145.88,0.87,2023-05-05,146.0,0.94,145.0,0.82,weekly,-0.01,-0.08333333333333347
LCID,7.91,0.16,+47.06%,0.34,7.34,0.6579999999999999,2023-05-05,7.5,0.31,7.0,0.15,weekly,-0.011,-0.06875000000000023
INTC,31.98,0.01,+2.04%,0.49,29.49,0.947,2023-05-05,29.5,0.08,29.0,0.07,weekly,-0.0164999999999999,-1.650000000000002
AMD,87.3,0.44,+78.57%,0.56,86.56,0.536,2023-05-05,87.0,3.35,86.0,2.91,weekly,-0.0239999999999999,-0.054545454545454494
DIS,100.09,0.42,+72.41%,0.58,99.58,0.555,2023-05-05,100.0,1.64,99.0,1.22,weekly,-0.0249999999999999,-0.05952380952380941
AMD,87.3,0.86,+75.44%,1.14,86.14,0.556,2023-05-05,87.0,3.35,85.0,2.49,weekly,-0.0279999999999999,-0.0325581395348836
INTC,31.98,0.11,+12.36%,0.89,29.89,0.862,2023-05-12,30.0,0.23,29.0,0.12,weekly,-0.028,-0.2545454545454547
AMD,87.3,0.39,+63.93%,0.61,85.61,0.581,2023-05-05,86.0,2.88,85.0,2.49,weekly,-0.029,-0.07435897435897439
TSLA,158.15,0.26,+14.94%,1.74,146.74,0.852,2023-05-05,147.0,1.08,145.0,0.82,weekly,-0.036,-0.13846153846153855
XOM,118.32,0.04,+4.17%,0.96,112.96,0.92,2023-05-05,113.0,0.26,112.0,0.22,weekly,-0.0399999999999999,-0.9999999999999989
INTC,31.98,0.63,+45.99%,1.37,31.37,0.6629999999999999,2023-05-05,32.0,0.78,30.0,0.15,weekly,-0.0440000000000002,-0.06984126984127006
