Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
META,244.75,0.04,+1.63%,2.46,222.46,0.984,2023-05-26,222.5,0.23,220.0,0.19,2.42861286636753e-16,-8.53483950180589e-16
NVDA,314.2,0.02,+0.81%,2.48,297.48,0.989,2023-05-19,297.5,0.08,295.0,0.06,-0.0074999999999997,-0.37500000000000117
MU,67.37,0.31,+44.93%,0.69,65.69,0.672,2023-05-26,66.0,0.98,65.0,0.67,-0.0179999999999999,-0.05806451612903204
MU,67.37,0.22,+28.21%,0.78,64.78,0.754,2023-05-26,65.0,0.66,64.0,0.44,-0.0259999999999999,-0.11818181818181815
NVDA,314.2,0.03,+1.21%,2.47,299.97,0.974,2023-05-19,300.0,0.12,297.5,0.09,-0.0349999999999997,-1.1666666666666687
AFRM,13.83,0.12,+31.58%,0.38,12.88,0.6779999999999999,2023-05-26,13.0,0.37,12.5,0.25,-0.041,-0.34166666666666695
RIVN,13.12,0.17,+51.52%,0.33,12.83,0.575,2023-05-26,13.0,0.42,12.5,0.25,-0.0425,-0.2500000000000001
UPST,23.78,0.03,+6.38%,0.47,21.97,0.8540000000000001,2023-05-19,22.0,0.09,21.5,0.06,-0.0429999999999999,-1.433333333333332
JPM,138.2,0.04,+4.17%,0.96,135.96,0.916,2023-05-19,136.0,0.1,135.0,0.06,-0.044,-1.0999999999999988
CSCO,47.66,0.16,+47.06%,0.34,47.34,0.585,2023-05-26,47.5,0.49,47.0,0.33,-0.0475,-0.2968750000000001
AMD,106.96,0.14,+16.28%,0.86,100.86,0.8079999999999999,2023-05-26,101.0,0.68,100.0,0.54,-0.052,-0.37142857142857183
AMD,106.96,0.03,+3.09%,0.97,102.97,0.918,2023-05-19,103.0,0.09,102.0,0.06,-0.052,-1.733333333333332
UBER,38.94,0.05,+11.11%,0.45,37.45,0.784,2023-05-26,37.5,0.21,37.0,0.16,-0.0579999999999999,-1.1599999999999995
