Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
UPST,13.12,0.89,+55.28%,1.61,11.61,0.662,2023-05-12,12.5,1.29,10.0,0.4,weekly,0.045,0.05056179775280899
UPST,13.12,0.42,+72.41%,0.58,12.08,0.611,2023-05-12,12.5,1.29,11.5,0.87,weekly,0.0309999999999999,0.0738095238095238
UPST,13.12,0.65,+48.15%,1.35,11.35,0.69,2023-05-12,12.0,1.05,10.0,0.4,weekly,0.0299999999999998,0.04615384615384599
GME,20.37,0.46,+58.23%,0.79,19.54,0.6509999999999999,2023-05-19,20.0,0.76,18.75,0.3,monthly,0.0237499999999998,0.051630434782608495
MSFT,309.36,0.11,+4.60%,2.39,287.39,0.963,2023-05-19,287.5,0.65,285.0,0.54,monthly,0.0174999999999999,0.1590909090909083
MARA,10.29,0.4,+66.67%,0.6,9.6,0.616,2023-05-19,10.0,0.84,9.0,0.44,monthly,0.016,0.04
UPST,13.12,0.22,+78.57%,0.28,12.28,0.578,2023-05-19,12.5,1.55,12.0,1.33,monthly,0.0089999999999999,0.04090909090909083
AFRM,10.44,0.21,+72.41%,0.29,9.79,0.595,2023-05-12,10.0,0.92,9.5,0.71,weekly,0.0074999999999999,0.03571428571428563
RIVN,13.31,0.4,+66.67%,0.6,12.6,0.607,2023-05-12,13.0,0.92,12.0,0.52,weekly,0.007,0.017499999999999984
UPST,13.12,0.21,+72.41%,0.29,12.29,0.588,2023-05-12,12.5,1.29,12.0,1.08,weekly,0.0039999999999999,0.019047619047619008
MARA,10.29,0.17,+51.52%,0.33,9.33,0.662,2023-05-19,9.5,0.61,9.0,0.44,monthly,0.001,0.005882352941176509
RIVN,13.31,0.33,+49.25%,0.67,12.17,0.6709999999999999,2023-05-12,12.5,0.7,11.5,0.37,weekly,0.0009999999999999,0.0030303030303028364
UPST,13.12,0.18,+56.25%,0.32,11.82,0.639,2023-05-12,12.0,1.05,11.5,0.87,weekly,-0.0005,-0.0027777777777777185
RIVN,13.31,0.21,+72.41%,0.29,12.79,0.578,2023-05-12,13.0,0.92,12.5,0.71,weekly,-0.001,-0.004761904761904848
RIVN,13.31,0.14,+38.89%,0.36,11.86,0.716,2023-05-12,12.0,0.51,11.5,0.37,weekly,-0.002,-0.014285714285714233
TSLA,168.57,0.3,+13.64%,2.2,152.2,0.879,2023-05-19,152.5,1.3,150.0,1.0,monthly,-0.0025,-0.008333333333333387
RIVN,13.31,0.55,+57.89%,0.95,12.45,0.63,2023-05-12,13.0,0.92,11.5,0.37,weekly,-0.0049999999999999,-0.009090909090909023
PYPL,74.69,0.42,+72.41%,0.58,73.58,0.563,2023-05-12,74.0,2.6,73.0,2.18,weekly,-0.017,-0.04047619047619063
AAPL,173.84,0.11,+4.60%,2.39,164.89,0.948,2023-05-12,165.0,0.29,162.5,0.18,weekly,-0.0200000000000001,-0.1818181818181829
MSFT,309.36,0.19,+8.23%,2.31,292.31,0.915,2023-05-19,292.5,1.01,290.0,0.82,monthly,-0.0224999999999999,-0.11842105263157847
NVDA,284.22,0.21,+9.17%,2.29,257.29,0.907,2023-05-19,257.5,1.39,255.0,1.18,monthly,-0.0224999999999999,-0.10714285714285694
MARA,10.29,0.42,+38.89%,1.08,9.08,0.703,2023-05-19,9.5,0.61,8.0,0.19,monthly,-0.0255,-0.060714285714285936
SHOP,61.38,0.09,+9.89%,0.91,55.91,0.884,2023-05-12,56.0,0.37,55.0,0.28,weekly,-0.026,-0.28888888888888886
PYPL,74.69,0.7,+53.85%,1.3,72.3,0.636,2023-05-12,73.0,2.16,71.0,1.46,weekly,-0.028,-0.04000000000000004
GME,20.37,0.12,+19.05%,0.63,18.63,0.7979999999999999,2023-05-19,18.75,0.28,18.0,0.16,monthly,-0.0315,-0.26250000000000057
MARA,10.29,0.65,+48.15%,1.35,9.35,0.659,2023-05-19,10.0,0.84,8.0,0.19,monthly,-0.0319999999999999,-0.04923076923076917
SQ,59.69,0.14,+38.89%,0.36,57.36,0.652,2023-05-19,57.5,1.57,57.0,1.43,monthly,-0.0339999999999999,-0.24285714285714266
PYPL,74.69,0.35,+53.85%,0.65,72.65,0.616,2023-05-12,73.0,2.16,72.0,1.81,weekly,-0.034,-0.0971428571428572
AMD,88.4,0.4,+66.67%,0.6,87.6,0.564,2023-05-12,88.0,1.63,87.0,1.23,weekly,-0.036,-0.09000000000000007
DDOG,77.59,0.14,+16.28%,0.86,70.86,0.823,2023-05-19,71.0,0.9,70.0,0.76,monthly,-0.037,-0.2642857142857145
AMZN,105.26,0.4,+66.67%,0.6,104.6,0.561,2023-05-12,105.0,1.69,104.0,1.29,weekly,-0.0389999999999999,-0.09749999999999982
SQ,59.69,0.15,+42.86%,0.35,57.85,0.621,2023-05-19,58.0,1.75,57.5,1.6,monthly,-0.0394999999999999,-0.26333333333333325
SCHW,49.77,0.04,+8.70%,0.46,46.46,0.841,2023-05-12,46.5,0.45,46.0,0.41,weekly,-0.0395,-0.9875000000000004
NIO,8.28,0.13,+35.14%,0.37,7.87,0.66,2023-05-19,8.0,0.27,7.5,0.14,monthly,-0.0399999999999999,-0.30769230769230754
SHOP,61.38,0.14,+16.28%,0.86,55.86,0.82,2023-05-19,56.0,0.71,55.0,0.57,monthly,-0.04,-0.28571428571428603
PYPL,74.69,0.79,+65.29%,1.21,73.21,0.584,2023-05-12,74.0,2.6,72.0,1.81,weekly,-0.042,-0.05316455696202532
SHOP,61.38,0.12,+13.64%,0.88,56.88,0.836,2023-05-12,57.0,0.5,56.0,0.38,weekly,-0.044,-0.36666666666666703
AMZN,105.26,0.41,+69.49%,0.59,104.59,0.542,2023-05-19,105.0,2.44,104.0,2.03,monthly,-0.0479999999999999,-0.11707317073170723
SHOP,61.38,0.23,+29.87%,0.77,57.77,0.722,2023-05-19,58.0,1.15,57.0,0.92,monthly,-0.048,-0.20869565217391323
SQ,59.69,0.32,+47.06%,0.68,57.68,0.632,2023-05-19,58.0,1.75,57.0,1.43,monthly,-0.048,-0.14999999999999994
GME,20.37,0.6,+42.86%,1.4,19.4,0.6759999999999999,2023-05-19,20.0,0.76,18.0,0.16,monthly,-0.0480000000000001,-0.08000000000000018
PYPL,74.69,1.14,+61.29%,1.86,72.86,0.604,2023-05-12,74.0,2.6,71.0,1.46,weekly,-0.0480000000000001,-0.042105263157894854
COIN,57.0,0.67,+50.38%,1.33,54.33,0.6409999999999999,2023-05-12,55.0,2.29,53.0,1.62,weekly,-0.0480000000000002,-0.07164179104477636
AMZN,105.26,0.35,+53.85%,0.65,103.65,0.601,2023-05-19,104.0,2.01,103.0,1.66,monthly,-0.049,-0.1400000000000001
AMD,88.4,0.16,+19.05%,0.84,82.84,0.7909999999999999,2023-05-19,83.0,0.82,82.0,0.66,monthly,-0.049,-0.30625000000000036
AMD,88.4,0.3,+42.86%,0.7,85.7,0.65,2023-05-19,86.0,1.62,85.0,1.32,monthly,-0.0499999999999999,-0.16666666666666657
AMD,88.4,0.25,+33.33%,0.75,84.75,0.7,2023-05-19,85.0,1.3,84.0,1.05,monthly,-0.05,-0.2000000000000002
COIN,57.0,0.25,+33.33%,0.75,51.75,0.6990000000000001,2023-05-19,52.0,2.28,51.0,2.03,monthly,-0.0509999999999999,-0.20399999999999976
SHOP,61.38,0.34,+51.52%,0.66,59.66,0.609,2023-05-19,60.0,1.81,59.0,1.47,monthly,-0.0509999999999999,-0.1500000000000001
AMD,88.4,0.18,+21.95%,0.82,84.82,0.769,2023-05-12,85.0,0.64,84.0,0.46,weekly,-0.0509999999999999,-0.2833333333333332
COIN,57.0,0.53,+36.05%,1.47,51.47,0.7090000000000001,2023-05-19,52.0,2.28,50.0,1.75,monthly,-0.0519999999999998,-0.09811320754716955
SHOP,61.38,0.17,+20.48%,0.83,57.83,0.778,2023-05-12,58.0,0.68,57.0,0.51,weekly,-0.0519999999999999,-0.30588235294117627
AMD,88.4,0.35,+53.85%,0.65,86.65,0.598,2023-05-19,87.0,1.99,86.0,1.64,monthly,-0.052,-0.14857142857142872
