Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
RIOT,12.93,0.45,+81.82%,0.55,11.55,0.596,2023-06-16,12.0,1.86,11.0,1.41,monthly,4.599999999999994,0.10222222222222214
PBR,12.11,0.42,+72.41%,0.58,11.58,0.616,2023-05-19,12.0,0.85,11.0,0.43,monthly,3.6000000000000014,0.08571428571428573
NVDA,270.02,2.1,+72.41%,2.9,267.9,0.526,2023-05-19,270.0,12.45,265.0,10.35,monthly,-26.99999999999997,-0.12857142857142853
NVDA,270.02,3.95,+65.29%,6.05,266.05,0.5489999999999999,2023-05-19,270.0,12.45,260.0,8.5,monthly,-56.00000000000006,-0.1417721518987343
SNOW,145.26,1.95,+63.93%,3.05,143.05,0.541,2023-05-19,145.0,8.15,140.0,6.2,monthly,-34.49999999999997,-0.1769230769230768
TSLA,187.04,0.65,+63.73%,1.02,186.02,0.51,2023-06-16,186.67,15.55,185.0,14.9,monthly,-16.83,-0.2589230769230769
ENPH,224.92,3.85,+62.60%,6.15,216.15,0.579,2023-05-19,220.0,14.9,210.0,11.05,monthly,-36.00000000000003,-0.09350649350649369
NVDA,270.02,1.91,+61.81%,3.09,268.09,0.573,2023-04-21,270.0,4.1,265.0,2.19,monthly,-22.50000000000001,-0.11780104712041897
NFLX,332.72,7.6,+61.29%,12.4,322.4,0.583,2023-05-19,330.0,17.9,310.0,10.3,monthly,-74.00000000000006,-0.0973684210526318
JD,38.05,0.94,+60.26%,1.56,36.56,0.5820000000000001,2023-06-16,37.5,2.48,35.0,1.54,monthly,-10.49999999999998,-0.11170212765957435
COIN,67.72,0.75,+60.00%,1.25,66.25,0.589,2023-04-21,67.0,2.27,65.0,1.52,monthly,-7.20000000000001,-0.09600000000000007
TXN,180.05,1.85,+58.73%,3.15,178.15,0.552,2023-05-19,180.0,6.0,175.0,4.15,monthly,-38.99999999999997,-0.21081081081081063
META,218.86,1.85,+58.73%,3.15,213.15,0.561,2023-06-16,215.0,12.3,210.0,10.45,monthly,-34.499999999999986,-0.1864864864864863
UAL,42.38,0.36,+56.25%,0.64,41.64,0.557,2023-05-19,42.0,1.79,41.0,1.43,monthly,-8.299999999999994,-0.23055555555555537
JD,38.05,0.18,+56.25%,0.32,37.82,0.551,2023-04-21,38.0,0.64,37.5,0.46,monthly,-4.4499999999999975,-0.2472222222222221
SCHW,52.77,0.9,+56.25%,1.6,51.6,0.575,2023-05-19,52.5,2.33,50.0,1.43,monthly,-16.250000000000007,-0.18055555555555566
NVDA,270.02,0.9,+56.25%,1.6,269.1,0.535,2023-04-21,270.0,4.1,267.5,3.2,monthly,-26.249999999999982,-0.2916666666666666
