Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
AMD,94.23,0.57,+23.46%,2.43,89.43,0.7509999999999999,2023-05-19,90.0,1.14,87.0,0.57,monthly,-0.1770000000000004,-0.3105263157894745
AMD,94.23,0.21,+7.53%,2.79,88.79,0.87,2023-05-12,89.0,0.32,86.0,0.11,weekly,-0.18,-0.8571428571428571
NFLX,330.59,0.6,+31.58%,1.9,321.9,0.687,2023-05-19,322.5,3.8,320.0,3.2,monthly,-0.1824999999999998,-0.3041666666666665
PYPL,75.82,1.05,+35.59%,2.95,71.95,0.691,2023-05-19,73.0,1.86,69.0,0.81,monthly,-0.1860000000000001,-0.17714285714285732
COIN,57.22,1.52,+61.29%,2.48,55.48,0.573,2023-05-19,57.0,3.65,53.0,2.13,monthly,-0.1880000000000001,-0.12368421052631588
COIN,57.22,0.83,+31.09%,2.67,52.17,0.7090000000000001,2023-05-19,53.0,2.07,49.5,1.24,monthly,-0.1884999999999997,-0.22710843373493955
SHOP,64.74,0.51,+20.48%,2.49,60.49,0.767,2023-05-19,61.0,0.95,58.0,0.44,monthly,-0.1889999999999999,-0.37058823529411755
NVDA,288.52,0.7,+38.89%,1.8,281.8,0.643,2023-05-19,282.5,4.55,280.0,3.85,monthly,-0.1924999999999999,-0.2750000000000001
SHOP,64.74,0.65,+27.66%,2.35,61.35,0.7190000000000001,2023-05-19,62.0,1.22,59.0,0.57,monthly,-0.1929999999999998,-0.29692307692307646
COIN,57.22,1.37,+52.09%,2.63,54.63,0.609,2023-05-19,56.0,3.2,52.0,1.83,monthly,-0.1939999999999999,-0.1416058394160584
DIS,103.58,2.02,+50.75%,3.98,100.98,0.631,2023-05-12,103.0,2.84,97.0,0.82,weekly,-0.1939999999999999,-0.09603960396039607
NVDA,288.52,0.95,+61.29%,1.55,286.55,0.542,2023-05-19,287.5,6.5,285.0,5.55,monthly,-0.1949999999999999,-0.20526315789473687
GME,20.7,0.31,+26.05%,1.19,20.19,0.6629999999999999,2023-05-12,20.5,0.38,19.0,0.07,weekly,-0.1955000000000001,-0.6306451612903229
SHOP,64.74,0.29,+10.70%,2.71,60.71,0.8370000000000001,2023-05-12,61.0,0.44,58.0,0.15,weekly,-0.1989999999999998,-0.6862068965517234
SBUX,107.75,0.67,+28.76%,2.33,106.33,0.71,2023-05-12,107.0,0.87,104.0,0.2,weekly,-0.2,-0.2985074626865674
SHOP,64.74,0.37,+10.19%,3.63,58.63,0.857,2023-05-19,59.0,0.56,55.0,0.19,monthly,-0.202,-0.545945945945946
USB,30.77,0.2,+25.00%,0.8,30.3,0.597,2023-05-12,30.5,0.6,29.5,0.4,weekly,-0.203,-1.0150000000000001
COIN,57.22,1.08,+36.99%,2.92,52.92,0.679,2023-05-19,54.0,2.41,50.0,1.33,monthly,-0.2039999999999997,-0.1888888888888887
PYPL,75.82,1.67,+50.15%,3.33,73.33,0.625,2023-05-19,75.0,2.69,70.0,1.02,monthly,-0.205,-0.12275449101796407
DIS,103.58,1.33,+36.24%,3.67,99.67,0.693,2023-05-12,101.0,1.97,96.0,0.64,weekly,-0.2050000000000001,-0.1541353383458648
NFLX,330.59,0.7,+38.89%,1.8,324.3,0.637,2023-05-19,325.0,4.6,322.5,3.9,monthly,-0.2075,-0.2964285714285715
AMD,94.23,0.16,+4.17%,3.84,87.84,0.908,2023-05-12,88.0,0.22,84.0,0.06,weekly,-0.2080000000000003,-1.2999999999999992
AMD,94.23,0.34,+9.29%,3.66,86.66,0.861,2023-05-19,87.0,0.56,83.0,0.22,monthly,-0.216,-0.6352941176470588
PYPL,75.82,1.4,+38.89%,3.6,72.6,0.6759999999999999,2023-05-12,74.0,1.96,69.0,0.56,weekly,-0.2200000000000005,-0.15714285714285747
AMD,94.23,0.3,+11.11%,2.7,89.7,0.825,2023-05-12,90.0,0.46,87.0,0.16,weekly,-0.2250000000000001,-0.7500000000000006
COIN,57.22,0.92,+29.87%,3.08,52.08,0.713,2023-05-19,53.0,2.07,49.0,1.15,monthly,-0.2280000000000001,-0.24782608695652192
TSLA,171.98,1.16,+30.21%,3.84,163.84,0.722,2023-05-19,165.0,2.89,160.0,1.73,monthly,-0.2300000000000001,-0.19827586206896566
TSLA,171.98,1.74,+53.37%,3.26,168.26,0.605,2023-05-19,170.0,4.65,165.0,2.91,monthly,-0.2350000000000001,-0.13505747126436787
GME,20.7,0.34,+20.48%,1.66,19.66,0.7120000000000001,2023-05-19,20.0,0.43,18.0,0.09,monthly,-0.2359999999999998,-0.694117647058823
GOOGL,107.06,0.96,+47.06%,2.04,106.04,0.601,2023-05-12,107.0,1.49,104.0,0.53,weekly,-0.2370000000000001,-0.24687500000000007
TSLA,171.98,0.71,+16.55%,4.29,164.29,0.81,2023-05-12,165.0,1.18,160.0,0.47,weekly,-0.2399999999999997,-0.3380281690140841
GOOGL,107.06,1.02,+51.52%,1.98,105.98,0.58,2023-05-19,107.0,1.99,104.0,0.97,monthly,-0.2400000000000001,-0.23529411764705893
ABNB,126.53,1.12,+22.95%,4.88,116.88,0.773,2023-05-12,118.0,2.0,112.0,0.88,weekly,-0.2419999999999997,-0.21607142857142828
AMD,94.23,0.44,+12.36%,3.56,87.56,0.8290000000000001,2023-05-19,88.0,0.72,84.0,0.28,monthly,-0.2439999999999997,-0.5545454545454539
SHOP,64.74,0.42,+16.28%,2.58,61.58,0.778,2023-05-12,62.0,0.64,59.0,0.22,weekly,-0.2459999999999999,-0.5857142857142857
SHOP,64.74,0.61,+25.52%,2.39,62.39,0.7140000000000001,2023-05-12,63.0,0.92,60.0,0.31,weekly,-0.2479999999999997,-0.40655737704917994
COIN,57.22,1.34,+50.38%,2.66,55.66,0.603,2023-05-12,57.0,2.28,53.0,0.94,weekly,-0.2480000000000001,-0.1850746268656717
