Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
UPST,13.12,0.22,+78.57%,0.28,12.28,57.8%,2023-05-19,12.5,1.55,12,1.33,monthly
UPST,13.12,0.21,+72.41%,0.29,12.29,58.8%,2023-05-12,12.5,1.29,12,1.08,weekly
TSLA,168.57,1.05,+72.41%,1.45,166.45,55.8%,2023-05-19,167.5,5.5,165,4.45,monthly
UPST,13.12,0.42,+72.41%,0.58,12.08,61.1%,2023-05-12,12.5,1.29,11.5,0.87,weekly
AFRM,10.44,0.21,+72.41%,0.29,9.79,59.5%,2023-05-12,10,0.92,9.5,0.71,weekly
RIVN,13.31,0.21,+72.41%,0.29,12.79,57.8%,2023-05-12,13,0.92,12.5,0.71,weekly
PYPL,74.69,0.42,+72.41%,0.58,73.58,56.3%,2023-05-12,74,2.6,73,2.18,weekly
AMZN,105.26,0.41,+69.49%,0.59,104.59,54.2%,2023-05-19,105,2.44,104,2.03,monthly
MARA,10.29,0.4,+66.67%,0.6,9.6,61.6%,2023-05-19,10,0.84,9,0.44,monthly
AMD,88.4,0.4,+66.67%,0.6,87.6,56.4%,2023-05-12,88,1.63,87,1.23,weekly
RIVN,13.31,0.4,+66.67%,0.6,12.6,60.7%,2023-05-12,13,0.92,12,0.52,weekly
AMZN,105.26,0.4,+66.67%,0.6,104.6,56.1%,2023-05-12,105,1.69,104,1.29,weekly
PYPL,74.69,0.79,+65.29%,1.21,73.21,58.4%,2023-05-12,74,2.6,72,1.81,weekly
TSLA,168.57,0.98,+64.47%,1.52,166.52,58.1%,2023-05-12,167.5,3.7,165,2.72,weekly
AMZN,105.26,0.78,+63.93%,1.22,104.22,56.6%,2023-05-19,105,2.44,103,1.66,monthly
TSLA,168.57,1.95,+63.93%,3.05,165.55,58.2%,2023-05-19,167.5,5.5,162.5,3.55,monthly
AMD,88.4,0.77,+62.60%,1.23,87.23,56.6%,2023-05-19,88,2.41,86,1.64,monthly
PYPL,74.69,1.14,+61.29%,1.86,72.86,60.4%,2023-05-12,74,2.6,71,1.46,weekly
NVDA,284.22,1.85,+58.73%,3.15,280.65,56.7%,2023-05-19,282.5,7.45,277.5,5.6,monthly
GME,20.37,0.46,+58.23%,0.79,19.54,65.1%,2023-05-19,20,0.76,18.75,0.3,monthly
RIVN,13.31,0.55,+57.89%,0.95,12.45,63.0%,2023-05-12,13,0.92,11.5,0.37,weekly
AMZN,105.26,0.73,+57.48%,1.27,104.27,59.1%,2023-05-12,105,1.69,103,0.96,weekly
AMD,88.4,1.09,+57.07%,1.91,86.91,58.4%,2023-05-19,88,2.41,85,1.32,monthly
TSLA,168.57,2.7,+56.25%,4.8,164.8,60.2%,2023-05-19,167.5,5.5,160,2.8,monthly
NVDA,284.22,0.9,+56.25%,1.6,281.6,54.9%,2023-05-19,282.5,7.45,280,6.55,monthly
MU,61.29,0.36,+56.25%,0.64,60.64,56.4%,2023-05-19,61,1.43,60,1.07,monthly
