Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
MRNA,129.98,0.03,+3.09%,0.97,126.97,81.4%,2023-06-16,127,0.29,126,0.26
MDB,385.4,0.28,+2.88%,9.72,369.72,90.3%,2023-06-16,370,0.44,360,0.16
MSFT,348.1,0.14,+2.88%,4.86,339.86,92.7%,2023-06-16,340,0.2,335,0.06
UNH,465.89,0.39,+2.67%,14.61,459.61,80.3%,2023-06-16,460,0.67,445,0.28
PEP,185.71,0.12,+2.46%,4.88,184.88,70.8%,2023-06-16,185,0.3,180,0.18
MSFT,348.1,0.24,+2.46%,9.76,342.26,84.8%,2023-06-16,342.5,0.36,332.5,0.12
MSFT,348.1,0.26,+2.12%,12.24,342.24,84.9%,2023-06-16,342.5,0.36,330,0.1
META,281.83,0.05,+2.04%,2.45,272.45,95.6%,2023-06-16,272.5,0.15,270,0.1
TMUS,132.76,0.02,+2.04%,0.98,129.98,93.5%,2023-06-16,130,0.1,129,0.08
TGT,137.84,0.02,+2.04%,0.98,132.98,95.8%,2023-06-16,133,0.09,132,0.07
U,41.67,0.01,+2.04%,0.49,39.49,87.1%,2023-06-16,39.5,0.09,39,0.08
MDB,385.4,0.09,+1.83%,4.91,369.91,90.0%,2023-06-16,370,0.44,365,0.35
NVDA,426.53,0.04,+1.63%,2.46,392.46,90.3%,2023-06-23,392.5,1.12,390,1.08
MA,379.04,0.04,+1.63%,2.46,372.46,93.5%,2023-06-16,372.5,0.16,370,0.12
MSFT,348.1,0.04,+1.63%,2.46,337.46,97.0%,2023-06-16,337.5,0.1,335,0.06
MSFT,348.1,0.22,+1.49%,14.78,342.28,84.7%,2023-06-16,342.5,0.36,327.5,0.14
MSFT,348.1,0.08,+1.08%,7.42,339.92,92.6%,2023-06-16,340,0.2,332.5,0.12
MSFT,348.1,0.1,+1.01%,9.9,339.9,92.6%,2023-06-16,340,0.2,330,0.1
NKE,112.41,0.02,+1.01%,1.98,109.98,91.1%,2023-06-16,110,0.08,108,0.06
SNOW,190.98,0.04,+0.81%,4.96,179.96,95.1%,2023-06-16,180,0.16,175,0.12
SNOW,190.98,0.05,+0.67%,7.45,179.95,95.1%,2023-06-16,180,0.16,172.5,0.11
FDX,236.44,0.03,+0.60%,4.97,229.97,95.3%,2023-06-16,230,0.1,225,0.07
MSFT,348.1,0.06,+0.48%,12.44,339.94,92.5%,2023-06-16,340,0.2,327.5,0.14
MDB,385.4,0.02,+0.27%,7.48,369.98,89.9%,2023-06-16,370,0.44,362.5,0.42
NVDA,426.53,0.01,+0.13%,7.49,397.49,99.7%,2023-06-16,397.5,0.07,390,0.06
"Downloaded from Barchart.com as of 06-15-2023 04:13pm CDT"
