Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
XPEV,11.59,0.21,+72.41%,0.29,11.29,0.586,2023-06-23,11.5,0.49,11.0,0.28,0.0029999999999999,0.014285714285714237
CCL,16.12,0.2,+66.67%,0.3,15.8,0.593,2023-06-23,16.0,0.46,15.5,0.26,-0.0035,-0.017499999999999984
PLTR,16.6,0.21,+72.41%,0.29,16.29,0.565,2023-06-23,16.5,0.68,16.0,0.47,-0.0075,-0.035714285714285865
NVDA,426.53,0.01,+0.13%,7.49,397.49,0.997,2023-06-16,397.5,0.07,390.0,0.06,-0.0125,-1.250000000000002
INTC,35.82,0.19,+61.29%,0.31,35.31,0.58,2023-06-23,35.5,0.83,35.0,0.64,-0.02,-0.10526315789473693
INTC,35.82,0.12,+31.58%,0.38,34.38,0.7170000000000001,2023-06-23,34.5,0.44,34.0,0.32,-0.0214999999999999,-0.17916666666666636
UPST,37.7,0.34,+51.52%,0.66,35.66,0.638,2023-06-23,36.0,1.48,35.0,1.14,-0.0219999999999999,-0.06470588235294117
TGT,137.84,0.02,+2.04%,0.98,132.98,0.958,2023-06-16,133.0,0.09,132.0,0.07,-0.022,-1.1000000000000016
INTC,35.82,0.37,+58.73%,0.63,35.13,0.607,2023-06-23,35.5,0.83,34.5,0.46,-0.023,-0.06216216216216222
AMZN,127.11,0.43,+75.44%,0.57,126.57,0.54,2023-06-23,127.0,2.01,126.0,1.58,-0.0299999999999999,-0.06976744186046503
ABNB,127.85,0.03,+3.09%,0.97,122.97,0.94,2023-06-16,123.0,0.12,122.0,0.09,-0.03,-1.0000000000000018
RIVN,15.24,0.17,+51.52%,0.33,14.83,0.591,2023-06-23,15.0,0.56,14.5,0.39,-0.0345,-0.20294117647058837
MSFT,348.1,0.04,+1.63%,2.46,337.46,0.97,2023-06-16,337.5,0.1,335.0,0.06,-0.035,-0.8750000000000014
UPST,37.7,0.05,+11.11%,0.45,35.45,0.823,2023-06-16,35.5,0.2,35.0,0.15,-0.0385,-0.7700000000000005
