Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
AMD,123.43,0.12,+13.64%,0.88,118.88,0.8109999999999999,2023-06-09,119.0,0.41,118.0,0.29,-0.069,-0.5750000000000006
SHOP,63.71,0.11,+12.36%,0.89,60.89,0.82,2023-06-09,61.0,0.27,60.0,0.16,-0.07,-0.6363636363636368
TSLA,220.42,1.99,+66.11%,3.01,218.01,0.588,2023-06-09,220.0,3.95,215.0,1.96,-0.0700000000000002,-0.03517587939698499
TSLA,220.42,0.64,+34.41%,1.86,214.36,0.715,2023-06-09,215.0,1.95,212.5,1.31,-0.0725000000000001,-0.11328125000000015
TGT,132.49,0.24,+31.58%,0.76,130.76,0.684,2023-06-09,131.0,0.81,130.0,0.57,-0.0759999999999999,-0.31666666666666654
ABNB,118.18,0.14,+16.28%,0.86,114.86,0.779,2023-06-09,115.0,0.55,114.0,0.41,-0.0809999999999999,-0.5785714285714283
COIN,51.15,0.08,+19.05%,0.42,48.42,0.6779999999999999,2023-06-09,48.5,1.32,48.0,1.24,-0.081,-1.0125000000000002
TGT,132.49,0.33,+49.25%,0.67,131.67,0.589,2023-06-09,132.0,1.17,131.0,0.84,-0.081,-0.24545454545454562
DIS,92.13,0.33,+49.25%,0.67,91.67,0.586,2023-06-09,92.0,0.69,91.0,0.36,-0.084,-0.2545454545454547
COIN,51.15,0.21,+16.28%,1.29,46.29,0.8,2023-06-09,46.5,0.89,45.0,0.68,-0.0899999999999999,-0.4285714285714283
NVDA,386.64,0.12,+5.04%,2.38,367.38,0.916,2023-06-09,367.5,0.52,365.0,0.4,-0.0900000000000001,-0.7499999999999992
UPST,30.59,0.19,+23.46%,0.81,28.81,0.7170000000000001,2023-06-09,29.0,0.38,28.0,0.19,-0.0929999999999999,-0.489473684210526
AMD,123.43,0.73,+57.48%,1.27,122.27,0.588,2023-06-09,123.0,1.6,121.0,0.87,-0.094,-0.12876712328767137
UPST,30.59,0.24,+31.58%,0.76,29.26,0.664,2023-06-09,29.5,0.52,28.5,0.28,-0.0959999999999999,-0.39999999999999997
DOCU,58.99,2.71,+51.23%,5.29,55.29,0.649,2023-06-09,58.0,3.35,50.0,0.64,-0.0979999999999998,-0.03616236162361613
DIS,92.13,0.17,+20.48%,0.83,90.83,0.732,2023-06-09,91.0,0.34,90.0,0.17,-0.0979999999999999,-0.5764705882352941
TSLA,220.42,0.44,+21.36%,2.06,212.06,0.784,2023-06-09,212.5,1.3,210.0,0.86,-0.0999999999999999,-0.22727272727272718
MS,86.01,0.14,+16.28%,0.86,84.86,0.758,2023-06-09,85.0,0.27,84.0,0.13,-0.102,-0.7285714285714284
UPST,30.59,0.45,+42.86%,1.05,29.55,0.629,2023-06-09,30.0,0.73,28.5,0.28,-0.1064999999999999,-0.23666666666666666
TTD,74.82,0.15,+17.65%,0.85,72.85,0.741,2023-06-09,73.0,0.46,72.0,0.31,-0.109,-0.7266666666666666
AI,37.88,0.2,+25.00%,0.8,35.8,0.687,2023-06-09,36.0,0.7,35.0,0.5,-0.1129999999999999,-0.5649999999999997
AMD,123.43,0.58,+40.85%,1.42,121.42,0.65,2023-06-09,122.0,1.19,120.0,0.61,-0.1199999999999999,-0.2068965517241378
SHOP,63.71,0.09,+4.71%,1.91,59.91,0.893,2023-06-09,60.0,0.15,58.0,0.06,-0.1239999999999999,-1.377777777777777
ASO,49.06,0.3,+42.86%,0.7,48.7,0.563,2023-06-09,49.0,0.75,48.0,0.45,-0.137,-0.4566666666666668
AI,37.88,0.1,+11.11%,0.9,34.9,0.76,2023-06-09,35.0,0.45,34.0,0.35,-0.1399999999999999,-1.4
AMD,123.43,0.44,+28.21%,1.56,120.56,0.71,2023-06-09,121.0,0.86,119.0,0.42,-0.14,-0.31818181818181834
