Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
BABA,88.03,1.2,+66.67%,1.8,85.8,0.62,2023-05-19,87.0,2.45,84.0,1.25,0.0599999999999999,0.04999999999999999
BABA,88.03,0.85,+73.91%,1.15,86.15,0.602,2023-05-19,87.0,2.45,85.0,1.6,0.0539999999999999,0.0635294117647059
BABA,88.03,1.33,+79.64%,1.67,86.67,0.574,2023-05-19,88.0,2.93,85.0,1.6,0.0519999999999999,0.03909774436090217
BABA,88.03,1.68,+72.41%,2.32,86.32,0.593,2023-05-19,88.0,2.93,84.0,1.25,0.0519999999999999,0.03095238095238086
BABA,88.03,1.5,+60.00%,2.5,85.5,0.636,2023-05-19,87.0,2.45,83.0,0.95,0.044,0.029333333333333343
BABA,88.03,0.93,+86.92%,1.07,87.07,0.552,2023-05-19,88.0,2.93,86.0,2.0,0.034,0.036559139784946355
MMM,100.78,0.3,+42.86%,0.7,98.7,0.73,2023-05-19,99.0,0.98,98.0,0.68,0.03,0.10000000000000002
BABA,88.03,0.45,+81.82%,0.55,86.55,0.58,2023-05-19,87.0,2.45,86.0,2.0,0.0299999999999999,0.06666666666666655
BABA,88.03,1.98,+65.56%,3.02,86.02,0.609,2023-05-19,88.0,2.93,83.0,0.95,0.0249999999999999,0.012626262626262605
TGT,160.73,0.57,+23.46%,2.43,147.43,0.8170000000000001,2023-05-19,148.0,2.02,145.0,1.45,0.0210000000000001,0.03684210526315811
UPST,19.95,0.33,+49.25%,0.67,18.67,0.685,2023-05-19,19.0,0.73,18.0,0.4,0.015,0.04545454545454559
UPST,19.95,0.46,+44.23%,1.04,18.54,0.7020000000000001,2023-05-19,19.0,0.73,17.5,0.27,0.0130000000000001,0.028260869565217544
BABA,88.03,0.38,+61.29%,0.62,85.62,0.63,2023-05-19,86.0,1.98,85.0,1.6,0.01,0.02631578947368428
AMD,96.68,0.4,+66.67%,0.6,95.6,0.61,2023-05-19,96.0,1.39,95.0,0.99,0.01,0.02499999999999999
JPM,135.38,0.06,+6.38%,0.94,130.94,0.95,2023-05-19,131.0,0.22,130.0,0.16,0.0099999999999999,0.16666666666666582
GOOG,117.48,0.02,+2.04%,0.98,110.98,0.979,2023-05-19,111.0,0.09,110.0,0.07,-0.0009999999999999,-0.050000000000000766
AFRM,12.94,0.16,+47.06%,0.34,12.34,0.674,2023-05-19,12.5,0.38,12.0,0.22,-0.0029999999999999,-0.018749999999999815
BABA,88.03,0.47,+88.68%,0.53,87.53,0.527,2023-05-19,88.0,2.93,87.0,2.46,-0.003,-0.006382978723404254
GOOGL,117.04,0.33,+49.25%,0.67,115.67,0.6629999999999999,2023-05-19,116.0,0.95,115.0,0.62,-0.007,-0.021212121212121432
UPST,19.95,0.25,+33.33%,0.75,18.25,0.741,2023-05-19,18.5,0.52,17.5,0.27,-0.009,-0.03600000000000003
MU,63.98,0.12,+31.58%,0.38,62.38,0.742,2023-05-19,62.5,0.49,62.0,0.37,-0.009,-0.07500000000000007
GOOGL,117.04,0.02,+2.04%,0.98,110.98,0.971,2023-05-19,111.0,0.1,110.0,0.08,-0.009,-0.4500000000000011
GOOG,117.48,0.03,+1.52%,1.97,110.97,0.979,2023-05-19,111.0,0.09,109.0,0.06,-0.0119999999999998,-0.4000000000000014
MU,63.98,0.15,+42.86%,0.35,62.85,0.6759999999999999,2023-05-19,63.0,0.65,62.5,0.5,-0.012,-0.08000000000000018
GME,21.58,0.08,+47.06%,0.17,21.17,0.628,2023-05-19,21.25,0.36,21.0,0.28,-0.013,-0.1625
SCHW,51.48,0.01,+2.04%,0.49,47.99,0.947,2023-05-19,48.0,0.09,47.5,0.08,-0.0164999999999999,-1.650000000000002
UPST,19.95,0.12,+31.58%,0.38,18.38,0.7240000000000001,2023-05-19,18.5,0.52,18.0,0.4,-0.0179999999999999,-0.1499999999999997
WFC,39.03,0.07,+16.28%,0.43,37.93,0.8220000000000001,2023-05-19,38.0,0.21,37.5,0.14,-0.0189999999999999,-0.27142857142857096
UPST,19.95,0.15,+42.86%,0.35,18.85,0.66,2023-05-19,19.0,0.73,18.5,0.58,-0.0199999999999999,-0.1333333333333331
MRVL,41.97,0.05,+11.11%,0.45,39.95,0.86,2023-05-19,40.0,0.19,39.5,0.14,-0.02,-0.4
UPST,19.95,0.55,+37.93%,1.45,18.45,0.715,2023-05-19,19.0,0.73,17.0,0.18,-0.02,-0.03636363636363643
SCHW,51.48,0.02,+4.17%,0.48,48.48,0.917,2023-05-19,48.5,0.12,48.0,0.1,-0.0214999999999999,-1.0749999999999988
MRVL,41.97,0.08,+19.05%,0.42,40.42,0.795,2023-05-19,40.5,0.29,40.0,0.21,-0.0224999999999999,-0.2812499999999997
GME,21.58,0.12,+31.58%,0.38,20.88,0.713,2023-05-19,21.0,0.26,20.5,0.14,-0.0235,-0.19583333333333353
WFC,39.03,0.19,+61.29%,0.31,38.81,0.5720000000000001,2023-05-19,39.0,0.54,38.5,0.35,-0.0239999999999999,-0.126315789473684
DVN,48.1,0.06,+13.64%,0.44,46.44,0.83,2023-05-19,46.5,0.24,46.0,0.18,-0.025,-0.41666666666666713
MU,63.98,0.28,+38.89%,0.72,62.72,0.695,2023-05-19,63.0,0.65,62.0,0.37,-0.025,-0.08928571428571438
GOOG,117.48,0.18,+21.95%,0.82,114.82,0.794,2023-05-19,115.0,0.49,114.0,0.31,-0.0259999999999999,-0.14444444444444418
JD,37.9,0.17,+51.52%,0.33,37.33,0.608,2023-05-19,37.5,0.66,37.0,0.49,-0.0259999999999999,-0.15294117647058825
MS,83.27,0.18,+56.25%,0.32,82.82,0.586,2023-05-19,83.0,0.8,82.5,0.62,-0.027,-0.15000000000000005
WFC,39.03,0.12,+31.58%,0.38,38.38,0.706,2023-05-19,38.5,0.34,38.0,0.22,-0.027,-0.22500000000000017
GME,21.58,0.22,+41.51%,0.53,21.03,0.67,2023-05-19,21.25,0.36,20.5,0.14,-0.0274999999999999,-0.12499999999999999
GOOGL,117.04,0.03,+1.52%,1.97,110.97,0.971,2023-05-19,111.0,0.1,109.0,0.07,-0.028,-0.9333333333333352
UPST,19.95,0.08,+19.05%,0.42,17.92,0.782,2023-05-19,18.0,0.35,17.5,0.27,-0.0289999999999999,-0.3624999999999997
BABA,88.03,1.73,+52.91%,3.27,85.27,0.648,2023-05-19,87.0,2.45,82.0,0.72,-0.0299999999999998,-0.01734104046242764
CAT,212.94,0.98,+64.47%,1.52,211.52,0.596,2023-05-19,212.5,2.63,210.0,1.65,-0.0300000000000001,-0.03061224489795928
UPST,19.95,0.34,+29.31%,1.16,18.16,0.752,2023-05-19,18.5,0.52,17.0,0.18,-0.0319999999999999,-0.09411764705882342
MRVL,41.97,0.1,+11.11%,0.9,39.9,0.866,2023-05-19,40.0,0.19,39.0,0.09,-0.034,-0.34
DOCU,50.65,0.03,+6.38%,0.47,47.97,0.872,2023-05-19,48.0,0.18,47.5,0.15,-0.034,-1.1333333333333335
GOOG,117.48,0.05,+2.56%,1.95,111.95,0.958,2023-05-19,112.0,0.12,110.0,0.07,-0.034,-0.6800000000000014
UPST,19.95,0.17,+20.48%,0.83,17.83,0.792,2023-05-19,18.0,0.35,17.0,0.18,-0.0379999999999999,-0.2235294117647056
SCHW,51.48,0.05,+11.11%,0.45,49.45,0.823,2023-05-19,49.5,0.23,49.0,0.18,-0.0385,-0.7700000000000005
SCHW,51.48,0.04,+4.17%,0.96,48.46,0.919,2023-05-19,48.5,0.12,47.5,0.08,-0.0409999999999999,-1.0249999999999988
GOOGL,117.04,0.07,+3.63%,1.93,111.93,0.944,2023-05-19,112.0,0.15,110.0,0.08,-0.0419999999999998,-0.6000000000000012
MRNA,130.18,1.17,+63.93%,1.83,128.83,0.596,2023-05-19,130.0,2.51,127.0,1.34,-0.0420000000000001,-0.03589743589743606
TSM,85.31,0.35,+53.85%,0.65,84.65,0.607,2023-05-19,85.0,0.91,84.0,0.56,-0.043,-0.1228571428571429
