Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
PBR,11.5,0.67,+203.03%,0.33,10.83,0.772,2023-04-28,11.5,0.86,10.5,0.19,weekly,44.2,0.6597014925373135
AMZN,109.82,1.05,+35.59%,2.95,103.95,0.792,2023-04-28,105.0,2.0,101.0,0.95,weekly,21.80000000000002,0.2076190476190478
AMZN,109.82,2.7,+50.94%,5.3,106.3,0.685,2023-04-28,109.0,3.65,101.0,0.95,weekly,18.000000000000057,0.06666666666666687
AMZN,109.82,2.46,+54.19%,4.54,106.54,0.6729999999999999,2023-04-28,109.0,3.65,102.0,1.19,weekly,17.099999999999966,0.06951219512195098
AMZN,109.82,2.2,+45.83%,4.8,105.8,0.71,2023-04-28,108.0,3.15,101.0,0.95,weekly,17.0,0.07727272727272723
AMZN,109.82,1.75,+41.18%,4.25,105.25,0.736,2023-04-28,107.0,2.7,101.0,0.95,weekly,16.60000000000001,0.09485714285714285
MS,90.26,0.63,+45.99%,1.37,89.37,0.768,2023-04-28,90.0,0.79,88.0,0.16,weekly,16.6,0.2634920634920636
AMZN,109.82,2.2,+57.89%,3.8,106.8,0.66,2023-04-28,109.0,3.65,103.0,1.45,weekly,16.00000000000003,0.07272727272727285
AMZN,109.82,0.81,+36.99%,2.19,104.19,0.782,2023-04-28,105.0,2.0,102.0,1.19,weekly,15.600000000000009,0.19259259259259268
AMZN,109.82,1.92,+62.34%,3.08,107.08,0.6459999999999999,2023-04-28,109.0,3.65,104.0,1.73,weekly,14.999999999999956,0.07812499999999972
AMZN,109.82,1.96,+48.51%,4.04,106.04,0.698,2023-04-28,108.0,3.15,102.0,1.19,weekly,14.799999999999969,0.07551020408163249
AMZN,109.82,1.93,+38.07%,5.07,105.07,0.7440000000000001,2023-04-28,107.0,2.7,100.0,0.77,weekly,13.800000000000068,0.07150259067357545
AMZN,109.82,1.51,+43.27%,3.49,105.49,0.7240000000000001,2023-04-28,107.0,2.7,102.0,1.19,weekly,13.000000000000044,0.0860927152317883
AMZN,109.82,2.88,+47.06%,6.12,106.12,0.6940000000000001,2023-04-28,109.0,3.65,100.0,0.77,weekly,12.600000000000051,0.0437500000000002
AMZN,109.82,1.7,+51.52%,3.3,106.3,0.685,2023-04-28,108.0,3.15,103.0,1.45,weekly,12.500000000000014,0.07352941176470604
AMZN,109.82,2.38,+42.35%,5.62,105.62,0.718,2023-04-28,108.0,3.15,100.0,0.77,weekly,12.399999999999975,0.05210084033613426
AMZN,109.82,0.5,+33.33%,1.5,103.5,0.81,2023-04-28,104.0,1.69,102.0,1.19,weekly,12.000000000000009,0.2400000000000002
AMZN,109.82,1.59,+65.98%,2.41,107.41,0.629,2023-04-28,109.0,3.65,105.0,2.06,weekly,10.599999999999994,0.06666666666666668
AMZN,109.82,1.42,+55.04%,2.58,106.58,0.6709999999999999,2023-04-28,108.0,3.15,104.0,1.73,weekly,10.399999999999975,0.07323943661971806
AMZN,109.82,1.25,+45.45%,2.75,105.75,0.7120000000000001,2023-04-28,107.0,2.7,103.0,1.45,weekly,9.80000000000004,0.07840000000000023
AMZN,109.82,0.55,+37.93%,1.45,104.45,0.7709999999999999,2023-04-28,105.0,2.0,103.0,1.45,weekly,9.199999999999989,0.167272727272727
MS,90.26,0.38,+61.29%,0.62,89.62,0.7,2023-04-28,90.0,0.79,89.0,0.41,weekly,7.9999999999999964,0.2105263157894736
MSFT,304.83,0.1,+2.04%,4.9,297.4,0.995,2023-04-28,297.5,0.16,292.5,0.06,weekly,7.4999999999999964,0.7499999999999997
MS,90.26,0.71,+31.00%,2.29,89.29,0.787,2023-04-28,90.0,0.79,87.0,0.08,weekly,7.1000000000000085,0.10000000000000016
AMZN,109.82,0.97,+47.78%,2.03,106.03,0.6990000000000001,2023-04-28,107.0,2.7,104.0,1.73,weekly,6.700000000000031,0.06907216494845389
PBR,11.5,0.26,+108.33%,0.24,11.24,0.612,2023-04-28,11.5,0.86,11.0,0.6,weekly,6.599999999999998,0.25384615384615383
AMZN,109.82,1.27,+34.05%,3.73,104.73,0.759,2023-04-28,106.0,2.22,101.0,0.95,weekly,6.5,0.05118110236220476
AMZN,109.82,1.23,+69.49%,1.77,107.77,0.61,2023-04-28,109.0,3.65,106.0,2.42,weekly,6.0,0.04878048780487808
MSFT,304.83,0.07,+2.88%,2.43,297.43,0.995,2023-04-28,297.5,0.16,295.0,0.09,weekly,5.75,0.8214285714285713
AMZN,109.82,1.09,+57.07%,1.91,106.91,0.655,2023-04-28,108.0,3.15,105.0,2.06,weekly,5.500000000000014,0.050458715596330465
AMZN,109.82,1.45,+31.87%,4.55,104.55,0.767,2023-04-28,106.0,2.22,100.0,0.77,weekly,5.200000000000017,0.03586206896551724
MS,90.26,0.17,+20.48%,0.83,88.83,0.8809999999999999,2023-04-28,89.0,0.33,88.0,0.16,weekly,5.099999999999989,0.2999999999999995
SNAP,10.5,0.47,+88.68%,0.53,10.03,0.575,2023-05-05,10.5,1.0,9.5,0.53,weekly,4.4999999999999964,0.09574468085106369
MSFT,304.83,0.15,+6.38%,2.35,299.85,0.957,2023-04-28,300.0,0.32,297.5,0.17,weekly,4.250000000000018,0.28333333333333266
FSR,6.54,0.38,+61.29%,0.62,5.62,0.662,2023-05-19,6.0,0.76,5.0,0.38,monthly,4.200000000000003,0.11052631578947378
SNAP,10.5,0.43,+75.44%,0.57,10.07,0.611,2023-04-28,10.5,0.85,9.5,0.42,weekly,4.100000000000001,0.09534883720930233
AMZN,109.82,0.24,+31.58%,0.76,103.76,0.8,2023-04-28,104.0,1.69,103.0,1.45,weekly,4.000000000000007,0.16666666666666685
SNAP,10.5,0.2,+66.67%,0.3,9.8,0.679,2023-04-28,10.0,0.62,9.5,0.42,weekly,3.950000000000003,0.1975000000000002
AMZN,109.82,0.27,+36.99%,0.73,104.73,0.759,2023-04-28,105.0,2.0,104.0,1.73,weekly,2.8999999999999986,0.10740740740740756
MSFT,304.83,0.23,+4.82%,4.77,299.77,0.959,2023-04-28,300.0,0.32,295.0,0.09,weekly,2.500000000000039,0.10869565217391233
AMZN,109.82,1.03,+34.68%,2.97,104.97,0.748,2023-04-28,106.0,2.22,102.0,1.19,weekly,2.200000000000003,0.021359223300970745
SNAP,10.5,0.63,+72.41%,0.87,9.87,0.594,2023-05-19,10.5,1.05,9.0,0.42,monthly,2.0999999999999943,0.03333333333333325
LCID,8.17,0.21,+72.41%,0.29,7.79,0.62,2023-05-05,8.0,0.45,7.5,0.24,weekly,2.0,0.09523809523809519
GOOG,108.37,0.05,+5.26%,0.95,105.95,0.969,2023-04-28,106.0,0.13,105.0,0.08,weekly,1.9000000000000083,0.3799999999999995
AMZN,109.82,2.5,+38.46%,6.5,105.5,0.7240000000000001,2023-04-28,108.0,3.15,99.0,0.65,weekly,1.6000000000000796,0.006400000000000427
TSLA,160.19,0.4,+19.05%,2.1,157.1,0.846,2023-04-28,157.5,0.72,155.0,0.32,weekly,1.499999999999993,0.03749999999999972
PINS,27.27,0.56,+38.89%,1.44,25.94,0.726,2023-04-28,26.5,0.88,24.5,0.32,weekly,1.2000000000000028,0.02142857142857149
BA,206.04,0.14,+5.93%,2.36,202.36,0.948,2023-04-28,202.5,0.25,200.0,0.11,weekly,0.9999999999999892,0.07142857142857076
SBUX,112.75,0.04,+4.17%,0.96,110.96,0.967,2023-04-28,111.0,0.1,110.0,0.06,weekly,0.7000000000000082,0.17499999999999935
SNAP,10.5,0.2,+66.67%,0.3,9.8,0.612,2023-05-05,10.0,0.73,9.5,0.53,weekly,0.5999999999999996,0.030000000000000023
ROKU,57.01,0.03,+3.09%,0.97,53.97,0.976,2023-04-28,54.0,0.1,53.0,0.07,weekly,0.5999999999999979,0.1999999999999993
AMZN,109.82,0.17,+20.48%,0.83,102.83,0.835,2023-04-28,103.0,1.36,102.0,1.19,weekly,0.4999999999999964,0.029411764705882172
MSFT,304.83,0.05,+2.04%,2.45,282.45,0.982,2023-05-05,282.5,0.31,280.0,0.26,weekly,0.4999999999999955,0.09999999999999917
AMZN,109.82,0.64,+47.06%,1.36,106.36,0.682,2023-04-28,107.0,2.7,105.0,2.06,weekly,0.4000000000000128,0.006250000000000096
DIS,99.93,0.04,+4.17%,0.96,97.96,0.962,2023-04-28,98.0,0.1,97.0,0.06,weekly,0.2000000000000077,0.049999999999999316
AMZN,109.82,0.73,+57.48%,1.27,107.27,0.636,2023-04-28,108.0,3.15,106.0,2.42,weekly,0.1999999999999957,0.002739726027397236
LCID,8.17,0.34,+51.52%,0.66,7.66,0.66,2023-05-05,8.0,0.45,7.0,0.11,weekly,3.552713678800501e-15,1.0775694062538284e-16
AMZN,109.82,3.0,+42.86%,7.0,106.0,0.7,2023-04-28,109.0,3.65,99.0,0.65,weekly,-2.8421709430404014e-14,-1.295260195396016e-16
