Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
PBR,11.74,0.27,+117.39%,0.23,11.23,65.8%,2023-04-28,11.5,0.6,11,0.33,weekly
PBR,11.74,0.53,+112.77%,0.47,10.97,73.3%,2023-04-28,11.5,0.6,10.5,0.07,weekly
MARA,9.46,0.67,+80.72%,0.83,8.33,60.2%,2023-06-16,9,1.59,7.5,0.92,monthly
PINS,26.61,0.43,+75.44%,0.57,26.07,56.3%,2023-04-28,26.5,1.31,25.5,0.88,weekly
TSLA,153.75,1.4,+72.54%,1.93,151.93,52.4%,2023-06-16,153.33,11.35,150,9.95,monthly
PBR,11.74,0.21,+72.41%,0.29,11.29,60.5%,2023-05-19,11.5,0.82,11,0.61,monthly
PINS,26.61,0.2,+66.67%,0.3,26.3,53.6%,2023-04-28,26.5,1.31,26,1.11,weekly
SQ,60.57,1.17,+63.93%,1.83,58.83,58.6%,2023-05-05,60,2.87,57,1.7,weekly
PINS,26.61,0.58,+63.04%,0.92,25.92,58.0%,2023-04-28,26.5,1.31,25,0.73,weekly
PINS,26.61,0.19,+61.29%,0.31,25.81,59.3%,2023-04-28,26,1.07,25.5,0.88,weekly
SNOW,147.06,3.8,+61.29%,6.2,141.2,57.5%,2023-06-16,145,11.1,135,7.3,monthly
SNAP,9.88,0.19,+61.29%,0.31,9.31,58.6%,2023-05-19,9.5,0.85,9,0.66,monthly
MARA,9.46,0.38,+61.29%,0.62,8.62,61.1%,2023-05-19,9,0.98,8,0.6,monthly
MU,61.02,0.38,+61.29%,0.62,60.62,54.2%,2023-05-05,61,1.45,60,1.07,weekly
TSLA,153.75,0.95,+61.29%,1.55,151.55,56.6%,2023-05-05,152.5,4.6,150,3.65,weekly
AMZN,104.98,0.75,+60.00%,1.25,103.25,57.5%,2023-04-28,104,3.1,102,2.35,weekly
NVDA,269.56,1.85,+58.73%,3.15,263.15,55.4%,2023-06-16,265,15.7,260,13.85,monthly
SQ,60.57,1.48,+58.73%,2.52,58.52,60.2%,2023-05-05,60,2.87,56,1.39,weekly
NFLX,321.15,1.85,+58.73%,3.15,318.15,52.8%,2023-06-16,320,15.15,315,13.3,monthly
AMZN,104.98,1.1,+57.89%,1.9,102.9,59.0%,2023-04-28,104,3.1,101,2,weekly
NVDA,269.56,2.7,+56.25%,4.8,264.8,56.7%,2023-05-19,267.5,9.75,260,7.05,monthly
NVDA,269.56,1.8,+56.25%,3.2,265.7,55.5%,2023-05-19,267.5,9.75,262.5,7.95,monthly
NVDA,269.56,0.9,+56.25%,1.6,266.6,54.2%,2023-05-19,267.5,9.75,265,8.85,monthly
MSFT,295.37,1.8,+56.25%,3.2,293.2,53.2%,2023-06-16,295,9.95,290,8.15,monthly
NVDA,269.56,0.9,+56.25%,1.6,266.6,56.5%,2023-05-05,267.5,6,265,5.1,weekly
AMZN,104.98,1.42,+55.04%,2.58,102.58,58.9%,2023-05-05,104,3.7,100,2.28,weekly
SQ,60.57,1.76,+54.32%,3.24,58.24,61.6%,2023-05-05,60,2.87,55,1.11,weekly
SNOW,147.06,1.75,+53.85%,3.25,143.25,58.1%,2023-05-19,145,6.3,140,4.55,monthly
NFLX,321.15,1.75,+53.85%,3.25,318.25,56.5%,2023-05-05,320,6.3,315,4.55,weekly
VLO,116.64,1.75,+53.85%,3.25,113.25,58.3%,2023-06-16,115,5.8,110,4.05,monthly
MRNA,130.72,1.75,+53.85%,3.25,128.25,55.5%,2023-05-19,130,6.5,125,4.75,monthly
AMZN,104.98,0.35,+53.85%,0.65,102.65,60.0%,2023-04-28,103,2.7,102,2.35,weekly
XOM,115.45,1.73,+52.91%,3.27,113.27,57.3%,2023-06-16,115,4.55,110,2.82,monthly
RIVN,12.04,0.69,+52.67%,1.31,11.31,60.6%,2023-05-19,12,1.06,10,0.37,monthly
RBLX,35.76,1.71,+51.98%,3.29,33.29,61.3%,2023-06-16,35,3.05,30,1.34,monthly
RIOT,10.91,0.17,+51.52%,0.33,10.33,61.2%,2023-05-05,10.5,0.62,10,0.45,weekly
SOFI,5.67,0.17,+51.52%,0.33,5.33,62.4%,2023-05-19,5.5,0.34,5,0.17,monthly
LOW,200.8,1.7,+51.52%,3.3,198.3,54.5%,2023-06-16,200,8.05,195,6.35,monthly
FSLR,199.51,2.55,+51.52%,4.95,194.95,58.3%,2023-05-05,197.5,7.4,190,4.85,weekly
MU,61.02,0.34,+51.52%,0.66,60.66,57.0%,2023-04-28,61,0.78,60,0.44,weekly
MSFT,295.37,3.4,+51.52%,6.6,291.6,55.6%,2023-06-16,295,9.95,285,6.55,monthly
MSFT,295.37,1.7,+51.52%,3.3,293.3,54.6%,2023-05-19,295,6.7,290,5,monthly
AMD,85.94,0.34,+51.52%,0.66,83.66,60.4%,2023-05-05,84,2.53,83,2.19,weekly
NVDA,269.56,4.2,+50.60%,8.3,263.3,58.9%,2023-05-19,267.5,9.75,255,5.55,monthly
XOM,115.45,1.68,+50.60%,3.32,113.32,60.2%,2023-05-19,115,3.25,110,1.57,monthly
AMZN,104.98,1,+50.00%,2,103,57.3%,2023-05-05,104,3.7,101,2.7,weekly
SCHW,50.6,0.83,+49.70%,1.67,49.17,57.4%,2023-06-16,50,2.75,47.5,1.92,monthly
AMD,85.94,1.32,+49.25%,2.68,82.68,61.6%,2023-05-19,84,3.4,80,2.08,monthly
CVNA,7.52,0.33,+49.25%,0.67,6.67,67.7%,2023-05-05,7,0.52,6,0.19,weekly
NVDA,269.56,3.25,+48.15%,6.75,261.75,56.6%,2023-06-16,265,15.7,255,12.45,monthly
TSLA,153.75,3.25,+48.15%,6.75,146.75,61.8%,2023-05-26,150,7.35,140,4.1,weekly
SNOW,147.06,3.2,+47.06%,6.8,141.8,61.2%,2023-05-19,145,6.3,135,3.1,monthly
MARA,9.46,0.16,+47.06%,0.34,8.84,62.3%,2023-05-05,9,0.56,8.5,0.4,weekly
AAL,12.74,0.16,+47.06%,0.34,12.34,60.8%,2023-05-19,12.5,0.45,12,0.29,monthly
HELE,81.8,1.6,+47.06%,3.4,78.4,58.1%,2023-05-19,80,6,75,4.4,monthly
QS,7.26,0.16,+47.06%,0.34,6.84,64.5%,2023-04-28,7,0.31,6.5,0.15,weekly
MARA,9.46,0.32,+47.06%,0.68,8.68,65.4%,2023-05-05,9,0.56,8,0.24,weekly
