Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
INTC,30.59,0.22,+78.57%,0.28,30.28,57.4%,2023-05-12,30.5,0.75,30,0.53,weekly
AMZN,105.25,0.42,+72.41%,0.58,104.58,54.7%,2023-05-12,105,2.26,104,1.84,weekly
AMZN,105.25,0.42,+72.41%,0.58,104.58,57.6%,2023-05-05,105,1.44,104,1.02,weekly
MARA,9.2,0.21,+72.41%,0.29,8.79,58.7%,2023-05-12,9,0.6,8.5,0.39,weekly
AMZN,105.25,0.8,+66.67%,1.2,104.2,57.3%,2023-05-12,105,2.26,103,1.46,weekly
AAPL,170.31,0.98,+64.47%,1.52,169.02,57.0%,2023-05-05,170,3.2,167.5,2.22,weekly
QCOM,116.35,1.17,+63.93%,1.83,113.83,61.1%,2023-05-05,115,3.3,112,2.13,weekly
AAPL,170.31,0.96,+62.34%,1.54,169.04,55.8%,2023-05-12,170,3.8,167.5,2.84,weekly
AMZN,105.25,0.75,+60.00%,1.25,104.25,61.2%,2023-05-05,105,1.44,103,0.69,weekly
TSLA,162.96,0.93,+59.24%,1.57,161.57,57.7%,2023-05-05,162.5,2.65,160,1.72,weekly
AMZN,105.25,1.11,+58.73%,1.89,103.89,59.5%,2023-05-12,105,2.26,102,1.15,weekly
UPST,12.21,0.18,+56.25%,0.32,11.82,63.3%,2023-05-05,12,0.45,11.5,0.27,weekly
AMZN,105.25,0.36,+56.25%,0.64,103.64,61.2%,2023-05-12,104,1.82,103,1.46,weekly
SNOW,145.24,0.36,+56.25%,0.64,143.64,58.6%,2023-05-05,144,3.15,143,2.79,weekly
NFLX,321.01,1.8,+56.25%,3.2,318.2,56.2%,2023-05-12,320,6.45,315,4.65,weekly
AAPL,170.31,1.75,+53.85%,3.25,168.25,59.0%,2023-05-12,170,3.8,165,2.05,weekly
AAPL,170.31,1.74,+53.37%,3.26,168.26,60.7%,2023-05-05,170,3.2,165,1.46,weekly
TGT,157.85,0.86,+52.44%,1.64,156.64,57.0%,2023-05-12,157.5,2.63,155,1.77,weekly
AMZN,105.25,1.36,+51.52%,2.64,103.64,61.2%,2023-05-12,105,2.26,101,0.9,weekly
AMZN,105.25,0.67,+50.38%,1.33,103.33,63.3%,2023-05-12,104,1.82,102,1.15,weekly
NVDA,275,1.65,+49.25%,3.35,273.35,53.7%,2023-05-12,275,5.4,270,3.75,weekly
