Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
BABA,85.76,0.75,+60.00%,1.25,83.25,0.642,2023-05-19,84.0,1.97,82.0,1.22,0.034,0.04533333333333334
BABA,85.76,0.39,+63.93%,0.61,83.61,0.622,2023-05-19,84.0,1.97,83.0,1.58,0.012,0.03076923076923082
AAPL,172.81,0.11,+4.60%,2.39,162.39,0.954,2023-05-26,162.5,0.38,160.0,0.27,-0.0049999999999998,-0.04545454545454648
GOOGL,117.23,0.03,+3.09%,0.97,109.97,0.962,2023-05-19,110.0,0.15,109.0,0.12,-0.0079999999999999,-0.2666666666666677
GOOGL,117.23,0.43,+75.44%,0.57,116.57,0.562,2023-05-19,117.0,1.64,116.0,1.21,-0.0079999999999999,-0.018604651162790534
AMZN,111.14,0.44,+78.57%,0.56,110.56,0.552,2023-05-19,111.0,1.8,110.0,1.36,-0.0079999999999999,-0.01818181818181812
GOOG,117.67,0.39,+63.93%,0.61,116.61,0.599,2023-05-19,117.0,1.45,116.0,1.06,-0.011,-0.0282051282051282
GOOGL,117.23,0.05,+5.26%,0.95,110.95,0.937,2023-05-19,111.0,0.21,110.0,0.16,-0.0129999999999999,-0.25999999999999884
AMC,5.2,0.15,+42.86%,0.35,4.85,0.6659999999999999,2023-05-26,5.0,0.28,4.5,0.13,-0.017,-0.11333333333333352
AMZN,111.14,0.14,+16.28%,0.86,106.86,0.836,2023-05-19,107.0,0.51,106.0,0.37,-0.024,-0.1714285714285716
GOOGL,117.23,0.05,+2.56%,1.95,109.95,0.963,2023-05-19,110.0,0.15,108.0,0.1,-0.024,-0.48000000000000115
GOOGL,117.23,0.33,+49.25%,0.67,115.67,0.645,2023-05-19,116.0,1.2,115.0,0.87,-0.0249999999999999,-0.07575757575757576
GOOG,117.67,0.1,+11.11%,0.9,112.9,0.8740000000000001,2023-05-19,113.0,0.37,112.0,0.27,-0.0259999999999998,-0.2599999999999988
GOOGL,117.23,0.12,+13.64%,0.88,112.88,0.8540000000000001,2023-05-19,113.0,0.42,112.0,0.3,-0.0259999999999999,-0.21666666666666595
PDD,64.23,0.19,+23.46%,0.81,60.81,0.784,2023-05-19,61.0,0.65,60.0,0.46,-0.0259999999999999,-0.13684210526315782
GOOG,117.67,0.22,+28.21%,0.78,114.78,0.754,2023-05-19,115.0,0.75,114.0,0.53,-0.0259999999999999,-0.11818181818181815
GOOGL,117.23,0.07,+7.53%,0.93,111.93,0.901,2023-05-19,112.0,0.29,111.0,0.22,-0.029,-0.414285714285714
GOOG,117.67,0.29,+40.85%,0.71,115.71,0.679,2023-05-19,116.0,1.05,115.0,0.76,-0.0309999999999999,-0.10689655172413778
UPST,16.27,0.35,+53.85%,0.65,15.65,0.619,2023-05-19,16.0,0.68,15.0,0.33,-0.031,-0.08857142857142859
AMZN,111.14,0.8,+66.67%,1.2,110.2,0.584,2023-05-19,111.0,1.8,109.0,1.0,-0.032,-0.04
AMZN,111.14,0.26,+35.14%,0.74,107.74,0.706,2023-05-26,108.0,1.35,107.0,1.09,-0.034,-0.13076923076923086
GOOGL,117.23,0.09,+4.71%,1.91,110.91,0.938,2023-05-19,111.0,0.21,109.0,0.12,-0.0340000000000001,-0.377777777777779
GOOG,117.67,0.14,+16.28%,0.86,113.86,0.8190000000000001,2023-05-19,114.0,0.52,113.0,0.38,-0.0409999999999999,-0.2928571428571423
GOOGL,117.23,0.77,+62.60%,1.23,116.23,0.594,2023-05-19,117.0,1.64,115.0,0.87,-0.042,-0.0545454545454545
AMZN,111.14,0.2,+25.00%,0.8,106.8,0.7559999999999999,2023-05-26,107.0,1.08,106.0,0.88,-0.044,-0.22000000000000053
AMZN,111.14,0.42,+72.41%,0.58,110.58,0.535,2023-05-26,111.0,2.5,110.0,2.08,-0.0449999999999999,-0.10714285714285705
SCHW,49.03,0.12,+31.58%,0.38,47.88,0.66,2023-05-19,48.0,0.7,47.5,0.58,-0.0499999999999999,-0.4166666666666666
GOOG,117.67,0.11,+5.82%,1.89,111.89,0.918,2023-05-19,112.0,0.26,110.0,0.15,-0.0540000000000001,-0.4909090909090901
GOOG,117.67,0.69,+52.67%,1.31,116.31,0.626,2023-05-19,117.0,1.45,115.0,0.76,-0.058,-0.08405797101449276
SCHW,49.03,0.14,+38.89%,0.36,48.36,0.594,2023-05-19,48.5,0.87,48.0,0.73,-0.063,-0.4499999999999999
GOOGL,117.23,0.13,+6.95%,1.87,111.87,0.903,2023-05-19,112.0,0.29,110.0,0.16,-0.0639999999999999,-0.4923076923076919
GOOG,117.67,0.26,+14.94%,1.74,111.74,0.838,2023-05-26,112.0,0.69,110.0,0.43,-0.064,-0.2461538461538463
TSLA,171.56,0.36,+16.82%,2.14,157.14,0.83,2023-05-26,157.5,1.76,155.0,1.4,-0.0650000000000001,-0.1805555555555559
GOOGL,117.23,0.8,+66.67%,1.2,116.2,0.5670000000000001,2023-05-26,117.0,2.35,115.0,1.55,-0.0659999999999998,-0.08249999999999981
PACW,4.7,0.15,+42.86%,0.35,4.35,0.568,2023-05-19,4.5,0.8,4.0,0.65,-0.066,-0.44000000000000006
PBR,12.02,0.13,+35.14%,0.37,11.87,0.599,2023-05-19,12.0,0.22,11.5,0.09,-0.0705,-0.5423076923076924
PDD,64.23,1.08,+56.25%,1.92,62.92,0.616,2023-05-19,64.0,1.77,61.0,0.69,-0.0719999999999999,-0.06666666666666651
AMZN,111.14,0.81,+68.07%,1.19,110.19,0.5589999999999999,2023-05-26,111.0,2.5,109.0,1.69,-0.0720000000000001,-0.08888888888888898
GOOGL,117.23,0.11,+3.81%,2.89,110.89,0.939,2023-05-19,111.0,0.21,108.0,0.1,-0.0729999999999998,-0.663636363636365
GOOGL,117.23,0.59,+41.84%,1.41,115.41,0.6679999999999999,2023-05-19,116.0,1.2,114.0,0.61,-0.0740000000000001,-0.12542372881355965
SHOP,61.88,0.3,+42.86%,0.7,60.7,0.624,2023-05-19,61.0,1.01,60.0,0.71,-0.0759999999999999,-0.25333333333333324
AMZN,111.14,0.39,+24.22%,1.61,106.61,0.765,2023-05-26,107.0,1.08,105.0,0.69,-0.08,-0.20512820512820507
ATVI,77.57,0.53,+54.64%,0.97,76.97,0.591,2023-05-19,77.5,1.0,76.0,0.47,-0.0835,-0.15754716981132078
GOOGL,117.23,0.2,+11.11%,1.8,112.8,0.858,2023-05-19,113.0,0.42,111.0,0.22,-0.084,-0.42000000000000004
GOOG,117.67,0.52,+35.14%,1.48,115.48,0.698,2023-05-19,116.0,1.05,114.0,0.53,-0.084,-0.1615384615384617
SNOW,168.66,0.95,+61.29%,1.55,166.55,0.585,2023-05-19,167.5,3.5,165.0,2.55,-0.0875000000000001,-0.09210526315789494
GOOG,117.67,0.15,+5.26%,2.85,111.85,0.92,2023-05-19,112.0,0.26,109.0,0.11,-0.0899999999999998,-0.5999999999999993
TSLA,171.56,0.57,+29.53%,1.93,161.93,0.735,2023-05-26,162.5,2.85,160.0,2.28,-0.0925,-0.16228070175438608
SCHW,49.03,0.29,+40.85%,0.71,48.21,0.615,2023-05-19,48.5,0.87,47.5,0.58,-0.095,-0.3275862068965517
AMZN,111.14,0.47,+30.72%,1.53,107.53,0.7170000000000001,2023-05-26,108.0,1.35,106.0,0.88,-0.0959999999999998,-0.2042553191489359
GOOGL,117.23,0.3,+17.65%,1.7,113.7,0.802,2023-05-19,114.0,0.6,112.0,0.3,-0.0959999999999998,-0.3199999999999996
GOOG,117.67,0.25,+14.29%,1.75,113.75,0.826,2023-05-19,114.0,0.52,112.0,0.27,-0.0980000000000001,-0.39200000000000035
GOOG,117.67,0.37,+22.70%,1.63,114.63,0.7659999999999999,2023-05-19,115.0,0.75,113.0,0.38,-0.0980000000000002,-0.26486486486486527
TSLA,171.56,0.93,+59.24%,1.57,169.07,0.5870000000000001,2023-05-19,170.0,3.8,167.5,2.87,-0.1024999999999998,-0.11021505376344065
AMZN,111.14,1.07,+55.44%,1.93,109.93,0.607,2023-05-19,111.0,1.8,108.0,0.73,-0.1089999999999999,-0.10186915887850458
NFLX,340.87,0.32,+14.68%,2.18,327.18,0.828,2023-05-19,327.5,1.5,325.0,1.18,-0.1100000000000001,-0.34375000000000044
GOOGL,117.23,0.13,+3.36%,3.87,110.87,0.94,2023-05-19,111.0,0.21,107.0,0.08,-0.1100000000000002,-0.8461538461538477
GOOGL,117.23,0.17,+6.01%,2.83,111.83,0.905,2023-05-19,112.0,0.29,109.0,0.12,-0.1149999999999999,-0.6764705882352936
GOOGL,117.23,1.03,+52.28%,1.97,115.97,0.618,2023-05-19,117.0,1.64,114.0,0.61,-0.1159999999999999,-0.11262135922330095
AAPL,172.81,0.34,+15.74%,2.16,167.16,0.816,2023-05-26,167.5,0.95,165.0,0.61,-0.1200000000000001,-0.35294117647058854
ATVI,77.57,0.13,+14.94%,0.87,75.87,0.7440000000000001,2023-05-19,76.0,0.43,75.0,0.3,-0.1259999999999999,-0.9692307692307683
TTD,63.76,0.16,+19.05%,0.84,61.84,0.708,2023-05-19,62.0,0.6,61.0,0.44,-0.132,-0.8250000000000001
NVDA,283.4,1.05,+72.41%,1.45,281.45,0.525,2023-05-26,282.5,11.6,280.0,10.55,-0.1374999999999999,-0.1309523809523809
TTD,63.76,0.07,+7.53%,0.93,60.93,0.792,2023-05-19,61.0,0.4,60.0,0.33,-0.1379999999999999,-1.9714285714285709
GOOG,117.67,0.92,+44.23%,2.08,116.08,0.647,2023-05-19,117.0,1.45,114.0,0.53,-0.139,-0.1510869565217391
GOOG,117.67,0.22,+7.91%,2.78,112.78,0.88,2023-05-19,113.0,0.37,110.0,0.15,-0.1399999999999999,-0.6363636363636362
SCHW,49.03,0.41,+37.61%,1.09,48.09,0.632,2023-05-19,48.5,0.87,47.0,0.46,-0.142,-0.3463414634146342
TSLA,171.56,0.8,+47.06%,1.7,166.7,0.622,2023-05-26,167.5,4.45,165.0,3.65,-0.1449999999999999,-0.18124999999999994
PDD,64.23,1.31,+48.70%,2.69,62.69,0.636,2023-05-19,64.0,1.77,60.0,0.46,-0.1459999999999999,-0.11145038167938924
AMZN,111.14,0.66,+28.21%,2.34,107.34,0.728,2023-05-26,108.0,1.35,105.0,0.69,-0.156,-0.23636363636363628
GOOGL,117.23,0.26,+9.49%,2.74,112.74,0.861,2023-05-19,113.0,0.42,110.0,0.16,-0.157,-0.6038461538461541
AMZN,111.14,0.8,+36.36%,2.2,108.2,0.68,2023-05-26,109.0,1.68,106.0,0.88,-0.1599999999999999,-0.19999999999999976
NFLX,340.87,0.66,+35.87%,1.84,334.34,0.672,2023-05-19,335.0,3.25,332.5,2.59,-0.1599999999999999,-0.24242424242424226
GOOGL,117.23,0.14,+2.88%,4.86,110.86,0.94,2023-05-19,111.0,0.21,106.0,0.07,-0.1600000000000003,-1.1428571428571448
GOOG,117.67,0.7,+30.43%,2.3,114.3,0.71,2023-05-26,115.0,1.4,112.0,0.7,-0.1700000000000001,-0.242857142857143
NFLX,340.87,0.95,+61.29%,1.55,339.05,0.5489999999999999,2023-05-19,340.0,5.15,337.5,4.2,-0.1775000000000002,-0.18684210526315817
GOOGL,117.23,0.77,+34.53%,2.23,115.23,0.684,2023-05-19,116.0,1.2,113.0,0.43,-0.1779999999999998,-0.23116883116883094
AAPL,172.81,0.88,+54.32%,1.62,171.62,0.574,2023-05-26,172.5,2.43,170.0,1.55,-0.185,-0.21022727272727285
GOOGL,117.23,0.19,+4.99%,3.81,111.81,0.906,2023-05-19,112.0,0.29,108.0,0.1,-0.1860000000000003,-0.9789473684210521
GOOGL,117.23,0.38,+14.50%,2.62,113.62,0.8079999999999999,2023-05-19,114.0,0.6,111.0,0.22,-0.1960000000000001,-0.515789473684211
FHN,9.6,0.05,+5.26%,0.95,8.95,0.753,2023-05-19,9.0,0.2,8.0,0.15,-0.197,-3.9399999999999995
GOOG,117.67,0.67,+28.76%,2.33,115.33,0.711,2023-05-19,116.0,1.05,113.0,0.38,-0.1970000000000001,-0.29402985074626886
GOOG,117.67,0.48,+19.05%,2.52,114.52,0.774,2023-05-19,115.0,0.75,112.0,0.27,-0.1979999999999999,-0.41249999999999987
NVDA,283.4,3.15,+72.41%,4.35,279.35,0.552,2023-05-26,282.5,11.6,275.0,8.45,-0.2099999999999995,-0.06666666666666657
GOOGL,117.23,0.15,+2.56%,5.85,110.85,0.94,2023-05-19,111.0,0.21,105.0,0.06,-0.2100000000000003,-1.4000000000000021
GOOG,117.67,0.26,+6.95%,3.74,112.74,0.882,2023-05-19,113.0,0.37,109.0,0.11,-0.212,-0.8153846153846153
GOOG,117.67,0.41,+11.42%,3.59,111.59,0.8440000000000001,2023-05-26,112.0,0.69,108.0,0.28,-0.2139999999999996,-0.5219512195121944
NFLX,340.87,0.75,+42.86%,1.75,336.75,0.61,2023-05-19,337.5,4.1,335.0,3.35,-0.2249999999999999,-0.3000000000000001
NFLX,340.87,0.82,+19.62%,4.18,329.18,0.79,2023-05-19,330.0,2.0,325.0,1.18,-0.2299999999999997,-0.28048780487804853
AMZN,111.14,1.18,+41.84%,2.82,108.82,0.643,2023-05-26,110.0,2.06,106.0,0.88,-0.248,-0.21016949152542364
GOOGL,117.23,0.3,+8.11%,3.7,112.7,0.863,2023-05-19,113.0,0.42,109.0,0.12,-0.248,-0.826666666666667
AMZN,111.14,0.99,+32.89%,3.01,108.01,0.69,2023-05-26,109.0,1.68,105.0,0.69,-0.2500000000000001,-0.25252525252525265
GOOGL,117.23,1.21,+43.37%,2.79,115.79,0.634,2023-05-19,117.0,1.64,113.0,0.43,-0.254,-0.20991735537190084
GOOGL,117.23,0.21,+4.38%,4.79,111.79,0.907,2023-05-19,112.0,0.29,107.0,0.08,-0.2549999999999999,-1.2142857142857137
ATVI,77.57,0.7,+38.89%,1.8,76.8,0.616,2023-05-19,77.5,1.0,75.0,0.3,-0.26,-0.3714285714285716
GOOG,117.67,1.07,+36.52%,2.93,115.93,0.66,2023-05-19,117.0,1.45,113.0,0.38,-0.2899999999999999,-0.2710280373831775
TTD,63.76,0.27,+15.61%,1.73,61.73,0.7190000000000001,2023-05-19,62.0,0.6,60.0,0.33,-0.2919999999999998,-1.0814814814814808
GOOG,117.67,0.37,+10.19%,3.63,113.63,0.833,2023-05-19,114.0,0.52,110.0,0.15,-0.2980000000000001,-0.8054054054054057
GOOGL,117.23,0.44,+12.36%,3.56,113.56,0.812,2023-05-19,114.0,0.6,110.0,0.16,-0.3119999999999997,-0.7090909090909087
GOOGL,117.23,0.9,+29.03%,3.1,115.1,0.695,2023-05-19,116.0,1.2,112.0,0.3,-0.3200000000000003,-0.3555555555555557
NFLX,340.87,1.24,+32.98%,3.76,333.76,0.687,2023-05-19,335.0,3.25,330.0,2.01,-0.3249999999999996,-0.2620967741935481
