Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
UPST,26.66,0.51,+104.08%,0.49,25.99,56.7%,2023-05-26,26.5,1.49,25.5,0.98
UPST,26.66,0.73,+94.81%,0.77,25.77,58.8%,2023-05-26,26.5,1.49,25,0.76
UPST,26.66,0.23,+85.19%,0.27,25.77,58.8%,2023-05-26,26,1.21,25.5,0.98
UPST,26.66,0.91,+83.49%,1.09,25.59,60.6%,2023-05-26,26.5,1.49,24.5,0.58
AMD,108.29,0.45,+81.82%,0.55,107.55,55.9%,2023-05-26,108,1.91,107,1.46
UPST,26.66,0.45,+81.82%,0.55,25.55,61.0%,2023-05-26,26,1.21,25,0.76
AMZN,115.87,0.45,+81.82%,0.55,115.55,55.1%,2023-05-26,116,1.52,115,1.07
NVDA,308.29,1.1,+78.57%,1.4,303.9,56.6%,2023-05-26,305,8.85,302.5,7.75
UPST,26.66,1.06,+73.61%,1.44,25.44,62.1%,2023-05-26,26.5,1.49,24,0.43
UPST,26.66,0.63,+72.41%,0.87,25.37,62.8%,2023-05-26,26,1.21,24.5,0.58
DOCU,54.69,0.42,+72.41%,0.58,54.58,57.5%,2023-05-26,55,1.12,54,0.7
COIN,60.2,0.82,+69.49%,1.18,59.18,59.8%,2023-05-26,60,1.9,58,1.08
AMD,108.29,0.82,+69.49%,1.18,107.18,58.7%,2023-05-26,108,1.91,106,1.09
UPST,26.66,0.2,+66.67%,0.3,25.3,63.5%,2023-05-26,25.5,0.96,25,0.76
AMZN,115.87,0.8,+66.67%,1.2,115.2,58.9%,2023-05-26,116,1.52,114,0.72
UPST,26.66,1.18,+64.84%,1.82,25.32,63.3%,2023-05-26,26.5,1.49,23.5,0.31
UPST,26.66,0.78,+63.93%,1.22,25.22,64.3%,2023-05-26,26,1.21,24,0.43
UPST,26.66,0.38,+61.29%,0.62,25.12,65.2%,2023-05-26,25.5,0.96,24.5,0.58
AMD,108.29,1.11,+58.73%,1.89,106.89,60.9%,2023-05-26,108,1.91,105,0.8
TSLA,187.12,0.9,+56.25%,1.6,184.1,63.2%,2023-05-26,185,2.77,182.5,1.87
UPST,26.66,0.9,+56.25%,1.6,25.1,65.4%,2023-05-26,26,1.21,23.5,0.31
UPST,26.66,1.26,+56.25%,2.24,25.24,64.1%,2023-05-26,26.5,1.49,23,0.23
KSS,19.45,0.36,+56.25%,0.64,18.64,62.0%,2023-05-26,19,0.84,18,0.48
PLTR,12.59,0.18,+56.25%,0.32,12.32,59.4%,2023-05-26,12.5,0.36,12,0.18
META,249.02,0.89,+55.28%,1.61,246.61,62.2%,2023-05-26,247.5,2.46,245,1.57
UPST,26.66,0.53,+54.64%,0.97,24.97,66.7%,2023-05-26,25.5,0.96,24,0.43
AMD,108.29,0.35,+53.85%,0.65,106.65,62.6%,2023-05-26,107,1.44,106,1.09
AMD,108.29,1.34,+50.38%,2.66,106.66,62.6%,2023-05-26,108,1.91,104,0.57
