Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
RIOT,10.52,0.24,+92.31%,0.26,10.26,54.9%,2023-05-12,10.5,0.82,10,0.58,weekly
PTON,9.07,0.21,+72.41%,0.29,8.79,55.5%,2023-05-05,9,0.77,8.5,0.56,weekly
AMC,5.65,0.21,+72.41%,0.29,5.29,62.6%,2023-05-12,5.5,0.43,5,0.22,weekly
AMD,89.69,0.79,+65.29%,1.21,88.21,57.0%,2023-05-05,89,3,87,2.21,weekly
AMD,89.69,1.16,+63.04%,1.84,87.84,58.7%,2023-05-05,89,3,86,1.84,weekly
DIS,102.21,0.77,+62.60%,1.23,101.23,55.1%,2023-05-12,102,2.84,100,2.07,weekly
RIVN,12.65,0.19,+61.29%,0.31,12.31,55.8%,2023-05-12,12.5,0.86,12,0.67,weekly
AMD,89.69,0.38,+61.29%,0.62,88.62,55.0%,2023-05-05,89,3,88,2.62,weekly
COIN,50.14,1.88,+60.26%,3.12,48.12,57.9%,2023-05-12,50,3.95,45,2.07,weekly
AMD,89.69,1.49,+59.36%,2.51,87.51,60.3%,2023-05-05,89,3,85,1.51,weekly
RIVN,12.65,0.37,+58.73%,0.63,12.13,58.8%,2023-05-12,12.5,0.86,11.5,0.49,weekly
AMD,89.69,0.73,+57.48%,1.27,87.27,61.4%,2023-05-05,88,2.57,86,1.84,weekly
SBUX,114.56,0.73,+57.48%,1.27,113.27,57.0%,2023-05-05,114,2.58,112,1.85,weekly
META,243.18,0.9,+56.25%,1.6,241.6,56.8%,2023-05-05,242.5,3.25,240,2.35,weekly
PFE,39.21,0.36,+56.25%,0.64,38.64,61.0%,2023-05-12,39,0.77,38,0.41,weekly
AMD,89.69,0.36,+56.25%,0.64,87.64,59.7%,2023-05-05,88,2.57,87,2.21,weekly
QCOM,115.84,0.72,+56.25%,1.28,114.28,56.8%,2023-05-05,115,3.15,113,2.43,weekly
AMD,89.69,1.06,+54.64%,1.94,86.94,62.9%,2023-05-05,88,2.57,85,1.51,weekly
AMD,89.69,1.76,+54.32%,3.24,87.24,61.5%,2023-05-05,89,3,84,1.24,weekly
GOOGL,107.2,0.69,+52.67%,1.31,106.31,56.6%,2023-05-12,107,1.93,105,1.24,weekly
PARA,23.44,0.17,+51.52%,0.33,22.83,60.5%,2023-05-05,23,0.7,22.5,0.53,weekly
PFE,39.21,0.17,+51.52%,0.33,38.83,59.2%,2023-05-05,39,0.54,38.5,0.37,weekly
AMD,89.69,2,+50.00%,4,87,62.6%,2023-05-05,89,3,83,1,weekly
AMD,89.69,1.33,+49.81%,2.67,86.67,64.1%,2023-05-05,88,2.57,84,1.24,weekly
TSLA,161.83,1.65,+49.25%,3.35,158.35,60.5%,2023-05-12,160,4.25,155,2.6,weekly
GOOGL,107.2,0.99,+49.25%,2.01,106.01,58.8%,2023-05-12,107,1.93,104,0.94,weekly
GOOGL,107.2,0.33,+49.25%,0.67,106.67,56.8%,2023-05-05,107,1.08,106,0.75,weekly
SBUX,114.56,1.32,+49.25%,2.68,112.68,60.2%,2023-05-05,114,2.58,110,1.26,weekly
DIS,102.21,0.33,+49.25%,0.67,101.67,57.1%,2023-05-05,102,1.02,101,0.69,weekly
PYPL,75.11,0.33,+49.25%,0.67,74.67,56.3%,2023-05-05,75,1,74,0.67,weekly
META,243.18,1.63,+48.37%,3.37,240.87,59.9%,2023-05-05,242.5,3.25,237.5,1.62,weekly
TSLA,161.83,0.81,+47.93%,1.69,159.19,62.3%,2023-05-05,160,2.51,157.5,1.7,weekly
MSFT,305.56,1.61,+47.49%,3.39,303.39,57.5%,2023-05-12,305,4.05,300,2.44,weekly
NFLX,324.12,0.8,+47.06%,1.7,321.7,57.9%,2023-05-05,322.5,3.9,320,3.1,weekly
QCOM,115.84,0.32,+47.06%,0.68,114.68,55.0%,2023-05-05,115,3.15,114,2.83,weekly
F,12.06,0.16,+47.06%,0.34,11.84,60.1%,2023-05-05,12,0.31,11.5,0.15,weekly
AMD,89.69,0.64,+47.06%,1.36,86.36,65.5%,2023-05-05,87,2.15,85,1.51,weekly
CVNA,6.93,0.16,+47.06%,0.34,6.34,65.1%,2023-05-05,6.5,0.41,6,0.25,weekly
PARA,23.44,0.32,+47.06%,0.68,22.68,63.0%,2023-05-05,23,0.7,22,0.38,weekly
F,12.06,0.16,+47.06%,0.34,11.84,58.7%,2023-05-12,12,0.37,11.5,0.21,weekly
AAPL,169.59,0.79,+46.20%,1.71,166.71,63.3%,2023-05-05,167.5,2.43,165,1.64,weekly
AMD,89.69,2.21,+46.14%,4.79,86.79,63.6%,2023-05-05,89,3,82,0.79,weekly
AMD,89.69,1.57,+45.77%,3.43,86.43,65.2%,2023-05-05,88,2.57,83,1,weekly
PFE,39.21,0.31,+44.93%,0.69,38.69,62.5%,2023-05-05,39,0.54,38,0.23,weekly
AMD,89.69,0.31,+44.93%,0.69,86.69,64.0%,2023-05-05,87,2.15,86,1.84,weekly
GOOGL,107.2,0.31,+44.93%,0.69,106.69,53.8%,2023-05-12,107,1.93,106,1.62,weekly
UBER,32.74,0.31,+44.93%,0.69,31.19,67.4%,2023-05-05,31.5,0.82,30.5,0.51,weekly
DKNG,22.6,0.31,+44.93%,0.69,21.69,62.3%,2023-05-05,22,0.87,21,0.56,weekly
GOOGL,107.2,0.61,+43.88%,1.39,106.39,60.3%,2023-05-05,107,1.08,105,0.47,weekly
AMD,89.69,0.91,+43.54%,2.09,86.09,66.8%,2023-05-05,87,2.15,84,1.24,weekly
GOOGL,107.2,1.21,+43.37%,2.79,105.79,60.4%,2023-05-12,107,1.93,103,0.72,weekly
