Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
UPST,15.77,1.03,+70.07%,1.47,13.97,0.638,2023-05-19,15.0,1.96,12.5,0.93,monthly,12.5,0.12135922330097093
RIOT,12.11,1.29,+75.44%,1.71,10.71,0.607,2023-06-16,12.0,2.07,9.0,0.78,monthly,11.099999999999994,0.08604651162790695
RIOT,12.11,0.76,+61.29%,1.24,10.24,0.644,2023-06-16,11.0,1.54,9.0,0.78,monthly,4.800000000000004,0.06315789473684218
RIOT,12.11,0.49,+96.08%,0.51,11.51,0.545,2023-06-16,12.0,2.07,11.0,1.58,monthly,3.500000000000004,0.07142857142857141
NFLX,323.12,0.04,+1.63%,2.46,299.96,0.986,2023-04-21,300.0,0.2,297.5,0.16,monthly,0.4999999999999969,0.12499999999999939
BX,92.55,0.05,+5.26%,0.95,85.95,0.933,2023-04-21,86.0,0.2,85.0,0.15,monthly,-1.7000000000000055,-0.3399999999999989
SCHW,55.55,0.03,+6.38%,0.47,53.47,0.895,2023-04-21,53.5,0.1,53.0,0.07,monthly,-2.2499999999999987,-0.7499999999999999
BX,92.55,0.04,+1.35%,2.96,83.96,0.976,2023-04-21,84.0,0.11,81.0,0.07,monthly,-3.2000000000000064,-0.8000000000000015
ADBE,380.11,0.04,+1.63%,2.46,367.46,0.971,2023-04-21,367.5,0.22,365.0,0.18,monthly,-3.2500000000000067,-0.8125000000000013
NFLX,323.12,0.09,+1.83%,4.91,302.41,0.975,2023-04-21,302.5,0.25,297.5,0.16,monthly,-3.5000000000000107,-0.38888888888889017
UPST,15.77,0.13,+35.14%,0.37,15.37,0.667,2023-04-21,15.5,0.27,15.0,0.14,monthly,-3.649999999999997,-0.28076923076923055
GM,34.58,0.03,+6.38%,0.47,33.47,0.857,2023-04-21,33.5,0.1,33.0,0.07,monthly,-4.150000000000001,-1.3833333333333337
UPST,15.77,0.05,+11.11%,0.45,14.95,0.815,2023-04-21,15.0,0.11,14.5,0.06,monthly,-4.250000000000004,-0.8500000000000004
AA,41.22,0.07,+16.28%,0.43,38.93,0.764,2023-04-21,39.0,0.42,38.5,0.35,monthly,-4.799999999999999,-0.6857142857142855
UAL,46.27,0.12,+13.64%,0.88,41.88,0.828,2023-05-19,42.0,0.55,41.0,0.43,monthly,-5.200000000000003,-0.4333333333333338
NFLX,323.12,0.12,+5.04%,2.38,307.38,0.93,2023-04-21,307.5,0.56,305.0,0.44,monthly,-5.499999999999989,-0.45833333333333226
