Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
UPST,26.74,1.05,+72.41%,1.45,25.45,0.627,2023-05-26,26.5,1.47,24.0,0.42,0.1175,0.1119047619047619
UPST,26.74,0.89,+80.18%,1.11,25.61,0.612,2023-05-26,26.5,1.47,24.5,0.58,0.1139999999999999,0.1280898876404494
UPST,26.74,0.71,+89.87%,0.79,25.79,0.594,2023-05-26,26.5,1.47,25.0,0.76,0.1009999999999999,0.14225352112676048
UPST,26.74,1.16,+63.04%,1.84,25.34,0.638,2023-05-26,26.5,1.47,23.5,0.31,0.0739999999999999,0.06379310344827585
UPST,26.74,0.77,+62.60%,1.23,25.23,0.649,2023-05-26,26.0,1.19,24.0,0.42,0.068,0.08831168831168841
UPST,26.74,0.61,+68.54%,0.89,25.39,0.633,2023-05-26,26.0,1.19,24.5,0.58,0.0595,0.09754098360655741
NFLX,358.3,1.15,+85.19%,1.35,356.35,0.561,2023-05-26,357.5,5.6,355.0,4.45,0.0524999999999999,0.04565217391304352
UPST,26.74,0.48,+92.31%,0.52,26.02,0.5710000000000001,2023-05-26,26.5,1.47,25.5,0.99,0.051,0.10625000000000011
UPST,26.74,0.43,+75.44%,0.57,25.57,0.616,2023-05-26,26.0,1.19,25.0,0.76,0.046,0.10697674418604647
UPST,26.74,0.52,+53.06%,0.98,24.98,0.6729999999999999,2023-05-26,25.5,0.94,24.0,0.42,0.0294999999999999,0.05673076923076907
UPST,26.74,0.88,+54.32%,1.62,25.12,0.659,2023-05-26,26.0,1.19,23.5,0.31,0.0274999999999999,0.03125000000000004
AMD,108.18,0.86,+75.44%,1.14,107.14,0.58,2023-05-26,108.0,2.09,106.0,1.23,0.0199999999999999,0.023255813953488295
TSLA,186.71,0.97,+63.40%,1.53,184.03,0.619,2023-05-26,185.0,2.94,182.5,1.97,0.0174999999999999,0.018041237113401998
UPST,26.74,0.36,+56.25%,0.64,25.14,0.657,2023-05-26,25.5,0.94,24.5,0.58,0.017,0.047222222222222304
UPST,26.74,1.25,+55.56%,2.25,25.25,0.647,2023-05-26,26.5,1.47,23.0,0.22,0.0145000000000001,0.011600000000000055
AMD,108.18,0.46,+85.19%,0.54,107.54,0.5489999999999999,2023-05-26,108.0,2.09,107.0,1.63,0.0089999999999999,0.019565217391304214
NVDA,307.61,0.85,+51.52%,1.65,296.65,0.6629999999999999,2023-05-26,297.5,6.0,295.0,5.15,0.0074999999999998,0.00882352941176444
AMD,108.18,1.19,+65.75%,1.81,106.81,0.605,2023-05-26,108.0,2.09,105.0,0.9,0.0049999999999998,0.004201680672268813
UPST,26.74,0.18,+56.25%,0.32,25.32,0.64,2023-05-26,25.5,0.94,25.0,0.76,0.0,0.0
UPST,26.74,0.2,+66.67%,0.3,25.8,0.593,2023-05-26,26.0,1.19,25.5,0.99,-0.0035,-0.017499999999999984
UPST,26.74,0.63,+45.99%,1.37,24.87,0.6829999999999999,2023-05-26,25.5,0.94,23.5,0.31,-0.0040000000000001,-0.006349206349206535
NVDA,307.61,1.1,+78.57%,1.4,303.9,0.556,2023-05-26,305.0,9.35,302.5,8.25,-0.0099999999999997,-0.009090909090908917
AMD,108.18,0.37,+58.73%,0.63,106.63,0.618,2023-05-26,107.0,1.6,106.0,1.23,-0.012,-0.03243243243243241
KSS,19.41,0.37,+58.73%,0.63,18.63,0.618,2023-05-26,19.0,0.87,18.0,0.5,-0.012,-0.03243243243243241
WFC,41.65,0.07,+16.28%,0.43,40.43,0.835,2023-05-26,40.5,0.18,40.0,0.11,-0.0125,-0.17857142857142871
PLTR,12.57,0.19,+61.29%,0.31,12.31,0.5920000000000001,2023-05-26,12.5,0.39,12.0,0.2,-0.0139999999999999,-0.07368421052631552
AMD,108.18,0.7,+53.85%,1.3,106.3,0.643,2023-05-26,107.0,1.6,105.0,0.9,-0.014,-0.019999999999999973
COIN,59.86,0.38,+61.29%,0.62,58.62,0.602,2023-05-26,59.0,1.65,58.0,1.27,-0.018,-0.04736842105263161
MU,66.5,0.23,+29.87%,0.77,64.77,0.7509999999999999,2023-05-26,65.0,0.51,64.0,0.28,-0.0190000000000001,-0.08260869565217441
KSS,19.41,0.15,+42.86%,0.35,18.35,0.659,2023-05-26,18.5,0.65,18.0,0.5,-0.0204999999999999,-0.1366666666666665
ROKU,57.01,0.32,+47.06%,0.68,55.68,0.659,2023-05-26,56.0,0.95,55.0,0.63,-0.0209999999999999,-0.06562499999999989
META,248.12,1.02,+68.92%,1.48,246.48,0.583,2023-05-26,247.5,2.94,245.0,1.92,-0.0225,-0.022058823529411818
UPST,26.74,0.97,+47.78%,2.03,25.03,0.6679999999999999,2023-05-26,26.0,1.19,23.0,0.22,-0.0260000000000002,-0.026804123711340357
WFC,41.65,0.11,+28.21%,0.39,40.89,0.727,2023-05-26,41.0,0.3,40.5,0.19,-0.0265,-0.24090909090909104
SCHW,52.75,0.09,+21.95%,0.41,51.41,0.765,2023-05-26,51.5,0.3,51.0,0.21,-0.0274999999999999,-0.30555555555555547
ROKU,57.01,0.21,+26.58%,0.79,54.79,0.754,2023-05-26,55.0,0.6,54.0,0.39,-0.036,-0.1714285714285715
DAL,36.13,0.16,+47.06%,0.34,35.84,0.591,2023-05-26,36.0,0.46,35.5,0.3,-0.0445,-0.27812500000000007
OXY,60.19,0.33,+49.25%,0.67,59.67,0.625,2023-05-26,60.0,0.63,59.0,0.3,-0.045,-0.13636363636363644
TSLA,186.71,0.68,+37.36%,1.82,181.82,0.71,2023-05-26,182.5,1.95,180.0,1.27,-0.045,-0.06617647058823535
SQ,61.77,0.21,+26.58%,0.79,59.79,0.7440000000000001,2023-05-26,60.0,0.53,59.0,0.32,-0.0459999999999999,-0.21904761904761866
SCHW,52.75,0.16,+47.06%,0.34,52.34,0.5870000000000001,2023-05-26,52.5,0.62,52.0,0.46,-0.0464999999999999,-0.2906249999999998
PANW,189.69,1.7,+51.52%,3.3,183.3,0.65,2023-05-26,185.0,4.5,180.0,2.8,-0.0499999999999998,-0.029411764705882328
VFC,19.33,0.1,+25.00%,0.4,17.9,0.698,2023-05-26,18.0,0.55,17.5,0.45,-0.051,-0.5100000000000002
UPST,26.74,0.72,+40.45%,1.78,24.78,0.691,2023-05-26,25.5,0.94,23.0,0.22,-0.0525000000000001,-0.07291666666666692
AMD,108.18,1.45,+56.86%,2.55,106.55,0.624,2023-05-26,108.0,2.09,104.0,0.64,-0.054,-0.03724137931034483
TSLA,186.71,0.29,+13.12%,2.21,177.21,0.862,2023-05-26,177.5,0.8,175.0,0.51,-0.055,-0.18965517241379315
TWLO,59.44,0.11,+12.36%,0.89,55.89,0.8340000000000001,2023-05-26,56.0,0.34,55.0,0.23,-0.0559999999999999,-0.5090909090909085
