Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
UPST,13.54,0.48,+92.31%,0.52,13.02,55.9%,2023-05-12,13.5,1.42,12.5,0.94,weekly
UPST,13.54,0.24,+92.31%,0.26,13.26,53.2%,2023-05-12,13.5,1.42,13,1.18,weekly
MARA,9.53,0.23,+85.19%,0.27,9.27,54.7%,2023-05-19,9.5,0.81,9,0.58,monthly
UPST,13.54,0.68,+82.93%,0.82,12.82,58.3%,2023-05-12,13.5,1.42,12,0.74,weekly
UPST,13.54,0.22,+78.57%,0.28,12.78,58.7%,2023-05-12,13,1.16,12.5,0.94,weekly
UPST,13.54,0.86,+75.44%,1.14,12.64,60.4%,2023-05-12,13.5,1.42,11.5,0.56,weekly
DIS,103.58,0.84,+72.41%,1.16,102.16,57.2%,2023-05-12,103,2.84,101,2,weekly
PYPL,75.82,0.42,+72.41%,0.58,74.58,56.2%,2023-05-19,75,2.69,74,2.27,monthly
DIS,103.58,0.42,+72.41%,0.58,102.58,55.1%,2023-05-12,103,2.84,102,2.42,weekly
UPST,13.54,0.42,+72.41%,0.58,12.58,61.1%,2023-05-12,13,1.16,12,0.74,weekly
PYPL,75.82,0.41,+69.49%,0.59,74.59,56.8%,2023-05-12,75,2.4,74,1.99,weekly
COIN,57.22,0.81,+68.07%,1.19,56.19,54.3%,2023-05-19,57,3.65,55,2.84,monthly
UPST,13.54,1,+66.67%,1.5,12.5,62.0%,2023-05-12,13.5,1.42,11,0.42,weekly
GOOGL,107.06,0.4,+66.67%,0.6,106.6,53.4%,2023-05-19,107,1.99,106,1.59,monthly
GOOGL,107.06,0.4,+66.67%,0.6,106.6,54.6%,2023-05-12,107,1.49,106,1.09,weekly
DIS,103.58,1.2,+66.67%,1.8,101.8,59.0%,2023-05-12,103,2.84,100,1.64,weekly
PYPL,75.82,0.8,+66.67%,1.2,74.2,59.0%,2023-05-12,75,2.4,73,1.6,weekly
WBD,13.52,0.2,+66.67%,0.3,13.3,59.4%,2023-05-12,13.5,0.4,13,0.2,weekly
PYPL,75.82,0.8,+66.67%,1.2,74.2,58.2%,2023-05-19,75,2.69,73,1.89,monthly
UPST,13.54,0.6,+66.67%,0.9,12.4,63.2%,2023-05-12,13,1.16,11.5,0.56,weekly
PYPL,75.82,0.98,+64.47%,1.52,74.02,59.1%,2023-05-19,75,2.69,72.5,1.71,monthly
COIN,57.22,0.39,+63.93%,0.61,56.61,54.0%,2023-05-12,57,2.28,56,1.89,weekly
RIVN,13.77,0.39,+63.93%,0.61,13.11,59.8%,2023-05-12,13.5,0.92,12.5,0.53,weekly
DIS,103.58,0.39,+63.93%,0.61,101.61,59.9%,2023-05-12,102,2.39,101,2,weekly
DIS,103.58,1.15,+62.16%,1.85,101.85,57.9%,2023-05-19,103,3.1,100,1.95,monthly
DIS,103.58,1.53,+61.94%,2.47,101.47,60.6%,2023-05-12,103,2.84,99,1.31,weekly
CRM,197.75,0.95,+61.29%,1.55,196.55,55.0%,2023-05-19,197.5,3.55,195,2.6,monthly
MU,61.05,0.38,+61.29%,0.62,60.62,54.6%,2023-05-19,61,1.4,60,1.02,monthly
COIN,57.22,1.52,+61.29%,2.48,55.48,57.3%,2023-05-19,57,3.65,53,2.13,monthly
COIN,57.22,0.76,+61.29%,1.24,56.24,56.5%,2023-05-12,57,2.28,55,1.52,weekly
NFLX,330.59,1.9,+61.29%,3.1,328.1,55.5%,2023-05-19,330,6.55,325,4.65,monthly
AFRM,11.67,0.38,+61.29%,0.62,10.62,62.5%,2023-05-19,11,1.05,10,0.67,monthly
PYPL,75.82,1.14,+61.29%,1.86,73.86,60.9%,2023-05-12,75,2.4,72,1.26,weekly
TTD,63.56,1.14,+61.29%,1.86,60.86,60.4%,2023-05-12,62,3.35,59,2.21,weekly
PYPL,75.82,1.14,+61.29%,1.86,73.86,59.9%,2023-05-19,75,2.69,72,1.55,monthly
GM,33.58,0.19,+61.29%,0.31,33.31,55.0%,2023-05-19,33.5,0.82,33,0.63,monthly
NVDA,288.52,0.95,+61.29%,1.55,286.55,54.2%,2023-05-19,287.5,6.5,285,5.55,monthly
NVDA,288.52,0.94,+60.26%,1.56,286.56,56.7%,2023-05-12,287.5,3.85,285,2.91,weekly
